,BUS CCSDS_TAI_SEC,PL UNIX TIME,PL UTC TIME,APID_VALID,CRC_VALID,FPGA_COUNTER,0,1,2,3,4,32,33,34,35,36,37,38,47,48,53,54,57,60,61,62,63,96,97,200,201,202,203,204,205,300,301,302,303,602,603,604,605,606,607,608,609,610,611,DAC_1_A,DAC_1_B,DAC_1_C,DAC_1_D,DAC_2_A,DAC_2_B,DAC_2_C,DAC_2_D
0,731761844,731761802,2023-03-10 11:10:04 UTC,1,1,0,0,0,0,0,0,0,85,0,0,0,0,0,0,2,151,9,0,2,0,0,65,0,3,14.779881477355955,14.95053482055664,14.926148414611816,14.56064796447754,14.95053482055664,14.171390533447266,0.0693415850400924,0.0278960391879081,0.0390544570982456,0.0278960391879081,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
1,731761847,731761807,2023-03-10 11:10:09 UTC,1,1,1,0,0,0,0,0,0,85,0,0,0,0,0,0,2,241,9,0,2,0,0,65,0,3,14.706781387329102,14.90176486968994,14.926148414611816,14.609349250793455,15.023709297180176,14.34161376953125,0.0557920783758163,0.0366633646190166,0.0605742558836936,0.031084157526493,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
2,731761852,731761812,2023-03-10 11:10:14 UTC,1,1,2,0,0,0,0,0,0,85,0,0,0,0,0,0,2,123,9,0,2,0,0,65,0,3,14.779881477355955,14.926148414611816,15.048105239868164,14.609349250793455,14.804253578186035,14.195700645446776,0.0717326700687408,0.040648516267538,0.0661534667015075,0.0804999992251396,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
3,731761857,731761817,2023-03-10 11:10:19 UTC,1,1,3,0,0,0,0,0,0,85,0,0,0,0,0,0,2,247,9,0,2,0,0,65,0,3,14.682419776916504,14.95053482055664,15.121308326721191,14.56064796447754,15.023709297180176,14.34161376953125,0.0430396050214767,0.0223168320953845,0.0494158416986465,0.1171633675694465,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
4,731761862,731761822,2023-03-10 11:10:24 UTC,1,1,4,0,0,0,0,0,0,85,0,0,0,0,0,0,2,24,9,0,2,0,0,65,0,2,14.706781387329102,14.974924087524414,15.194534301757812,14.584997177124023,15.023709297180176,14.268646240234377,0.0629653483629226,0.0286930687725543,0.0342722758650779,0.0374603942036628,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
5,731761867,731761827,2023-03-10 11:10:29 UTC,1,1,5,0,0,0,0,0,0,85,0,0,0,0,0,0,2,238,9,0,2,0,0,65,0,2,14.706781387329102,15.023709297180176,15.194534301757812,14.438937187194824,15.096904754638672,14.268646240234377,0.0263019800186157,0.0422425754368305,0.0398514866828918,0.0916584134101867,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
6,731761872,731761832,2023-03-10 11:10:34 UTC,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,183,9,0,2,0,0,65,0,2,14.853004455566406,15.048105239868164,15.194534301757812,14.584997177124023,14.95053482055664,14.29296588897705,0.0924554467201232,0.0247079208493232,0.0414455458521842,0.0023910892195999,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
7,731761877,731761837,2023-03-10 11:10:39 UTC,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,9,0,2,0,0,65,0,2,14.853004455566406,15.072504043579102,15.14571475982666,14.487614631652832,15.048105239868164,14.34161376953125,0.0422425754368305,0.0486188121140003,0.0565891079604625,0.001594059402123,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
8,731761882,731761842,2023-03-10 11:10:44 UTC,1,1,8,15,0,0,0,0,0,0,0,0,0,0,0,0,2,101,9,248,2,255,255,65,0,2,14.779881477355955,15.048105239868164,15.267782211303713,14.438937187194824,14.926148414611816,14.34161376953125,0.0422425754368305,0.0398514866828918,0.023910891264677,0.001594059402123,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
9,731761887,731761847,2023-03-10 11:10:49 UTC,1,1,9,7,0,0,0,0,0,0,85,0,0,0,0,0,2,155,9,248,2,255,255,97,0,2,14.804253578186035,15.048105239868164,15.341053009033203,14.658061027526855,15.023709297180176,14.29296588897705,0.0693415850400924,0.0191287137567996,0.2861336767673492,0.0007970297010615,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
10,731761892,731761852,2023-03-10 11:10:54 UTC,1,1,10,7,0,0,0,0,0,0,85,0,0,0,0,0,2,243,9,248,2,255,255,97,0,2,14.8773832321167,15.048105239868164,15.36548137664795,14.682419776916504,15.072504043579102,14.34161376953125,0.0717326700687408,0.0390544570982456,0.2622227668762207,0.001594059402123,0,2,0,12.5,-100.0,-100.0,0,8,0,14.0,0,0,0,0,0,0,0,0
11,731761897,731761857,2023-03-10 11:10:59 UTC,1,1,11,7,4,128,0,0,0,0,15,0,85,0,0,0,2,125,9,248,2,255,255,97,5,93,14.731145858764648,15.072504043579102,15.31662654876709,14.609349250793455,15.023709297180176,14.365941047668455,0.1211485117673873,0.0637623742222786,0.0350693054497242,0.0007970297010615,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
12,731761902,731761862,2023-03-10 11:11:04 UTC,1,1,12,7,5,0,0,0,0,0,15,0,85,0,0,0,2,35,9,248,2,255,255,97,5,5,14.853004455566406,15.048105239868164,15.512103080749512,14.63370418548584,15.048105239868164,14.365941047668455,0.1275247484445572,0.0318811871111393,0.0278960391879081,0.001594059402123,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
13,731761907,731761867,2023-03-10 11:11:09 UTC,1,1,13,7,5,0,0,0,0,0,15,0,85,0,0,0,2,14,9,248,2,255,255,97,5,6,14.8773832321167,15.023709297180176,15.585447311401367,14.609349250793455,15.072504043579102,14.438937187194824,0.1235396042466163,0.0342722758650779,0.0167376231402158,0.001594059402123,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
14,731761912,731761872,2023-03-10 11:11:14 UTC,1,1,14,7,5,128,0,0,0,0,15,0,85,0,0,0,2,34,9,248,2,255,255,97,5,135,14.779881477355955,15.14571475982666,15.48766040802002,14.779881477355955,15.023709297180176,14.34161376953125,0.1155693084001541,0.0557920783758163,0.0302871279418468,0.0007970297010615,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
15,731761917,731761877,2023-03-10 11:11:19 UTC,1,1,15,7,5,128,0,0,0,0,15,0,85,0,0,0,2,51,9,248,2,255,255,97,5,136,14.731145858764648,15.072504043579102,15.585447311401367,14.609349250793455,15.072504043579102,14.463274955749512,0.1259306967258453,0.0541980192065238,0.0318811871111393,0.0023910892195999,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
16,731761922,731761882,2023-03-10 11:11:24 UTC,1,1,16,7,6,0,0,0,0,0,15,0,85,0,0,0,2,58,9,248,2,255,255,97,6,6,14.926148414611816,14.99931526184082,15.658814430236816,14.779881477355955,15.072504043579102,14.487614631652832,0.0956435650587081,0.0414455458521842,0.0191287137567996,0.0023910892195999,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
17,731761927,731761887,2023-03-10 11:11:29 UTC,1,1,17,7,6,128,0,0,0,0,15,0,85,0,0,0,2,59,9,248,2,255,255,97,6,136,14.90176486968994,15.170123100280762,15.585447311401367,14.682419776916504,14.99931526184082,14.390270233154297,0.1211485117673873,0.0286930687725543,0.0151435639709234,0.001594059402123,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
18,731761932,731761892,2023-03-10 11:11:34 UTC,1,1,18,7,6,128,0,0,0,0,15,0,85,0,0,0,2,175,9,248,2,255,255,97,6,135,14.8773832321167,15.31662654876709,15.658814430236816,14.706781387329102,15.194534301757812,14.438937187194824,0.1315099000930786,0.0270990096032619,0.0270990096032619,0.0023910892195999,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
19,731761937,731761897,2023-03-10 11:11:39 UTC,1,1,19,7,0,0,14,33,0,85,15,0,85,0,0,0,2,55,9,248,2,255,255,97,3,240,14.658061027526855,15.096904754638672,15.585447311401367,14.779881477355955,14.974924087524414,14.487614631652832,0.1418712884187698,0.0334752462804317,0.0159405935555696,0.3435198068618774,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
20,731761942,731761902,2023-03-10 11:11:44 UTC,1,1,20,7,5,110,14,33,0,85,85,0,85,0,0,0,2,19,9,248,2,255,255,97,5,116,14.804253578186035,15.048105239868164,15.756671905517578,14.779881477355955,15.096904754638672,14.414603233337402,0.1267277300357818,0.0446336641907691,0.2558465301990509,0.2287475317716598,0,2,0,12.600000381469728,-5.0,-100.0,0,8,0,14.0,0,0,0,0,0,0,0,0
21,731761947,731761907,2023-03-10 11:11:49 UTC,1,1,21,7,5,113,14,33,0,85,85,0,85,0,0,0,2,183,9,248,2,255,255,97,5,120,14.90176486968994,15.438780784606934,15.585447311401367,14.853004455566406,15.267782211303713,14.487614631652832,0.1251336634159088,0.023910891264677,0.292509913444519,0.1968663334846496,0,2,0,12.699999809265137,-3.5999999046325684,-100.0,0,8,0,14.0,0,0,0,0,0,0,0,0
22,731761952,731761912,2023-03-10 11:11:54 UTC,1,1,22,7,5,116,14,33,0,85,85,0,85,0,0,0,2,25,9,248,2,255,255,97,5,123,14.926148414611816,15.170123100280762,15.854568481445312,14.828627586364746,14.974924087524414,14.56064796447754,0.1609999984502792,0.0446336641907691,0.259034663438797,0.2797574400901794,0,2,0,12.699999809265137,-2.5999999046325684,-100.0,0,8,0,14.0,0,0,0,0,0,0,0,0
23,731761957,731761917,2023-03-10 11:11:59 UTC,1,1,23,7,5,120,14,33,0,85,85,0,85,0,0,0,2,66,9,248,2,255,255,97,5,126,14.90176486968994,15.194534301757812,15.854568481445312,14.974924087524414,15.096904754638672,14.63370418548584,0.1052079200744628,0.031084157526493,0.2048366367816925,0.3769950568675995,0,2,0,12.699999809265137,-2.0,-100.0,0,8,0,14.0,0,0,0,0,0,0,0,0
24,731761962,731761922,2023-03-10 11:12:04 UTC,1,1,24,7,5,118,14,33,0,85,85,0,85,0,0,0,2,99,9,248,2,255,255,97,5,124,14.90176486968994,15.048105239868164,15.756671905517578,14.90176486968994,15.048105239868164,14.609349250793455,0.1498415768146515,0.0541980192065238,0.2112128734588623,0.2064306885004043,0,2,0,12.800000190734863,-5.300000190734863,-100.0,0,8,0,14.0,0,0,0,0,0,0,0,0
25,731761967,731761927,2023-03-10 11:12:09 UTC,1,1,25,7,5,151,14,33,0,85,85,0,85,0,0,0,2,220,9,248,2,255,255,97,5,157,15.023709297180176,15.31662654876709,15.854568481445312,14.974924087524414,14.974924087524414,14.609349250793455,0.1179603934288024,0.023910891264677,0.2422970235347747,0.333158403635025,0,2,0,12.800000190734863,4.300000190734863,-100.0,0,8,31,15.0,0,0,0,0,0,0,0,0
26,731761972,731761932,2023-03-10 11:12:14 UTC,1,1,26,7,5,149,14,33,0,85,85,0,85,0,0,0,2,228,9,248,2,255,255,97,5,156,14.99931526184082,15.267782211303713,15.95250415802002,14.804253578186035,15.096904754638672,14.56064796447754,0.099628709256649,0.0366633646190166,0.2454851418733596,0.1721584200859069,0,2,0,12.800000190734863,4.400000095367432,-100.0,0,8,31,15.0,0,0,0,0,0,0,0,0
27,731761977,731761937,2023-03-10 11:12:19 UTC,1,1,27,7,5,152,14,33,0,85,85,0,85,0,0,0,2,151,9,248,2,255,255,97,5,159,14.974924087524414,15.341053009033203,15.928016662597656,15.023709297180176,15.218948364257812,14.536300659179688,0.1131782159209251,0.0470247529447078,0.2701930701732635,0.3419257402420044,0,2,0,12.899999618530272,4.199999809265137,-100.0,0,8,0,15.0,0,0,0,0,0,0,0,0
28,731761982,731761942,2023-03-10 11:12:24 UTC,1,1,28,7,5,155,14,33,0,85,85,0,85,0,0,0,2,87,9,248,2,255,255,97,5,162,14.974924087524414,15.31662654876709,15.928016662597656,14.853004455566406,15.096904754638672,14.609349250793455,0.1195544525980949,0.0374603942036628,0.205633670091629,0.2351237684488296,0,2,0,12.899999618530272,3.299999952316284,-100.0,0,8,0,15.0,0,0,0,0,0,0,0,0
29,731761987,731761947,2023-03-10 11:12:29 UTC,1,1,29,7,5,149,14,33,0,85,85,0,85,0,0,0,2,80,9,248,2,255,255,97,5,156,14.8773832321167,15.267782211303713,15.879048347473145,14.974924087524414,15.072504043579102,14.706781387329102,0.1068019792437553,0.0541980192065238,0.2654109001159668,0.3873564302921295,0,2,0,13.0,4.199999809265137,-100.0,0,8,31,15.0,0,0,0,0,0,0,0,0
30,731761992,731761952,2023-03-10 11:12:34 UTC,1,1,30,7,5,149,14,33,85,15,15,85,15,15,15,0,2,21,9,248,2,255,255,97,0,20,15.121308326721191,15.46321964263916,15.976994514465332,15.14571475982666,15.170123100280762,14.706781387329102,0.058183167129755,0.0629653483629226,0.0071732671931385,0.0007970297010615,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
