,UUT_COMMAND_TLM_PACKET_TIMESECONDS,UUT_COMMAND_TLM_PACKET_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_TIMESECONDS,UUT_COMMAND_TLM_RECEIVED_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_COUNT,UUT_COMMAND_TLM_SYNC,UUT_COMMAND_TLM_MSG_ID,UUT_COMMAND_TLM_LEN,UUT_COMMAND_TLM_SEQ,UUT_COMMAND_TLM_CCSDS_TAI_SECS,UUT_COMMAND_TLM_CCSDS_TAI_SUBSECS,UUT_COMMAND_TLM_CCSDS_REALTIME,UUT_COMMAND_TLM_REALTIME_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_REALTIME_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_STORED_CMD_REJECT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_TIMED_CMDS_ENABLED,UUT_COMMAND_TLM_MACROS_ENABLED,UUT_TIME_TAI_SECONDS,UUT_TIME_TIME_VALID,UUT_CLOCK_SYNC_HR_RUN_COUNT,UUT_GENERAL_VOLUME_PERCENT_USED,UUT_GENERAL_MEM_TOTAL,UUT_GENERAL_MEM_FREE,UUT_GENERAL_MEM_AVAILABLE,UUT_ANALOGS_DET_TEMP,UUT_ANALOGS_MOTOR1_TEMP,UUT_ANALOGS_MOTOR2_TEMP,UUT_ANALOGS_MOTOR3_TEMP,UUT_ANALOGS_BATTERY_VOLTAGE,UUT_ANALOGS_BATTERY1_TEMP,UUT_ANALOGS_BUS_TEMP,UUT_ANALOGS_PAYLOAD_TEMP,UUT_ANALOGS_5V_MON,UUT_ANALOGS_3V3_MON,UUT_ANALOGS_V3_9V_MON,UUT_ANALOGS_V4_9V_MON,UUT_ANALOGS_5V_CURR_MON,UUT_ANALOGS_3V3_CURR_MON,UUT_ANALOGS_V3_9V_CURR_MON,UUT_ANALOGS_V4_9V_CURR_MON,UUT_ANALOGS_5V_AUX_MON,UUT_ANALOGS_VSOLAR_MON,UUT_ANALOGS_BB_TEMP_MON,UUT_ANALOGS_BUCK_TEMP_MON,UUT_ANALOGS_I_SOLAR_MON,UUT_ANALOGS_I_BAT1_MON,UUT_ANALOGS_I_CHG_MON,UUT_POWER_HEATER_STATUS1,UUT_REFS_TIME_NOW,UUT_REFS_POSITION_WRT_ECEF1,UUT_REFS_POSITION_WRT_ECEF2,UUT_REFS_POSITION_WRT_ECEF3,UUT_REFS_VELOCITY_WRT_ECEF1,UUT_REFS_VELOCITY_WRT_ECEF2,UUT_REFS_VELOCITY_WRT_ECEF3,UUT_REFS_POSITION_WRT_ECI1,UUT_REFS_POSITION_WRT_ECI2,UUT_REFS_POSITION_WRT_ECI3,UUT_REFS_VELOCITY_WRT_ECI1,UUT_REFS_VELOCITY_WRT_ECI2,UUT_REFS_VELOCITY_WRT_ECI3,UUT_REFS_REFS_VALID,UUT_GPS_GPS_TIME,UUT_GPS_GPS_POSITION_ECEF1,UUT_GPS_GPS_POSITION_ECEF2,UUT_GPS_GPS_POSITION_ECEF3,UUT_GPS_GPS_VELOCITY_ECEF1,UUT_GPS_GPS_VELOCITY_ECEF2,UUT_GPS_GPS_VELOCITY_ECEF3,UUT_GPS_MSG_GPS_TEMP1,UUT_GPS_MSG_GPS_TEMP2,UUT_GPS_MSG_USED_SATELLITES,UUT_GPS_GPS_POS_LOCK,UUT_GPS_GPS_TIME_LOCK,UUT_GPS_MSG_DATA_VALID,UUT_GPS_GPS_NEW_DATA_RECEIVED,UUT_GPS_GPS_ENABLE,UUT_GPS_GPS_VALID,UUT_ATT_CMD_ADCS_MODE,UUT_ATT_CMD_RECOMMEND_SUN_POINT,UUT_ATT_CMD_SUN_POINT_REASON,UUT_ATT_CTRL_SUN_POINT_ANGLE_ERROR,UUT_ATT_CTRL_SUN_POINT_STATE,UUT_ATT_CTRL_MOMENTUM_TOO_HIGH,UUT_ATT_CTRL_ATT_CTRL_ACTIVE,UUT_ATT_DET_Q_BODY_WRT_ECI1,UUT_ATT_DET_Q_BODY_WRT_ECI2,UUT_ATT_DET_Q_BODY_WRT_ECI3,UUT_ATT_DET_Q_BODY_WRT_ECI4,UUT_ATT_DET_BODY_RATE1,UUT_ATT_DET_BODY_RATE2,UUT_ATT_DET_BODY_RATE3,UUT_ATT_DET_MEAS_RATE_VALID,UUT_ATT_DET_MEAS_ATT_VALID,UUT_ATT_DET_ATTITUDE_VALID,UUT_ATT_DET_REINIT_COUNT,UUT_CSS_CSS_INVALID_COUNT,UUT_MOMENTUM_TOTAL_MOMENTUM_MAG,UUT_MOMENTUM_DUTY_CYCLE1,UUT_MOMENTUM_DUTY_CYCLE2,UUT_MOMENTUM_DUTY_CYCLE3,UUT_MOMENTUM_TORQUE_ROD_MODE1,UUT_MOMENTUM_TORQUE_ROD_MODE2,UUT_MOMENTUM_TORQUE_ROD_MODE3,UUT_TRACKER_ATTITUDE_ST1,UUT_TRACKER_ATTITUDE_ST2,UUT_TRACKER_ATTITUDE_ST3,UUT_TRACKER_ATTITUDE_ST4,UUT_TRACKER_RATE_EST1,UUT_TRACKER_RATE_EST2,UUT_TRACKER_RATE_EST3,UUT_TRACKER_PEAK_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_MEDIAN_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_OPERATING_MODE,UUT_TRACKER_ATT_STATUS,UUT_TRACKER_NUM_ATTITUDE_STARS,UUT_TRACKER_NUM_TRACK_STARS,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT1,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT2,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT4,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT5,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT6,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT7,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT8,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT9,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT10,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT13,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT14,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT15,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT16,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT17,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT18,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT19,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT20,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT21,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT22,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT23,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT29,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT30,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT37,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT38,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT40,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT41,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT42,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT1,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT2,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT13,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT14,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT15,UUT_REFS_NADIR_VECTOR_BODY1,UUT_REFS_NADIR_VECTOR_BODY2,UUT_REFS_NADIR_VECTOR_BODY3,UUT_REFS_MODELED_SUN_VECTOR_BODY1,UUT_REFS_MODELED_SUN_VECTOR_BODY2,UUT_REFS_MODELED_SUN_VECTOR_BODY3,UUT_REFS_MOON_VECTOR_BODY1,UUT_REFS_MOON_VECTOR_BODY2,UUT_REFS_MOON_VECTOR_BODY3,UUT_REFS_Q_ECEF_WRT_ECI1,UUT_REFS_Q_ECEF_WRT_ECI2,UUT_REFS_Q_ECEF_WRT_ECI3,UUT_REFS_Q_ECEF_WRT_ECI4,timestamp_
0,1667669198.83096,44870.5601716435,1667669198.83096,44870.5601716435,1,1.35822722913205e+19,1,512,1,720984434,0.8,REALTIME,131,0,7,0,0,0,EN,EN,720984434.799995,YES,2741692,26,85,8,19,16.0000002,13.8849997222999,14.1599997168,13.6049997279,12.320000616,11.6799997664,13.82350055294,10.75200043008,4.98800019952,3.32050013282,3.90150015606,3.9650001586,0.20150000806,0.6350000254,0.02450000098,0.02450000098,5.0225002009,15.71700062868,17.800000712,16.18050064722,1.90600007624,0.39650001586,0.82300003292,OFF,720984434.999995,240.979147951042,-5027.42944862851,-4542.30407288478,5.897127885,3.101216585,-3.121414425,-3919.51696402414,-3170.05850149706,-4533.62549331871,6.214390245,-3.20277079,-3.13497178,YES,720984434,235.082548245871,-5030.52724847362,-4539.18029304097,5.896984915,3.09571979,-3.12726823,16.9114282332,17.8257139292,15,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,8.0279994648,NOT_ACTIVE,NO,YES,0.590091076698178,0.416886022662279,0.0720466240590674,0.687610216247795,-0.00162624,-0.00173015,-3.575e-05,YES,NO,YES,89,0,0.00200000008,2,4,20,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.321039991974,0.947079976323,-0.000159999996,-0.707079982323,-0.707119982322,3.9999999e-05,0.723239981919,0.469679988258,0.506279987343,-0.0005080109847596,0.0009727389708178,-0.451722572448322,0.892157751235266,2022-11-05 17:26:38.830960128
1,1667669200.44898,44870.5601903704,1667669200.44898,44870.5601903704,2,1.35822722913205e+19,1,512,2,720898036,0.8,STORED,126,0,6,0,0,0,EN,EN,720898036.799996,YES,2309702,27,85,8,19,17.60000022,14.1399997171999,14.7599997047999,14.2599997148,12.0860006043,15.0349996992999,13.74350054974,9.7825003913,4.98800019952,3.32300013292,3.90150015606,3.9650001586,0.20150000806,0.66550002662,0.02450000098,0.02450000098,5.0225002009,4.100000164,17.02900068116,16.43700065748,0.71350002854,-0.68950002758,0.0,OFF,720898036.999996,2088.81799555909,5967.3516216324,2412.95505935224,-5.057638155,-0.408077045,5.361670845,6082.06797589658,1745.08895274554,2399.56492002174,-3.372080305,4.334386465,5.368964005,YES,720898036,2093.87103530644,5967.74806161258,2407.58623962068,-5.054973695,-0.401352525,5.36469483,18.1942853503999,19.1085710463999,16,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.0188250011234999,-0.196402334571953,-0.0666325416673491,0.978075562938488,-0.001644655,-0.00178025,-4.3885e-05,YES,YES,YES,70,0,0.00150000006,47,11,29,AUTO,AUTO,AUTO,0.516521803222656,0.353568878417968,0.477287319824218,0.616758534179687,-0.0019849999205999,-0.0002199999911999,-0.001324999947,208,144,TRACK,OK,37,37,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.926839976829,-0.375399990615,-0.000199999995,-0.707039982324,-0.707159982321,-7.9999998e-05,0.877439978064,0.103679997408,-0.468319988292,-0.0005163049845108,0.00096833197095,-0.459314524220563,0.888272989351809,2022-11-05 17:26:40.448979968
2,1667669200.672,44870.560192963,1667669200.672,44870.560192963,3,1.35822722913205e+19,1,512,3,720898096,0.8,STORED,126,0,6,0,0,0,EN,EN,720898096.799996,YES,2310002,27,85,8,19,16.80000021,13.9449997210999,14.4799997104,14.0249997194999,12.1240006062,14.8749997024999,13.50350054014,9.67600038704,4.98550019942,3.32300013292,3.90150015606,3.9650001586,0.19550000782,0.64100002564,0.02450000098,0.02450000098,5.0225002009,4.100000164,16.73300066932,16.18050064722,0.71350002854,-0.5675000227,0.0,OFF,720898096.999996,1780.62591096869,5930.44858347755,2728.79092356044,-5.211943315,-0.820896485,5.162415515,5865.79742671011,2000.90593995469,2715.86908420653,-3.833722435,4.189688755,5.17072532,YES,720898096,1785.83769070811,5931.26582343669,2723.62606381869,-5.209508335,-0.81410537,5.1659357,17.8885710707999,18.742856768,18,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.0780225254395494,-0.247484536050309,-0.0764996259700074,0.962710578245788,-0.00197643,-0.002020075,8.6585e-05,YES,YES,YES,70,0,0.00150000006,47,6,32,AUTO,AUTO,AUTO,0.462122690429687,0.339514123535156,0.466925649902343,0.673166559082031,-0.0023199999071999,-0.0002249999909999,-0.0014599999415999,212,148,TRACK,OK,40,40,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.914439977139,-0.404719989882,-0.000199999995,-0.707039982324,-0.70719998232,-7.9999998e-05,0.819119979522,0.16119999597,-0.550479986238,-0.0005141849845744,0.0009694589709162,-0.457370210278893,0.889275675321728,2022-11-05 17:26:40.672000000
3,1667669200.774,44870.5601941435,1667669200.774,44870.5601941435,4,1.35822722913205e+19,1,512,4,720898156,0.8,STORED,126,0,6,0,0,0,EN,EN,720898156.799995,YES,2310302,27,85,8,19,16.80000021,13.7449997251,14.2199997155999,13.7649997246999,12.0860006043,14.7199997056,13.24300052972,9.39800037592,4.98550019942,3.32300013292,3.90150015606,3.9650001586,0.21350000854,0.64100002564,0.02450000098,0.02450000098,5.0225002009,4.100000164,16.45650065826,15.92400063696,0.72300002892,-0.53700002148,0.0,OFF,720898156.999995,1463.79608681019,5868.93478655324,3031.95668840215,-5.345667505,-1.228517545,4.939273255,5622.36943888151,2247.4557476272,3019.56296902184,-4.277408865,4.02556894,4.948560775,YES,720898156,1469.14070654296,5870.15992649198,3027.01546864921,-5.343609575,-1.221775185,4.94318279,17.5828567911999,18.4371424884,17,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.145405509091889,-0.304147931417041,-0.0872046922559061,0.937414836251702,-0.00219918,-0.002314165,-7.1665e-05,YES,YES,YES,70,0,0.00150000006,46,1,33,AUTO,AUTO,AUTO,0.396006214355468,0.32069855078125,0.451331968261718,0.732551003417968,-0.0026549998937999,-0.000349999986,-0.0013599999456,260,148,TRACK,OK,36,36,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.905439977364,-0.424439989389,-0.000239999994,-0.707039982324,-0.707159982321,-0.000159999996,0.741719981457,0.237839994054,-0.627119984322,-0.0005120629846381,0.0009705819708825,-0.455423707337288,0.890274105291776,2022-11-05 17:26:40.773999872
4,1667669200.99699,44870.560196713,1667669200.99699,44870.560196713,5,1.35822722913205e+19,1,512,5,720898216,0.8,STORED,126,0,6,0,0,0,EN,EN,720898216.799996,YES,2310602,27,85,7,19,16.80000021,13.5249997295,13.9649997207,13.4649997306999,12.0860006043,14.5399997091999,13.1025005241,9.09600036384,4.98800019952,3.32300013292,3.90150015606,3.9650001586,0.19550000782,0.64700002588,0.02450000098,0.02450000098,5.0225002009,4.100000164,16.25950065038,15.68700062748,0.72300002892,-0.68950002758,0.0,OFF,720898216.999996,1139.57000302149,5783.1635708418,3321.04477394775,-5.45826248,-1.62930668,4.693261605,5352.90741235461,2483.60113581993,3309.23657453816,-4.70120784,3.842848495,4.703483655,YES,720898216,1145.02722274863,5784.7896107605,3316.34939418252,-5.45667404,-1.62275977,4.697451345,17.3371425104,18.2542853492,17,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.217374189152516,-0.362984806240303,-0.0980171210396575,0.900768058984638,-0.00248399,-0.00239866,-4.648e-05,YES,YES,YES,70,0,0.00150000006,45,6,31,AUTO,AUTO,AUTO,0.32006148828125,0.297096119140625,0.4299400390625,0.790219021972656,-0.0028099998875999,-0.0003774999849,-0.0012599999496,188,148,TRACK,OK,33,33,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.901319977467,-0.433159989171,-0.000199999995,-0.707079982323,-0.707159982321,-7.9999998e-05,0.647559983811,0.331239991719,-0.686279982843,-0.0005099389847018,0.000971699970849,-0.453475024395748,0.89126827526195,2022-11-05 17:26:40.996989952
5,1667669201.1,44870.5601979167,1667669201.1,44870.5601979167,6,1.35822722913205e+19,1,512,6,720898276,0.8,STORED,126,0,6,0,0,0,EN,EN,720898276.799995,YES,2310902,27,85,8,19,16.0000002,13.2649997346999,13.7249997254999,13.1249997375,12.0660006033,14.3599997127999,12.65900050636,8.81400035256,4.98800019952,3.32050013282,3.90150015606,3.9650001586,0.21350000854,0.66550002662,0.02450000098,0.02450000098,5.0225002009,4.100000164,15.98300063932,15.41050061642,0.72300002892,-0.59200002368,0.0,OFF,720898276.999995,809.233979538299,5673.58803632058,3594.71118026443,-5.549225675,-2.021755965,4.42540113,5058.65876706704,2708.24654458766,3583.54316082283,-5.10332992,3.64235079,4.43651058,YES,720898276,814.782719260862,5675.60827621957,3590.28418048578,-5.54786577,-2.015408175,4.430040255,16.9714282319999,17.8885710707999,18,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.288472156230556,-0.419103148617936,-0.108016816339663,0.854089394418211,-0.002516435,-0.002382475,8.9835e-05,YES,YES,YES,70,0,0.00150000006,43,13,27,AUTO,AUTO,AUTO,0.239396408203125,0.270003122070312,0.403654321289062,0.840744231445312,-0.0027599998896,-0.0002149999914,-0.00199999992,192,148,TRACK,OK,43,43,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.90279997743,-0.430079989248,-0.000239999994,-0.707119982322,-0.707079982323,-0.000159999996,0.545039986374,0.433119989172,-0.717879982053,-0.0005078119847656,0.0009728129708156,-0.451524171454274,0.892258179232253,2022-11-05 17:26:41.100000000
6,1667669201.32402,44870.5602005093,1667669201.32402,44870.5602005093,7,1.35822722913205e+19,1,512,7,720898336,0.8,STORED,126,0,6,0,0,0,EN,EN,720898336.799995,YES,2311202,27,85,8,19,16.0000002,13.0199997396,13.4449997311,12.9399997412,12.0860006043,14.1799997164,12.43650049746,8.59550034382,4.98550019942,3.32050013282,3.90150015606,3.9650001586,0.2075000083,0.64100002564,0.02450000098,0.02450000098,5.0225002009,4.100000164,15.72650062906,15.09400060376,0.7325000293,-0.525000021,0.0,OFF,720898336.999995,474.106476294674,5540.7636829618,3851.68698741564,-5.617965165,-2.404079095,4.137037605,4740.98858295055,2920.35241398237,3841.21086793944,-5.48172298,3.425029915,4.148982795,YES,720898336,479.72417601379,5543.16588284169,3847.54848762256,-5.61698775,-2.397807765,4.142019745,16.728571094,17.64285679,18,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.352966010940679,-0.468277777134444,-0.11656295616874,0.801588395468231,-0.00225837,-0.00214456,4.2455e-05,YES,YES,YES,70,0,0.00150000006,40,18,22,AUTO,AUTO,AUTO,0.160721794921875,0.241571368652343,0.374868737792968,0.880502815429687,-0.0024999999,-0.0003749999849999,-0.0019374999224999,200,148,TRACK,OK,37,37,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.909479977263,-0.415719989607,-0.000239999994,-0.706959982326,-0.707239982319,-0.000159999996,0.445479988863,0.532079986698,-0.720039981999,-0.0005056819848295,0.0009739219707823,-0.449571158512864,0.893243813202684,2022-11-05 17:26:41.324019968
7,1667669201.53801,44870.5602029861,1667669201.53801,44870.5602029861,8,1.35822722913205e+19,1,512,8,720898396,0.8,STORED,126,0,6,0,0,0,EN,EN,720898396.799996,YES,2311502,27,85,8,19,16.0000002,12.7399997451999,13.1649997366999,12.5999997479999,12.0660006033,13.9849997203,12.1725004869,8.22150032886,4.98800019952,3.32050013282,3.90150015606,3.9600001584,0.20150000806,0.65300002612,0.02450000098,0.02450000098,5.0225002009,4.100000164,15.4700006188,14.83700059348,0.7325000293,-0.57350002294,0.0,OFF,720898396.999996,135.531493223425,5385.3416507329,4090.77929546102,-5.66410012,-2.77471319,3.829519575,4401.36943993151,3118.93880405305,4081.04355594781,-5.834657255,3.19191568,3.84224503,YES,720898396,141.195932940203,5388.11401059428,4086.94847565256,-5.663426545,-2.768593005,3.834911585,16.4828568131999,17.3371425104,18,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.407701842845962,-0.50833394583332,-0.123051653038966,0.748487847530242,-0.001813275,-0.00186758,1.1405e-05,YES,YES,YES,70,0,0.00150000006,35,22,18,AUTO,AUTO,AUTO,0.0892324521484375,0.21449970703125,0.346303812011718,0.908901047851562,-0.0022349999106,-0.0002774999889,-0.0016024999359,212,148,TRACK,OK,48,48,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.920519976987,-0.390679990233,-0.000199999995,-0.707119982322,-0.707079982323,-0.000119999997,0.358119991047,0.618839984529,-0.699159982521,-0.0005035509848934,0.0009750259707492,-0.447615992571519,0.894225172173243,2022-11-05 17:26:41.538009856
8,1667669201.65201,44870.5602043056,1667669201.65201,44870.5602043056,9,1.35822722913205e+19,1,512,9,720898456,0.8,STORED,126,0,6,0,0,0,EN,EN,720898456.799996,YES,2311802,27,85,8,19,15.2000001899999,12.4549997508999,12.8799997423999,12.3149997536999,12.0660006033,13.7849997242999,11.86650047466,7.75400031016,4.98550019942,3.32050013282,3.90150015606,3.9650001586,0.19550000782,0.66550002662,0.02450000098,0.02450000098,5.02400020096,4.100000164,15.19300060772,14.53950058158,0.75100003004,-0.56150002246,0.0,OFF,720898456.999996,-205.122409743879,5208.06415959677,4310.88000445598,-5.6872461,-3.13221711,3.50429424,4041.37603793118,3303.08555484571,4301.9297449035,-6.1605157,2.94399646,3.5177409,YES,720898456,-199.435270028235,5211.19347944031,4307.37302463133,-5.687066365,-3.126387375,3.509847505,16.1171425348,17.0342853736,19,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.452123758457524,-0.539617183707656,-0.127979745440405,0.698583242528334,-0.0013771,-0.001613605,4.253e-05,YES,YES,YES,70,0,0.00150000006,29,23,13,AUTO,AUTO,AUTO,0.0275639541015625,0.189988213867187,0.319761611816406,0.927845471191406,-0.0018474999261,-0.0001924999922999,-0.0012149999513999,208,148,TRACK,OK,45,45,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.934039976649,-0.357159991071,-0.000199999995,-0.707159982321,-0.707079982323,-0.000119999997,0.286199992845,0.690279982743,-0.664519983387,-0.0005014159849575,0.0009761249707162,-0.445658684630239,0.895202252143931,2022-11-05 17:26:41.652009984
9,1667669201.86602,44870.5602067824,1667669201.86602,44870.5602067824,10,1.35822722913205e+19,1,512,10,720898516,0.8,STORED,126,0,6,0,0,0,EN,EN,720898516.799995,YES,2312102,27,85,8,19,15.2000001899999,12.149999757,12.5999997479999,12.0299997593999,12.0460006023,13.5649997286999,11.57950046318,7.64150030566,4.98800019952,3.32050013282,3.90150015606,3.9600001584,0.19550000782,0.6350000254,0.02450000098,0.02450000098,5.02400020096,4.100000164,14.93600059744,14.28150057126,0.75100003004,-0.6775000271,0.0,OFF,720898516.999995,-546.47497267625,5009.76528951172,4510.96899445153,-5.687324125,-3.47517645,3.16275363,3662.67701686613,3471.94510640273,4502.8456348577,-6.45790573,2.682519675,3.17685936,YES,720898516,-540.78737296063,5013.23784933809,4507.80389460979,-5.68749136,-3.469592295,3.1686088,15.8114282552,16.7885710927999,18,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.487437212251255,-0.563581163728376,-0.131572441868551,0.653811814423763,-0.001495795,-0.00128354,-0.000140825,YES,YES,YES,70,0,0.00150000006,23,23,7,AUTO,AUTO,AUTO,-0.0242431977539062,0.168626182128906,0.296136657714843,0.939830068847656,-0.0015324999387,-0.0001649999934,-0.0012474999501,204,144,TRACK,OK,49,50,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.948519976287,-0.316719992082,-0.000159999996,-0.707119982322,-0.707079982323,-0.000119999997,0.22919999427,0.746839981329,-0.624279984393,-0.0004992799850215,0.0009772199706833,-0.443699244689022,0.896175047114747,2022-11-05 17:26:41.866019840
