,UUT GPS PACKET_TIMESECONDS,UUT GPS PACKET_TIMEFORMATTED,UUT GPS RECEIVED_TIMESECONDS,UUT GPS RECEIVED_TIMEFORMATTED,UUT GPS RECEIVED_COUNT,UUT GPS SYNC,UUT GPS MSG_ID,UUT GPS LEN,UUT GPS SEQ,UUT GPS CCSDS_TAI_SECS,UUT GPS CCSDS_TAI_SUBSECS,UUT GPS CCSDS_REALTIME,UUT GPS GPS_TIME,UUT GPS GPS_POSITION_ECEF1,UUT GPS GPS_POSITION_ECEF2,UUT GPS GPS_POSITION_ECEF3,UUT GPS GPS_VELOCITY_ECEF1,UUT GPS GPS_VELOCITY_ECEF2,UUT GPS GPS_VELOCITY_ECEF3,UUT GPS MSG_RX_STATUS,UUT GPS AUX1_EVENT,UUT GPS AUX2_EVENT,UUT GPS AUX3_EVENT,UUT GPS DIG_FILT_EN,UUT GPS TRACKING_MODE,UUT GPS VERSION_BIT1,UUT GPS VERSION_BIT0,UUT GPS SOFTWARE_RESOURCE,UUT GPS EXT_OSC_LOCKED,UUT GPS CLOCK_MODEL,UUT GPS CLOCK_STEERING,UUT GPS POS_FIX,UUT GPS POS_SOL,UUT GPS ALMANAC_KNOWN,UUT GPS IMU_COMM,UUT GPS INS_RESET,UUT GPS JAMMER_DETECTED,UUT GPS ANT_GAIN_STATE,UUT GPS TRANSMIT_OVERRUN,UUT GPS INPUT_OVERRUN,UUT GPS LINK_OVERRUN,UUT GPS COM_BUF_OVERRUN,UUT GPS CPU_OVERLOAD,UUT GPS ANT_SHORT_CIRCUIT,UUT GPS ANT_OPEN_CIRCUIT,UUT GPS LNA_FAILURE,UUT GPS ANT_POWER_STATUS,UUT GPS VOLT_STATUS,UUT GPS TEMP_STATUS,UUT GPS ERROR_FLAG,UUT GPS MSG_SAT_PRN1,UUT GPS MSG_SAT_PRN2,UUT GPS MSG_SAT_PRN3,UUT GPS MSG_SAT_PRN4,UUT GPS MSG_SAT_PRN5,UUT GPS MSG_SAT_PSR1,UUT GPS MSG_SAT_PSR2,UUT GPS MSG_SAT_PSR3,UUT GPS MSG_SAT_PSR4,UUT GPS MSG_SAT_PSR5,UUT GPS MSG_SAT_DOPP1,UUT GPS MSG_SAT_DOPP2,UUT GPS MSG_SAT_DOPP3,UUT GPS MSG_SAT_DOPP4,UUT GPS MSG_SAT_DOPP5,UUT GPS MSG_SAT_CNO1,UUT GPS MSG_SAT_CNO2,UUT GPS MSG_SAT_CNO3,UUT GPS MSG_SAT_CNO4,UUT GPS MSG_SAT_CNO5,UUT GPS MSG_SAT_TRACK_STAT1,UUT GPS MSG_SAT_TRACK_STAT2,UUT GPS MSG_SAT_TRACK_STAT3,UUT GPS MSG_SAT_TRACK_STAT4,UUT GPS MSG_SAT_TRACK_STAT5,UUT GPS GPS_SOLUTION_TIME_TAG,UUT GPS GPS_CYCLES_SINCE_CRC_DATA,UUT GPS GPS_CYCLES_SINCE_LATEST_DATA,UUT GPS GPS_LOCK_COUNT,UUT GPS MSG_GPS_TEMP1,UUT GPS MSG_GPS_TEMP2,UUT GPS MSG_ANT_CURRENT,UUT GPS MSG_ANT_VOLTAGE,UUT GPS MSG_GPS_VOLTAGE_SUPPLY,UUT GPS MSG_GPS_VOLTAGE3P3,UUT GPS MSG_GPS_VOLTAGE1P8,UUT GPS MSG_GPS_VOLTAGE1P2,UUT GPS MSG_TRACKED_SATELLITES,UUT GPS MSG_USED_SATELLITES,UUT GPS GPS_HEALTH1_PACK,UUT GPS GPS_POS_LOCK,UUT GPS GPS_TIME_LOCK,UUT GPS MSG_DATA_VALID,UUT GPS GPS_NEW_DATA_RECEIVED,UUT GPS GPS_ENABLE,UUT GPS GPS_VALID,UUT GPS HEALTH1_PACK_SPARE1,Unnamed: 97
0,1662670625.390264,2022/09/08 16:57:05.390,1662670625.390264,2022/09/08 16:57:05.390,4575,13582272291320560583,18,158,1,431989659,0.0,REALTIME,715985858,6236.836128158177,-27.615158619242,2682.605085869739,-2.218752585,4.7324063800000005,5.190762115,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5,25,17,15,12,24573234,22549517,24870117,19993934,20220331,-32768,-29624,32767,-5244,-12013,39.400000000000006,42.8,36.6,47.8,52.1,939572228,939572260,671136836,939572324,939572388,4159942524,5,5,17,18.9257139072,19.8399996032,0.012573434128,5.1145002045800005,3.24900012996,3.233333495,1.8,1.2,14,14,198,YES,YES,NO,NO,YES,YES,0,
1,1662670626.364274,2022/09/08 16:57:06.364,1662670626.364274,2022/09/08 16:57:06.364,4576,13582272291320560583,18,158,2,431989660,0.0,REALTIME,715985859,6234.6134882693095,-22.882418855879,2687.794365610275,-2.225953745,4.732750935,5.18729945,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5,25,17,15,12,24579562,22555156,24863315,19994938,20222621,-32768,-29642,32767,-5307,-12054,39.5,42.8,36.7,48.0,52.1,939572228,939572260,671136836,939572324,939572388,4160942523,5,5,17,18.9257139072,19.8399996032,0.012695506304,5.11650020466,3.2480001299200003,3.233333495,1.82,1.2,14,14,198,YES,YES,NO,NO,YES,YES,0,
2,1662670627.444833,2022/09/08 16:57:07.444,1662670627.444833,2022/09/08 16:57:07.444,4577,13582272291320560583,18,158,3,431989661,0.0,REALTIME,715985860,6232.384048380782,-18.149519092524,2692.9800653509897,-2.23318984,4.733108715,5.18383249,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5,25,17,15,12,24585891,22560798,24856513,19995954,20224919,-32768,-29659,32767,-5369,-12095,39.2,42.5,37.1,48.0,52.0,939572228,939572260,671136836,939572324,939572388,4161942523,5,5,17,18.9257139072,19.8399996032,0.01281757848,5.10850020434,3.24900012996,3.233333495,1.82,1.2,13,13,198,YES,YES,NO,NO,YES,YES,0,
3,1662670628.423841,2022/09/08 16:57:08.423,1662670628.423841,2022/09/08 16:57:08.423,4578,13582272291320560583,18,158,4,431989662,0.0,REALTIME,715985861,6230.147128492627,-13.416259329187,2698.162185091884,-2.240429255,4.733448125,5.1803843700000005,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5,25,17,15,12,24592223,22566444,24849713,19996981,20227224,-32768,-29677,32767,-5431,-12135,38.8,42.2,37.2,48.1,51.8,939572228,939572260,671136836,939572324,939572388,4162942522,5,5,17,18.9257139072,19.8399996032,0.012695506304,5.1145002045800005,3.24900012996,3.233333495,1.82,1.2,13,13,198,YES,YES,NO,NO,YES,YES,0,
4,1662670629.295851,2022/09/08 16:57:09.295,1662670629.295851,2022/09/08 16:57:09.295,4579,13582272291320560583,18,158,5,431989663,0.0,REALTIME,715985862,6227.902908604839,-8.682659565866999,2703.3407048329577,-2.247619135,4.733795455,5.17698766,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5,25,17,15,12,24598556,22572093,24842914,19998021,20229537,-32768,-29696,32767,-5494,-12177,38.8,41.900000000000006,37.4,48.0,51.7,939572228,939572260,671136836,939572324,939572388,4163942522,5,5,17,18.9257139072,19.8399996032,0.012451361952,5.11850020474,3.2480001299200003,3.233333495,1.82,1.2,12,12,198,YES,YES,NO,NO,YES,YES,0,
5,1662670630.38686,2022/09/08 16:57:10.386,1662670630.38686,2022/09/08 16:57:10.386,4580,13582272291320560583,18,158,6,431989664,0.0,REALTIME,715985863,6225.651828717393,-3.948679802566,2708.5162445741807,-2.254838515,4.73414344,5.1735233350000005,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5,25,17,15,12,24604891,22577746,24836116,19999072,20231858,-32768,-29716,32767,-5559,-12220,38.900000000000006,41.6,37.4,47.900000000000006,51.5,939572228,939572260,671136836,939572324,939572388,4164942521,5,5,17,18.9257139072,19.8399996032,0.012695506304,5.112500204500001,3.23950012958,3.233333495,1.82,1.2,13,13,198,YES,YES,NO,NO,YES,YES,0,
6,1662670631.3578691,2022/09/08 16:57:11.357,1662670631.3578691,2022/09/08 16:57:11.357,4581,13582272291320560583,18,158,7,431989665,0.0,REALTIME,715985864,6223.393728830298,0.785679960716,2713.688624315562,-2.262077155,4.734469505,5.16999053,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5,25,17,15,12,24611228,22583402,24829319,20000136,20234188,-32768,-29732,32767,-5619,-12259,38.900000000000006,41.400000000000006,37.8,48.0,51.400000000000006,939572228,939572260,671136836,939572324,939572388,4165942521,5,5,17,18.9257139072,19.8399996032,0.012695506304,5.112500204500001,3.23800012952,3.233333495,1.82,1.2,13,13,198,YES,YES,NO,NO,YES,YES,0,
7,1662670632.340331,2022/09/08 16:57:12.340,1662670632.340331,2022/09/08 16:57:12.340,4582,13582272291320560583,18,158,8,431989666,0.0,REALTIME,715985865,6221.127548943607,5.520239723988,2718.856284057179,-2.26922639,4.7348066950000005,5.16660269,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5,25,17,15,12,24617566,22589061,24822524,20001211,20236524,-32768,-29749,32767,-5680,-12299,38.6,41.3,37.6,48.1,51.2,939572228,939572260,671136836,939572324,939572388,4166942520,5,5,17,18.9257139072,19.8399996032,0.012695506304,5.11050020442,3.2480001299200003,3.233333495,1.82,1.2,12,12,198,YES,YES,NO,NO,YES,YES,0,
8,1662670633.322342,2022/09/08 16:57:13.322,1662670633.322342,2022/09/08 16:57:13.322,4583,13582272291320560583,18,158,9,431989667,0.0,REALTIME,715985866,6218.854729057248,10.255159487242,2724.021223798932,-2.2764544300000003,4.735132135,5.163138375,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5,25,17,15,12,24623906,22594724,24815729,20002298,20238868,-32768,-29767,32767,-5743,-12340,38.900000000000006,40.900000000000006,37.4,48.2,51.1,939572228,939572260,671136836,939572324,939572388,4167942520,5,5,17,18.9257139072,19.8399996032,0.012695506304,5.112500204500001,3.24900012996,3.233333495,1.82,1.2,12,12,198,YES,YES,NO,NO,YES,YES,0,
9,1662670634.300999,2022/09/08 16:57:14.300,1662670634.300999,2022/09/08 16:57:14.300,4584,13582272291320560583,18,158,10,431989668,0.0,REALTIME,715985867,6216.575409171213,14.99039925048,2729.183623540812,-2.283599895,4.73545283,5.15969471,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,5,25,17,15,12,24630248,22600390,24808935,20003396,20241221,-32768,-29786,32767,-5807,-12382,38.400000000000006,40.900000000000006,37.7,48.1,50.900000000000006,939572228,939572260,671136836,939572324,939572388,4168942519,5,5,17,18.9257139072,19.8399996032,0.012451361952,5.11850020474,3.23800012952,3.233333495,1.82,1.2,14,14,198,YES,YES,NO,NO,YES,YES,0,
