,UUT COMMAND_TLM PACKET_TIMESECONDS,UUT COMMAND_TLM PACKET_TIMEFORMATTED,UUT COMMAND_TLM RECEIVED_TIMESECONDS,UUT COMMAND_TLM RECEIVED_TIMEFORMATTED,UUT COMMAND_TLM RECEIVED_COUNT,UUT COMMAND_TLM SYNC,UUT COMMAND_TLM MSG_ID,UUT COMMAND_TLM LEN,UUT COMMAND_TLM SEQ,UUT COMMAND_TLM CCSDS_TAI_SECS,UUT COMMAND_TLM CCSDS_TAI_SUBSECS,UUT COMMAND_TLM CCSDS_REALTIME,UUT COMMAND_TLM REALTIME_CMD_ACCEPT_COUNT,UUT COMMAND_TLM REALTIME_CMD_REJECT_COUNT,UUT COMMAND_TLM STORED_CMD_ACCEPT_COUNT,UUT COMMAND_TLM STORED_CMD_REJECT_COUNT,UUT COMMAND_TLM SEQUENCE_CMD_ACCEPT_COUNT,UUT COMMAND_TLM SEQUENCE_CMD_REJECT_COUNT,UUT TIME TAI_SECONDS,UUT TIME TIME_VALID,UUT GENERAL VOLUME_PERCENT_USED,UUT GENERAL MEM_TOTAL,UUT GENERAL MEM_FREE,UUT GENERAL MEM_AVAILABLE,UUT ANALOGS DET_TEMP,UUT ANALOGS MOTOR1_TEMP,UUT ANALOGS MOTOR2_TEMP,UUT ANALOGS MOTOR3_TEMP,UUT ANALOGS BATTERY_VOLTAGE,UUT ANALOGS BATTERY1_TEMP,UUT ANALOGS BUS_TEMP,UUT ANALOGS PAYLOAD_TEMP,UUT ANALOGS 5V_MON,UUT ANALOGS 3V3_MON,UUT ANALOGS V3_9V_MON,UUT ANALOGS V4_9V_MON,UUT ANALOGS 5V_CURR_MON,UUT ANALOGS 3V3_CURR_MON,UUT ANALOGS V3_9V_CURR_MON,UUT ANALOGS V4_9V_CURR_MON,UUT ANALOGS 5V_AUX_MON,UUT ANALOGS VSOLAR_MON,UUT ANALOGS BB_TEMP_MON,UUT ANALOGS BUCK_TEMP_MON,UUT ANALOGS I_SOLAR_MON,UUT ANALOGS I_BAT1_MON,UUT ANALOGS I_CHG_MON,UUT POWER HEATER_STATUS1,UUT REFS TIME_NOW,UUT REFS POSITION_WRT_ECEF1,UUT REFS POSITION_WRT_ECEF2,UUT REFS POSITION_WRT_ECEF3,UUT REFS VELOCITY_WRT_ECEF1,UUT REFS VELOCITY_WRT_ECEF2,UUT REFS VELOCITY_WRT_ECEF3,UUT REFS POSITION_WRT_ECI1,UUT REFS POSITION_WRT_ECI2,UUT REFS POSITION_WRT_ECI3,UUT REFS VELOCITY_WRT_ECI1,UUT REFS VELOCITY_WRT_ECI2,UUT REFS VELOCITY_WRT_ECI3,UUT REFS REFS_VALID,UUT GPS GPS_TIME,UUT GPS GPS_POSITION_ECEF1,UUT GPS GPS_POSITION_ECEF2,UUT GPS GPS_POSITION_ECEF3,UUT GPS GPS_VELOCITY_ECEF1,UUT GPS GPS_VELOCITY_ECEF2,UUT GPS GPS_VELOCITY_ECEF3,UUT GPS MSG_GPS_TEMP1,UUT GPS MSG_GPS_TEMP2,UUT GPS MSG_USED_SATELLITES,UUT GPS GPS_POS_LOCK,UUT GPS GPS_TIME_LOCK,UUT GPS MSG_DATA_VALID,UUT GPS GPS_NEW_DATA_RECEIVED,UUT GPS GPS_ENABLE,UUT GPS GPS_VALID,UUT ATT_CMD RECOMMEND_SUN_POINT,UUT ATT_CTRL SUN_POINT_ANGLE_ERROR,UUT ATT_CTRL SUN_POINT_STATE,UUT ATT_CTRL MOMENTUM_TOO_HIGH,UUT ATT_CTRL ATT_CTRL_ACTIVE,UUT ATT_DET Q_BODY_WRT_ECI1,UUT ATT_DET Q_BODY_WRT_ECI2,UUT ATT_DET Q_BODY_WRT_ECI3,UUT ATT_DET Q_BODY_WRT_ECI4,UUT ATT_DET BODY_RATE1,UUT ATT_DET BODY_RATE2,UUT ATT_DET BODY_RATE3,UUT ATT_DET MEAS_RATE_VALID,UUT ATT_DET MEAS_ATT_VALID,UUT ATT_DET ATTITUDE_VALID,UUT ATT_DET REINIT_COUNT,UUT CSS CSS_INVALID_COUNT,UUT MOMENTUM TOTAL_MOMENTUM_MAG,UUT MOMENTUM DUTY_CYCLE1,UUT MOMENTUM DUTY_CYCLE2,UUT MOMENTUM DUTY_CYCLE3,UUT MOMENTUM TORQUE_ROD_MODE1,UUT MOMENTUM TORQUE_ROD_MODE2,UUT MOMENTUM TORQUE_ROD_MODE3,UUT TRACKER ATTITUDE_ST1,UUT TRACKER ATTITUDE_ST2,UUT TRACKER ATTITUDE_ST3,UUT TRACKER ATTITUDE_ST4,UUT TRACKER RATE_EST1,UUT TRACKER RATE_EST2,UUT TRACKER RATE_EST3,UUT TRACKER PEAK_BCKGND_ALL_TRK_BLKS,UUT TRACKER MEDIAN_BCKGND_ALL_TRK_BLKS,UUT TRACKER OPERATING_MODE,UUT TRACKER ATT_STATUS,UUT TRACKER NUM_ATTITUDE_STARS,UUT TRACKER NUM_TRACK_STARS,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT1,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT2,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT4,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT5,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT6,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT7,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT8,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT9,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT10,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT13,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT14,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT15,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT16,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT17,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT18,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT19,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT20,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT21,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT22,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT23,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT29,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT30,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT37,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT38,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT40,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT41,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT42
0,1662579574,44811.65248,1662579574,44811.65248,5495,1.35823e+19,1,512,1,431898607,0.4,REALTIME,14,0,236,0,0,0,715894807.4,YES,25,85,7,19,16.80000021,14.29999971,14.59999971,14.04499972,12.30000062,12.02999976,13.88300056,10.48000042,4.9880002,3.320500133,3.901500156,3.965000159,0.23800001,0.708000028,0.024500001,0.024500001,5.024000201,16.04900064,17.91900072,16.35800065,1.690000068,0.067000003,0.796000032,OFF,715894807.6,-443.2806378,-4248.161008,-5286.371156,7.30562734,0.168525905,-0.747212555,-4263.133747,-409.0334795,-5277.070396,1.64366915,-7.43681894,-0.750596025,YES,715894807,-447.6639176,-4248.261408,-5285.921636,7.305277735,0.16591493,-0.75127118,17.15428537,18.07142821,16,YES,YES,NO,NO,YES,YES,NO,1.253999916,ON_SUN,NO,YES,0.712954071,0.276603132,-0.336007733,0.549805387,-0.005787655,-0.005630575,-0.00122928,YES,YES,YES,1,0,0.001,25,3,13,AUTO,AUTO,AUTO,-0.953355667,0.084923682,-0.250500913,0.145431196,-0.0066375,-0.0019875,-0.0044125,304,200,TRACK,OK,23,23,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
1,1662579575,44811.65249,1662579575,44811.65249,5496,1.35823e+19,1,512,2,431898608,0.4,REALTIME,14,0,236,0,0,0,715894808.4,YES,25,85,7,19,16.80000021,14.29999971,14.59999971,14.04499972,12.30000062,12.02999976,13.94300056,10.39600042,4.9880002,3.320500133,3.901500156,3.965000159,0.207500008,0.653000026,0.024500001,0.024500001,5.024000201,15.61950062,17.93850072,16.35800065,2.103500084,0.171000007,1.521000061,OFF,715894808.6,-435.9747382,-4247.990328,-5287.115016,7.30620656,0.172816265,-0.74049984,-4261.487367,-416.4700192,-5277.817636,1.64906569,-7.436296415,-0.74389509,YES,715894808,-440.358358,-4248.093348,-5286.669516,7.30585901,0.17018529,-0.74454373,17.15428537,18.07142821,16,YES,YES,NO,NO,YES,YES,NO,1.262999916,ON_SUN,NO,YES,0.710270811,0.276442386,-0.337550821,0.552407807,-0.005791475,-0.00564067,-0.001151545,YES,YES,YES,1,0,0.001,15,4,6,AUTO,AUTO,AUTO,-0.954255977,0.083578462,-0.24956754,0.141866891,-0.0065525,-0.00202,-0.0045875,292,200,TRACK,OK,20,20,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
2,1662579576,44811.6525,1662579576,44811.6525,5497,1.35823e+19,1,512,3,431898609,0.4,REALTIME,14,0,236,0,0,0,715894809.4,YES,25,85,7,19,16.80000021,14.29999971,14.59999971,14.04499972,12.30000062,12.02999976,13.94300056,10.45900042,4.9880002,3.323000133,3.901500156,3.965000159,0.207500008,0.647000026,0.024500001,0.024500001,5.024000201,15.65850063,17.95850072,16.35800065,2.319500093,0.104000004,1.460000058,OFF,715894809.6,-428.6682386,-4247.815368,-5287.852156,7.3067772,0.177106325,-0.733786185,-4259.835607,-423.9060588,-5278.558176,1.65446014,-7.43576448,-0.737193205,YES,715894809,-433.0522183,-4247.921008,-5287.410696,7.306439645,0.17447571,-0.73784806,17.15428537,18.07142821,16,YES,YES,NO,NO,YES,YES,NO,1.262999916,ON_SUN,NO,YES,0.707549861,0.276262924,-0.339116964,0.555023995,-0.005686885,-0.005704035,-0.00119955,YES,YES,YES,1,0,0.001,19,3,10,AUTO,AUTO,AUTO,-0.955153599,0.082080532,-0.248667954,0.138233997,-0.006615,-0.0019875,-0.0045475,764,196,TRACK,OK,18,19,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
3,1662579577,44811.65251,1662579577,44811.65251,5498,1.35823e+19,1,512,4,431898610,0.4,REALTIME,14,0,236,0,0,0,715894810.4,YES,25,85,7,19,16.80000021,14.31999971,14.61999971,14.04499972,12.30000062,12.02999976,13.96300056,10.45900042,4.9880002,3.320500133,3.901500156,3.965000159,0.207500008,0.641000026,0.024500001,0.024500001,5.024000201,15.71700063,17.97850072,16.37800066,2.554000102,0.018500001,1.394000056,OFF,715894810.6,-421.3611789,-4247.636128,-5288.582576,7.30733925,0.181396065,-0.727071615,-4258.178447,-431.3415384,-5279.292036,1.659852485,-7.435223125,-0.730490395,YES,715894810,-425.7454987,-4247.744408,-5288.145156,7.30699457,0.178739605,-0.731116985,17.15428537,18.07142821,16,YES,YES,NO,NO,YES,YES,NO,1.298999913,ON_SUN,NO,YES,0.704820758,0.276025896,-0.3407537,0.557605847,-0.005624715,-0.00586515,-0.00138157,YES,YES,YES,1,0,0.001,24,9,7,AUTO,AUTO,AUTO,-0.956021552,0.080926625,-0.247699126,0.134606153,-0.0068175,-0.00203,-0.0030125,356,196,TRACK,OK,16,16,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
4,1662579578,44811.65252,1662579578,44811.65252,5499,1.35823e+19,1,512,5,431898611,0.4,REALTIME,14,0,236,0,0,0,715894811.4,YES,25,85,7,19,16.80000021,14.31999971,14.61999971,14.04499972,12.30000062,12.02999976,13.94300056,10.48000042,4.9880002,3.320500133,3.901500156,3.965000159,0.226000009,0.659000026,0.024500001,0.024500001,5.024000201,15.69750063,17.97850072,16.35800065,2.113000085,0.104000004,1.49400006,OFF,715894811.6,-414.0535593,-4247.452588,-5289.306296,7.30789271,0.1856855,-0.720356115,-4256.515907,-438.7764981,-5280.019156,1.66524273,-7.43467236,-0.72378666,YES,715894811,-418.4382191,-4247.563508,-5288.872916,7.307558375,0.183074365,-0.72439901,17.15428537,18.07142821,16,YES,YES,NO,NO,YES,YES,NO,1.157999923,ON_SUN,NO,YES,0.702072974,0.275815115,-0.342330268,0.560204881,-0.00584527,-0.00569991,-0.001154905,YES,YES,YES,1,0,0.001,20,2,11,AUTO,AUTO,AUTO,-0.956890074,0.079424669,-0.246794565,0.130941022,-0.00659,-0.0018725,-0.003975,260,192,TRACK,OK,18,18,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
5,1662579579,44811.65253,1662579579,44811.65253,5500,1.35823e+19,1,512,6,431898612,0.4,REALTIME,14,0,236,0,0,0,715894812.4,YES,25,85,7,19,16.80000021,14.31999971,14.61999971,14.04499972,12.30000062,12.04999976,14.00300056,10.43800042,4.9880002,3.323000133,3.901500156,3.965000159,0.207500008,0.653000026,0.024500001,0.024500001,5.022500201,15.63900063,18.01800072,16.37800066,2.235000089,0.171000007,1.423500057,OFF,715894812.6,-406.7453997,-4247.264748,-5290.023295,7.308437585,0.18997461,-0.713639715,-4254.847967,-446.2108777,-5280.739596,1.670630855,-7.43411218,-0.717082015,YES,715894812,-411.1303994,-4247.378308,-5289.593956,7.308105985,0.187350775,-0.717708715,17.15428537,18.07142821,16,YES,YES,NO,NO,YES,YES,NO,1.157999923,ON_SUN,NO,YES,0.699348249,0.275540925,-0.343898802,0.562781307,-0.005629815,-0.00589164,-0.001068475,YES,YES,YES,1,0,0.001,18,3,9,AUTO,AUTO,AUTO,-0.957718659,0.078166992,-0.245882285,0.127305904,-0.006785,-0.00181,-0.0025075,256,196,TRACK,OK,16,16,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
6,1662579580,44811.65255,1662579580,44811.65255,5501,1.35823e+19,1,512,7,431898613,0.4,REALTIME,14,0,236,0,0,0,715894813.4,YES,25,85,7,19,16.80000021,14.31999971,14.61999971,14.04499972,12.28000061,12.04999976,13.94300056,10.41700042,4.9880002,3.320500133,3.901500156,3.965000159,0.213500009,0.647000026,0.024500001,0.024500001,5.024000201,15.65850063,18.03750072,16.39750066,2.516500101,0.085500003,1.49650006,OFF,715894813.6,-399.43668,-4247.072628,-5290.733575,7.30897387,0.194263405,-0.706922405,-4253.174647,-453.6447173,-5281.453336,1.67601687,-7.43354259,-0.710376455,YES,715894813,-403.8220198,-4247.188808,-5290.308255,7.30867191,0.19164242,-0.71095307,17.15428537,18.07142821,16,YES,YES,NO,NO,YES,YES,NO,1.169999922,ON_SUN,NO,YES,0.696638042,0.275195246,-0.345461745,0.565348705,-0.005415035,-0.0058785,-0.001013595,YES,YES,YES,1,0,0.001,19,6,7,AUTO,AUTO,AUTO,-0.958518315,0.076901604,-0.245029723,0.123649579,-0.0068525,-0.0017575,-0.0034625,276,192,TRACK,OK,19,19,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
7,1662579581,44811.65256,1662579581,44811.65256,5502,1.35823e+19,1,512,8,431898614,0.4,REALTIME,14,0,236,0,0,0,715894814.4,YES,25,85,7,19,16.80000021,14.31999971,14.63999971,14.06499972,12.30000062,12.04999976,13.96300056,10.45900042,4.9880002,3.323000133,3.906000156,3.965000159,0.207500008,0.641000026,0.024500001,0.024500001,5.024000201,15.69750063,18.05750072,16.37800066,2.00000008,0.091500004,1.401500056,OFF,715894814.6,-392.1274404,-4246.876228,-5291.437135,7.309501565,0.198551865,-0.70020421,-4251.495927,-461.0779769,-5282.160356,1.681400755,-7.43296359,-0.70367001,YES,715894814,-396.5131202,-4246.995048,-5291.015855,7.30919277,0.195935085,-0.70425864,17.15428537,18.07142821,16,YES,YES,NO,NO,YES,YES,NO,1.169999922,ON_SUN,NO,YES,0.693939837,0.274831676,-0.347008723,0.567890799,-0.00545983,-0.00580812,-0.00105754,YES,YES,YES,1,0,0.001,23,8,7,AUTO,AUTO,AUTO,-0.959293103,0.075661216,-0.244197686,0.119998391,-0.0066975,-0.00171,-0.0042975,800,196,TRACK,OK,22,22,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
8,1662579582,44811.65257,1662579582,44811.65257,5503,1.35823e+19,1,512,9,431898615,0.4,REALTIME,14,0,236,0,0,0,715894815.4,YES,25,85,7,19,16.80000021,14.31999971,14.63999971,14.06499972,12.30000062,12.04999976,13.94300056,10.45900042,4.9880002,3.320500133,3.901500156,3.965000159,0.207500008,0.628500025,0.024500001,0.024500001,5.024000201,15.71700063,18.05750072,16.37800066,2.103500084,0.165000007,1.428000057,OFF,715894815.6,-384.8176808,-4246.675528,-5292.133975,7.310020675,0.20284,-0.69348513,-4249.811848,-468.5106566,-5282.860676,1.686782505,-7.43237518,-0.69696267,YES,715894815,-389.2036605,-4246.796968,-5291.716775,7.309721135,0.20022315,-0.69757665,17.15428537,18.07142821,16,YES,YES,NO,NO,YES,YES,NO,1.136999924,ON_SUN,NO,YES,0.691207914,0.27449661,-0.348546206,0.570437317,-0.0056352,-0.005768975,-0.00109239,YES,YES,YES,1,0,0.001,24,5,10,AUTO,AUTO,AUTO,-0.960065419,0.074267315,-0.243363819,0.116330604,-0.0067,-0.0018225,-0.003465,800,192,TRACK,OK,21,21,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
9,1662579583,44811.65258,1662579583,44811.65258,5504,1.35823e+19,1,512,10,431898616,0.4,REALTIME,14,0,236,0,0,0,715894816.4,YES,25,85,7,19,16.80000021,14.31999971,14.63999971,14.06499972,12.28000061,12.04999976,14.00300056,10.45900042,4.9880002,3.320500133,3.901500156,3.965000159,0.219500009,0.653000026,0.024500001,0.024500001,5.022500201,15.71700063,18.09700072,16.39750066,2.122000085,0.079500003,1.426000057,OFF,715894816.6,-377.5074211,-4246.470548,-5292.824115,7.310531185,0.207127795,-0.68676518,-4248.122368,-475.9427162,-5283.554276,1.692162115,-7.43177736,-0.69025446,YES,715894816,-381.8937009,-4246.594608,-5292.410975,7.31020407,0.20450233,-0.69082054,17.15428537,18.07142821,16,YES,YES,NO,NO,YES,YES,NO,1.238999917,ON_SUN,NO,YES,0.688493062,0.274140552,-0.350047276,0.572966951,-0.00552492,-0.005752115,-0.00093617,YES,YES,YES,1,0,0.001,20,3,10,AUTO,AUTO,AUTO,-0.960815117,0.072917615,-0.24253161,0.112675422,-0.0067025,-0.00162,-0.004795,800,192,TRACK,OK,20,20,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0
