,UUT_COMMAND_TLM_PACKET_TIMESECONDS,UUT_COMMAND_TLM_PACKET_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_TIMESECONDS,UUT_COMMAND_TLM_RECEIVED_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_COUNT,UUT_COMMAND_TLM_SYNC,UUT_COMMAND_TLM_MSG_ID,UUT_COMMAND_TLM_LEN,UUT_COMMAND_TLM_SEQ,UUT_COMMAND_TLM_CCSDS_TAI_SECS,UUT_COMMAND_TLM_CCSDS_TAI_SUBSECS,UUT_COMMAND_TLM_CCSDS_REALTIME,UUT_COMMAND_TLM_REALTIME_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_REALTIME_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_STORED_CMD_REJECT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_TIMED_CMDS_ENABLED,UUT_COMMAND_TLM_MACROS_ENABLED,UUT_TIME_TAI_SECONDS,UUT_TIME_TIME_VALID,UUT_CLOCK_SYNC_HR_RUN_COUNT,UUT_GENERAL_VOLUME_PERCENT_USED,UUT_GENERAL_MEM_TOTAL,UUT_GENERAL_MEM_FREE,UUT_GENERAL_MEM_AVAILABLE,UUT_ANALOGS_DET_TEMP,UUT_ANALOGS_MOTOR1_TEMP,UUT_ANALOGS_MOTOR2_TEMP,UUT_ANALOGS_MOTOR3_TEMP,UUT_ANALOGS_BATTERY_VOLTAGE,UUT_ANALOGS_BATTERY1_TEMP,UUT_ANALOGS_BUS_TEMP,UUT_ANALOGS_PAYLOAD_TEMP,UUT_ANALOGS_5V_MON,UUT_ANALOGS_3V3_MON,UUT_ANALOGS_V3_9V_MON,UUT_ANALOGS_V4_9V_MON,UUT_ANALOGS_5V_CURR_MON,UUT_ANALOGS_3V3_CURR_MON,UUT_ANALOGS_V3_9V_CURR_MON,UUT_ANALOGS_V4_9V_CURR_MON,UUT_ANALOGS_5V_AUX_MON,UUT_ANALOGS_VSOLAR_MON,UUT_ANALOGS_BB_TEMP_MON,UUT_ANALOGS_BUCK_TEMP_MON,UUT_ANALOGS_I_SOLAR_MON,UUT_ANALOGS_I_BAT1_MON,UUT_ANALOGS_I_CHG_MON,UUT_POWER_HEATER_STATUS1,UUT_REFS_TIME_NOW,UUT_REFS_POSITION_WRT_ECEF1,UUT_REFS_POSITION_WRT_ECEF2,UUT_REFS_POSITION_WRT_ECEF3,UUT_REFS_VELOCITY_WRT_ECEF1,UUT_REFS_VELOCITY_WRT_ECEF2,UUT_REFS_VELOCITY_WRT_ECEF3,UUT_REFS_POSITION_WRT_ECI1,UUT_REFS_POSITION_WRT_ECI2,UUT_REFS_POSITION_WRT_ECI3,UUT_REFS_VELOCITY_WRT_ECI1,UUT_REFS_VELOCITY_WRT_ECI2,UUT_REFS_VELOCITY_WRT_ECI3,UUT_REFS_REFS_VALID,UUT_GPS_GPS_TIME,UUT_GPS_GPS_POSITION_ECEF1,UUT_GPS_GPS_POSITION_ECEF2,UUT_GPS_GPS_POSITION_ECEF3,UUT_GPS_GPS_VELOCITY_ECEF1,UUT_GPS_GPS_VELOCITY_ECEF2,UUT_GPS_GPS_VELOCITY_ECEF3,UUT_GPS_MSG_GPS_TEMP1,UUT_GPS_MSG_GPS_TEMP2,UUT_GPS_MSG_USED_SATELLITES,UUT_GPS_GPS_POS_LOCK,UUT_GPS_GPS_TIME_LOCK,UUT_GPS_MSG_DATA_VALID,UUT_GPS_GPS_NEW_DATA_RECEIVED,UUT_GPS_GPS_ENABLE,UUT_GPS_GPS_VALID,UUT_ATT_CMD_ADCS_MODE,UUT_ATT_CMD_RECOMMEND_SUN_POINT,UUT_ATT_CMD_SUN_POINT_REASON,UUT_ATT_CTRL_SUN_POINT_ANGLE_ERROR,UUT_ATT_CTRL_SUN_POINT_STATE,UUT_ATT_CTRL_MOMENTUM_TOO_HIGH,UUT_ATT_CTRL_ATT_CTRL_ACTIVE,UUT_ATT_DET_Q_BODY_WRT_ECI1,UUT_ATT_DET_Q_BODY_WRT_ECI2,UUT_ATT_DET_Q_BODY_WRT_ECI3,UUT_ATT_DET_Q_BODY_WRT_ECI4,UUT_ATT_DET_BODY_RATE1,UUT_ATT_DET_BODY_RATE2,UUT_ATT_DET_BODY_RATE3,UUT_ATT_DET_MEAS_RATE_VALID,UUT_ATT_DET_MEAS_ATT_VALID,UUT_ATT_DET_ATTITUDE_VALID,UUT_ATT_DET_REINIT_COUNT,UUT_CSS_CSS_INVALID_COUNT,UUT_MOMENTUM_TOTAL_MOMENTUM_MAG,UUT_MOMENTUM_DUTY_CYCLE1,UUT_MOMENTUM_DUTY_CYCLE2,UUT_MOMENTUM_DUTY_CYCLE3,UUT_MOMENTUM_TORQUE_ROD_MODE1,UUT_MOMENTUM_TORQUE_ROD_MODE2,UUT_MOMENTUM_TORQUE_ROD_MODE3,UUT_TRACKER_ATTITUDE_ST1,UUT_TRACKER_ATTITUDE_ST2,UUT_TRACKER_ATTITUDE_ST3,UUT_TRACKER_ATTITUDE_ST4,UUT_TRACKER_RATE_EST1,UUT_TRACKER_RATE_EST2,UUT_TRACKER_RATE_EST3,UUT_TRACKER_PEAK_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_MEDIAN_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_OPERATING_MODE,UUT_TRACKER_ATT_STATUS,UUT_TRACKER_NUM_ATTITUDE_STARS,UUT_TRACKER_NUM_TRACK_STARS,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT1,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT2,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT4,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT5,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT6,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT7,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT8,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT9,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT10,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT13,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT14,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT15,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT16,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT17,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT18,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT19,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT20,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT21,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT22,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT23,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT29,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT30,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT37,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT38,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT40,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT41,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT42,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT1,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT2,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT13,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT14,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT15,UUT_REFS_NADIR_VECTOR_BODY1,UUT_REFS_NADIR_VECTOR_BODY2,UUT_REFS_NADIR_VECTOR_BODY3,UUT_REFS_MODELED_SUN_VECTOR_BODY1,UUT_REFS_MODELED_SUN_VECTOR_BODY2,UUT_REFS_MODELED_SUN_VECTOR_BODY3,UUT_REFS_MOON_VECTOR_BODY1,UUT_REFS_MOON_VECTOR_BODY2,UUT_REFS_MOON_VECTOR_BODY3,UUT_REFS_Q_ECEF_WRT_ECI1,UUT_REFS_Q_ECEF_WRT_ECI2,UUT_REFS_Q_ECEF_WRT_ECI3,UUT_REFS_Q_ECEF_WRT_ECI4,UUT_RW_DRIVE_FILTERED_SPEED_RPM1,UUT_RW_DRIVE_FILTERED_SPEED_RPM2,UUT_RW_DRIVE_FILTERED_SPEED_RPM3,UUT_IMU_IMU_AVG_VECTOR_BODY1_DPS,UUT_IMU_IMU_AVG_VECTOR_BODY2_DPS,UUT_IMU_IMU_AVG_VECTOR_BODY3_DPS,timestamp_
0,1674056960.19604,44944.4509281944,1674056960.19604,44944.4509281944,3047,1.35822722913205e+19,1,512,1,727372196,0.2,REALTIME,17,0,3,0,0,0,EN,EN,727372196.199998,YES,16306584,26,85,14,19,14.40000018,11.1249997775,12.5399997492,11.5799997683999,12.320000616,10.3749997924999,11.47700045908,8.19900032796,4.98800019952,3.32300013292,3.89650015586,3.9600001584,0.20150000806,0.6225000249,0.02450000098,0.02450000098,5.02400020096,15.95100063804,15.76600063064,13.88300055532,2.25350009014,0.53700002148,0.99600003984,OFF,727372196.399998,-367.923521603822,-4206.09654969516,-5244.1036177948,7.19963618,-1.4832418,0.686019035,-756.893022155347,-4156.00579219969,-5242.32461788375,7.341343815,-2.179975015,0.66977711,YES,727372196,-370.802821459857,-4205.50326972482,-5244.37791778109,7.199538045,-1.484988245,0.68327979,14.2257140012,15.1399996971999,15,YES,YES,YES,YES,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,5.2319996512,NOT_ACTIVE,NO,YES,0.19447649561047,0.858388376332232,0.398544121029117,0.257896940842061,-0.00023884,-0.000454165,-0.000121785,YES,YES,YES,439,0,0.00350000014,41,2,53,AUTO,AUTO,AUTO,-0.405518845703124,-0.703177717773437,0.105287422851562,0.574465074218749,-0.0004824999806999,-9.74999960999999e-05,-4.49999982e-05,324,264,TRACK,OK,26,27,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0199999995,0.999799975005,-7.9999998e-05,-0.707119982322,-0.707079982323,3.9999999e-05,-0.109159997271,-0.886119977847,-0.450439988739,-6.34149980975499e-05,0.0011085499667434,-0.0450782726476517,0.998982811030514,40.5740020287,-1777.8660888933,-483.4360241718,-0.0401070444559462,0.0865166244692555,-0.194232686722368,2023-01-18 15:49:20.196039936
1,1674056961.70375,44944.4509456366,1674056961.70375,44944.4509456366,3048,1.35822722913205e+19,1,512,2,727289440,0.0,STORED,15,0,1,0,0,0,EN,EN,727289439.999994,YES,15892803,27,85,17,19,12.00000015,9.02999981939999,10.3349997933,9.4599998108,12.300000615,9.39999981199999,9.37650037506,5.50950022038,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.20150000806,0.6225000249,0.02450000098,0.02450000098,5.02400020096,16.47850065914,14.1225005649,12.00950048038,2.31950009278,0.7200000288,1.23550004942,OFF,727289440.199994,-4039.95229800237,-2359.99414200028,-4843.35949783201,5.436620295,-4.38254851,-2.400794835,-3628.09273859535,-2967.54839162257,-4835.23709823813,6.270622515,-3.73444531,-2.41462152,YES,727289439,-4046.47405767628,-2354.73442226327,-4840.47701797613,5.431052095,-4.38533682,-2.4085141,12.2114283272,13.2485711636,19,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,6.4379995708,NOT_ACTIVE,NO,YES,0.192039820159203,0.898807310023853,0.348686225526275,0.183532022329359,-0.000389135,-0.000275535,0.00013185,YES,YES,YES,423,0,0.00350000014,38,15,12,AUTO,AUTO,AUTO,-0.401926986328124,-0.658201360839843,0.185496963867187,0.608947076660156,-0.0003149999874,7.49999969999999e-06,0.0001799999928,204,160,TRACK,OK,33,33,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.394919990127,0.918719977032,0.0,-0.70719998232,-0.707039982324,0.0,0.138599996535,-0.896199977595,-0.421479989463,7.438199776854e-05,0.0011076129667716,0.0790776746276696,0.996867809093964,551.2380275619,-1604.4220802211,-306.620015331,-0.0487014111250775,0.0842247933574871,-0.180481700051758,2023-01-18 15:49:21.703749888
2,1674056961.80675,44944.4509468287,1674056961.80675,44944.4509468287,3049,1.35822722913205e+19,1,512,3,727289500,0.0,STORED,15,0,1,0,0,0,EN,EN,727289499.999995,YES,15893103,27,85,17,19,12.00000015,9.26999981459999,10.5849997883,9.67499980649999,12.300000615,9.4399998112,9.63350038534,5.77200023088,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.20150000806,0.64100002564,0.02450000098,0.02450000098,5.02400020096,16.34150065366,14.28150057126,12.1725004869,2.3850000954,0.51900002076,1.27200005088,OFF,727289500.199995,-3705.72429471377,-2618.68836906557,-4975.92201120388,5.700298335,-4.237612245,-2.016037465,-3243.65281781735,-3184.49034077547,-4968.6475915676,6.53914148,-3.4941016,-2.030465795,YES,727289499,-3712.5637543718,-2613.60260931986,-4973.50141132491,5.69507723,-4.24088036,-2.024435195,12.4542854652,13.3685711611999,18,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,6.2789995814,NOT_ACTIVE,NO,YES,0.193449325131013,0.894125650617486,0.354775195904495,0.193005699639885,-0.000235175,-0.000296055,-7.418e-05,YES,YES,YES,423,0,0.00350000014,40,13,16,AUTO,AUTO,AUTO,-0.403224139648437,-0.663565710449218,0.1751231484375,0.605328608398437,-0.0003074999877,-7.49999969999999e-06,-0.0004524999819,508,172,TRACK,OK,31,31,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.334759991631,0.942319976442,-7.9999998e-05,-0.707159982321,-0.707039982324,3.9999999e-05,0.132119996697,-0.88839997779,-0.439679989008,7.680499769585e-05,0.0011074479667765,0.0812582655622519,0.996692431099226,496.40002482,-1654.2320827116,-318.8040159402,-0.0372422555662358,0.0853707089133713,-0.188503108942947,2023-01-18 15:49:21.806749952
3,1674056962.03074,44944.4509494213,1674056962.03074,44944.4509494213,3050,1.35822722913205e+19,1,512,4,727289560,0.0,STORED,15,0,1,0,0,0,EN,EN,727289559.999994,YES,15893403,27,85,17,19,12.00000015,9.5049998099,10.8549997828999,9.9099998018,12.320000616,9.4849998103,9.86800039472,6.1025002441,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.19550000782,0.6225000249,0.02450000098,0.02450000098,5.02400020096,16.22450064898,14.42050057682,12.37550049502,2.52600010104,0.525000021,1.16700004668,OFF,727289560.199994,-3356.42599217869,-2868.15423659228,-5085.10292574484,5.93864461,-4.075029535,-1.62184688,-2844.01321779933,-3386.51203067438,-5078.71056606445,6.776933865,-3.23733105,-1.63680905,YES,727289559,-3363.55037182247,-2863.26411683678,-5083.15280584234,5.934186615,-4.07848067,-1.62972892,12.6971426032,13.614285442,17,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,6.0689995954,NOT_ACTIVE,NO,YES,0.194912081101758,0.888991124720177,0.361212305775753,0.20305095593898,-0.00028669,-0.00040428,-0.000168455,YES,YES,YES,423,0,0.00350000014,41,9,20,AUTO,AUTO,AUTO,-0.404584671874999,-0.669135882812499,0.164080037597656,0.601370230957031,-0.0004124999834999,-6.49999974e-05,0.0001899999923999,504,184,TRACK,OK,32,32,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.273439993164,0.961879975953,-7.9999998e-05,-0.707119982322,-0.707079982323,7.9999998e-05,0.124839996879,-0.879759978006,-0.458759988531,7.922699762319e-05,0.0011072769667816,0.0834384684968458,0.99651228310463,426.2260213113,-1690.9320845466,-331.8520165926,-0.0429718333456567,0.0853707089133713,-0.196524517834136,2023-01-18 15:49:22.030739968
4,1674056962.03375,44944.450949456,1674056962.03375,44944.450949456,3051,1.35822722913205e+19,1,512,5,727289620,0.0,STORED,15,0,1,0,0,0,EN,EN,727289619.999994,YES,15893703,27,85,17,19,12.80000016,9.7599998048,11.1049997779,10.1649997967,12.300000615,9.549999809,10.14300040572,6.52300026092,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.19550000782,0.6225000249,0.02450000098,0.02450000098,5.02400020096,16.16600064664,14.59900058396,12.59850050394,2.12200008488,0.45150001806,1.22300004892,OFF,727289620.199994,-2993.60873031955,-3107.35642463217,-5170.39784148009,6.15076339,-3.89549485,-1.220176175,-2431.05245844737,-3572.67160136641,-5164.91748175411,6.9829764,-2.96548592,-1.23560209,YES,727289619,-3000.98698995064,-3102.68112486593,-5168.9256815537,6.1467832,-3.89929523,-1.22821643,12.8828568851999,13.85714258,17,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,5.8319996112,NOT_ACTIVE,NO,YES,0.196471121570577,0.883306062333878,0.368054378138912,0.213788290224234,-0.00028986,-0.00041528,-7.274e-05,YES,YES,YES,423,0,0.00350000014,41,6,25,AUTO,AUTO,AUTO,-0.405938000976562,-0.674996901855468,0.152191172363281,0.597018734375,-0.0004274999828999,-4.24999983e-05,2.4999999e-06,544,200,TRACK,OK,34,34,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.211239994719,0.977439975564,-0.000119999997,-0.707159982321,-0.707079982323,7.9999998e-05,0.116479997088,-0.870159978246,-0.478839988029,8.16489975505299e-05,0.0011071019667869,0.0856182714314517,0.996327365110178,354.7120177356,-1716.8240858412,-344.6420172321,-0.0464095800133092,0.0807870466898346,-0.190221982276773,2023-01-18 15:49:22.033750016
5,1674056962.13875,44944.4509506713,1674056962.13875,44944.4509506713,3052,1.35822722913205e+19,1,512,6,727289680,0.0,STORED,15,0,1,0,0,0,EN,EN,727289679.999994,YES,15894003,27,85,17,19,12.80000016,10.0149997997,11.3549997729,10.4149997917,12.320000616,9.6099998078,10.31200041248,6.82350027294,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.19550000782,0.69600002784,0.02450000098,0.02450000098,5.02400020096,16.1075006443,14.7775005911,12.84100051364,2.14100008564,0.6225000249,1.10350004414,OFF,727289680.199994,-2618.86934905652,-3335.29215323538,-5231.3976184301,6.335826185,-3.6996285,-0.812613115,-2006.70303966484,-3742.09859289506,-5226.85493865723,7.15632303,-2.679852455,-0.82843055,YES,727289679,-2626.47232867637,-3330.85121345743,-5230.41901847903,6.332409215,-3.70371447,-0.820755725,13.0657140244,14.0428568619999,17,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,5.684999621,NOT_ACTIVE,NO,YES,0.198089317038213,0.87694346846113,0.375396522492069,0.225406712491865,-0.000292235,-0.000335935,1.302e-05,YES,YES,YES,423,0,0.00350000014,40,3,30,AUTO,AUTO,AUTO,-0.407296342773437,-0.681227051757812,0.139221977050781,0.592162675781249,-0.0003724999851,6.49999974e-05,-0.0011474999541,244,220,TRACK,OK,28,29,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.148639996284,0.988879975278,-0.000159999996,-0.707119982322,-0.707119982322,0.000119999997,0.106959997326,-0.859319978517,-0.500159987496,8.407099747787e-05,0.0011069209667923,0.0877976653660699,0.996137680115868,279.2380139619,-1722.6420861321,-356.4080178204,-0.0423988755677146,0.0859436666913134,-0.193086771166484,2023-01-18 15:49:22.138749952
6,1674056962.35176,44944.4509531366,1674056962.35176,44944.4509531366,3053,1.35822722913205e+19,1,512,7,727289740,0.0,STORED,15,0,1,0,0,0,EN,EN,727289739.999994,YES,15894303,27,85,17,19,12.80000016,10.2699997945999,11.599999768,10.6699997866,12.300000615,9.699999806,10.56350042254,7.14400028576,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.20150000806,0.6225000249,0.02450000098,0.02450000098,5.02400020096,16.0100006404,14.99550059982,13.0625005225,2.11300008452,0.5675000227,1.12550004502,OFF,727289740.199994,-2233.86082830695,-3550.99294245034,-5267.83315660832,6.493067705,-3.4879005,-0.401356825,-1572.96062135196,-3893.99848530006,-5264.24941678751,7.296083735,-2.381576185,-0.41749154,YES,727289739,-2241.64960791751,-3546.80556265971,-5267.34607663268,6.4902669,-3.492283475,-0.409577725,13.3685711611999,14.3457139987999,15,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,5.3519996432,NOT_ACTIVE,NO,YES,0.199840940003181,0.86964344860713,0.383533046329338,0.238088708238225,-0.000249255,-0.00036458,-6.8765e-05,YES,YES,YES,423,0,0.00350000014,38,0,35,AUTO,AUTO,AUTO,-0.408565186035156,-0.687943412597656,0.124822001464843,0.586709312988281,-0.0004474999821,1.24999995e-05,0.0010524999579,276,236,TRACK,OK,27,27,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.085719997857,0.996319975092,0.000119999997,-0.70719998232,-0.706999982325,-0.000119999997,0.095759997606,-0.846759978831,-0.523319986917,8.64929974052099e-05,0.0011067339667979,0.0899766383007007,0.995943227121702,194.0320097016,-1732.040086602,-379.2280189614,-0.0383881711221199,0.0830788778016029,-0.191367897832657,2023-01-18 15:49:22.351759872
7,1674056962.57375,44944.450955706,1674056962.57375,44944.450955706,3054,1.35822722913205e+19,1,512,8,727289800,0.0,STORED,15,0,1,0,0,0,EN,EN,727289799.999994,YES,15894603,27,85,17,19,13.60000017,10.4999997899999,11.8449997630999,10.9399997812,12.320000616,9.7849998043,10.8975004359,7.46150029846,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.2075000083,0.61650002466,0.02450000098,0.02450000098,5.02400020096,15.97050063882,15.19300060772,13.28300053132,2.15950008638,0.54300002172,1.08650004346,OFF,727289800.199994,-1840.2618079869,-3753.54355232281,-5279.5276360236,6.621968895,-3.26129079,0.011731735,-1131.84910340754,-4027.66701861663,-5276.919636154,7.40172546,-2.072273735,-0.00464481,YES,727289799,-1848.20606758969,-3749.62855251856,-5279.53631602317,6.61969192,-3.26591963,0.00353142,13.5542854432,14.5914282795999,17,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,5.3129996458,NOT_ACTIVE,NO,YES,0.201683233466335,0.861367863272642,0.392175932656481,0.252125514957489,-0.00042047,-0.000480205,-6.6545e-05,YES,YES,YES,423,0,0.00350000014,36,3,40,AUTO,AUTO,AUTO,-0.410126047363281,-0.695041785156249,0.109081540039062,0.580357441894531,-0.0004874999804999,-0.0001549999938,0.0011524999539,312,248,TRACK,OK,33,33,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.023359999416,0.999719975007,-7.9999998e-05,-0.707119982322,-0.707119982322,3.9999999e-05,0.082759997931,-0.832479979188,-0.547839986304,8.891399733258e-05,0.0011065419668037,0.0921551802353445,0.995744008127678,101.5240050762,-1726.2320863116,-396.700019835,-0.0561498622383247,0.0813600044677766,-0.188503108942947,2023-01-18 15:49:22.573750016
8,1674056962.67674,44944.4509568981,1674056962.67674,44944.4509568981,3055,1.35822722913205e+19,1,512,9,727289860,0.0,STORED,15,0,1,0,0,0,EN,EN,727289859.999994,YES,15894903,27,85,17,19,13.60000017,10.749999785,12.0899997582,11.1899997761999,12.320000616,9.88999980219999,11.14650044586,7.73150030926,4.98800019952,3.32050013282,3.90150015606,3.9600001584,0.2075000083,0.64100002564,0.02450000098,0.02450000098,5.02400020096,15.8925006357,15.41050061642,13.54350054174,2.09400008376,0.55550002222,1.01550004062,OFF,727289860.199994,-1439.79112801044,-3942.06282289684,-5266.42727667862,6.722083065,-3.02037748,0.4247578,-685.43696572815,-4142.47453287626,-5264.80719675962,7.47273821,-1.75316367,0.40821604,YES,727289859,-1447.85530760723,-3938.43510307823,-5266.93067665345,6.7204137,-3.02531567,0.416512825,13.85714258,14.8342854175999,17,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,4.8989996734,NOT_ACTIVE,NO,YES,0.203766575424668,0.851612387967751,0.401882121962357,0.267817556643648,-0.00067117,-0.000513105,-7.4845e-05,YES,YES,YES,423,0,0.00350000014,33,5,46,AUTO,AUTO,AUTO,-0.411484306640624,-0.702830666015624,0.0909975400390624,0.573087400390625,-0.0007199999712,-0.000124999995,-0.0009324999627,336,268,TRACK,OK,29,29,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.038599999035,0.999239975019,-7.9999998e-05,-0.70719998232,-0.707039982324,3.9999999e-05,0.066999998325,-0.815559979611,-0.574759985631,9.13339972599799e-05,0.0011063449668096,0.0943332831700014,0.995540024133798,8.3320004166,-1716.3260858163,-419.6320209816,-0.0635983133515719,0.0802140889118925,-0.198243391167962,2023-01-18 15:49:22.676739840
9,1674056962.90076,44944.4509594907,1674056962.90076,44944.4509594907,3056,1.35822722913205e+19,1,512,10,727289920,0.0,STORED,15,0,1,0,0,0,EN,EN,727289919.999994,YES,15895203,27,85,8,19,13.60000017,11.0649997786999,12.3349997533,11.4549997708999,12.300000615,9.99499980009999,11.39450045578,8.11050032442,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.2075000083,0.60400002416,0.02450000098,0.02450000098,5.02400020096,15.81450063258,15.62800062512,13.78350055134,2.06600008264,0.50050002002,1.02550004102,OFF,727289920.199994,-1034.19232829038,-4115.72185421389,-5228.59079857044,6.79291753,-2.76614778,0.83591684,-235.817308209133,-4237.8816681059,-5227.96625860167,7.508667245,-1.42588359,0.81928753,YES,727289919,-1042.34058788296,-4112.39871438005,-5229.58987852049,6.79183731,-2.7713193,0.82773261,14.1628568596,15.1399996971999,16,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,4.964999669,NOT_ACTIVE,NO,YES,0.205941416381171,0.840047637199046,0.412723173245536,0.28560049378799,-0.000734455,-0.00059508,2.034e-05,YES,NO,YES,423,0,0.00350000014,27,6,48,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,3,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.099239997519,0.995079975123,-0.000119999997,-0.707159982321,-0.707079982323,3.9999999e-05,0.048039998799,-0.795399980115,-0.604199984895,9.37539971873799e-05,0.0011061429668157,0.0965109331046719,0.99533127514006,-92.4540046227,-1669.0280834514,-450.2420225121,-0.0681819755751086,0.0739115533545295,-0.189649024498831,2023-01-18 15:49:22.900759808
