,C:\BCT\71sw0078_f_cosmos_click\outputs\logs\xb1_click\2022_09_07_14_03_07_tlm.bin,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TARGET,PACKET,PACKET_TIMESECONDS,PACKET_TIMEFORMATTED,RECEIVED_TIMESECONDS,RECEIVED_TIMEFORMATTED,RECEIVED_COUNT,SYNC,MSG_ID,LEN,SEQ,CCSDS_TAI_SECS,CCSDS_TAI_SUBSECS,CCSDS_REALTIME,GPS_TIME,GPS_POSITION_ECEF1,GPS_POSITION_ECEF2,GPS_POSITION_ECEF3,GPS_VELOCITY_ECEF1,GPS_VELOCITY_ECEF2,GPS_VELOCITY_ECEF3,MSG_RX_STATUS,AUX1_EVENT,AUX2_EVENT,AUX3_EVENT,DIG_FILT_EN,TRACKING_MODE,VERSION_BIT1,VERSION_BIT0,SOFTWARE_RESOURCE,EXT_OSC_LOCKED,CLOCK_MODEL,CLOCK_STEERING,POS_FIX,POS_SOL,ALMANAC_KNOWN,IMU_COMM,INS_RESET,JAMMER_DETECTED,ANT_GAIN_STATE,TRANSMIT_OVERRUN,INPUT_OVERRUN,LINK_OVERRUN,COM_BUF_OVERRUN,CPU_OVERLOAD,ANT_SHORT_CIRCUIT,ANT_OPEN_CIRCUIT,LNA_FAILURE,ANT_POWER_STATUS,VOLT_STATUS,TEMP_STATUS,ERROR_FLAG,MSG_SAT_PRN1,MSG_SAT_PRN2,MSG_SAT_PRN3,MSG_SAT_PRN4,MSG_SAT_PRN5,MSG_SAT_PSR1,MSG_SAT_PSR2,MSG_SAT_PSR3,MSG_SAT_PSR4,MSG_SAT_PSR5,MSG_SAT_DOPP1,MSG_SAT_DOPP2,MSG_SAT_DOPP3,MSG_SAT_DOPP4,MSG_SAT_DOPP5,MSG_SAT_CNO1,MSG_SAT_CNO2,MSG_SAT_CNO3,MSG_SAT_CNO4,MSG_SAT_CNO5,MSG_SAT_TRACK_STAT1,MSG_SAT_TRACK_STAT2,MSG_SAT_TRACK_STAT3,MSG_SAT_TRACK_STAT4,MSG_SAT_TRACK_STAT5,GPS_SOLUTION_TIME_TAG,GPS_CYCLES_SINCE_CRC_DATA,GPS_CYCLES_SINCE_LATEST_DATA,GPS_LOCK_COUNT,MSG_GPS_TEMP1,MSG_GPS_TEMP2,MSG_ANT_CURRENT,MSG_ANT_VOLTAGE,MSG_GPS_VOLTAGE_SUPPLY,MSG_GPS_VOLTAGE3P3,MSG_GPS_VOLTAGE1P8,MSG_GPS_VOLTAGE1P2,MSG_TRACKED_SATELLITES,MSG_USED_SATELLITES,GPS_HEALTH1_PACK,GPS_POS_LOCK,GPS_TIME_LOCK,MSG_DATA_VALID,GPS_NEW_DATA_RECEIVED,GPS_ENABLE,GPS_VALID,HEALTH1_PACK_SPARE1
2,UUT,GPS,1662573787,03:07.4,1662573787,03:07.4,3276,1.35823E+19,18,158,4,431892821,0,REALTIME,715889020,-179.706771,-4640.771168,-4962.005932,6.69985679,2.078217445,-2.186291035,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,29,23842218,21276344,23170294,26397518,21189819,32767,-23801,7394,-32359,-12023,36.4,37.6,32.9,41.6,38,671136772,671136804,939572292,671136868,671136932,1811267159,5,5,8,16.42285681,17.33714251,0.012817578,5.112500205,3.25050013,3.233333495,1.82,1.2,16,16,198,YES,YES,NO,NO,YES,YES,0
3,UUT,GPS,1662573788,03:08.4,1662573788,03:08.4,3277,1.35823E+19,18,158,5,431892822,0,REALTIME,715889021,-173.0066313,-4638.690468,-4964.189052,6.700415615,2.08312128,-2.1800406,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,29,23835973,21280877,23168889,26403675,21192110,32767,-23846,7369,-32358,-12060,36.3,37.7,33.2,41.6,37.7,671136772,671136804,939572292,671136868,671136932,1812267158,5,5,8,16.42285681,17.33714251,0.01232929,5.116500205,3.25050013,3.233333495,1.82,1.2,16,16,198,YES,YES,NO,NO,YES,YES,0
4,UUT,GPS,1662573790,03:09.7,1662573790,03:09.7,3278,1.35823E+19,18,158,6,431892823,0,REALTIME,715889022,-166.3060317,-4636.604728,-4966.365552,6.700942235,2.087975355,-2.173654575,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,29,23829731,21285419,23167489,26409833,21194408,32767,-23890,7345,-32355,-12095,36.3,37.7,33.8,41.6,37.8,671136772,671136804,939572292,671136868,671136932,1813267158,5,5,8,16.42285681,17.33714251,0.012573434,5.110500204,3.25150013,3.233333495,1.82,1.2,16,16,198,YES,YES,NO,NO,YES,YES,0
5,UUT,GPS,1662573791,03:10.7,1662573791,03:10.7,3279,1.35823E+19,18,158,7,431892824,0,REALTIME,715889023,-159.604972,-4634.513968,-4968.535572,6.701445765,2.092848495,-2.167366775,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,29,23823493,21289969,23166094,26415990,21196713,32767,-23934,7320,-32354,-12132,36.3,37.3,33.7,41.3,37.8,671136772,671136804,939572292,671136868,671136932,1814267157,5,5,8,16.42285681,17.33714251,0.012695506,5.112500205,3.24300013,3.26666683,1.82,1.2,16,16,198,YES,YES,NO,NO,YES,YES,0
6,UUT,GPS,1662573792,03:11.7,1662573792,03:11.7,3280,1.35823E+19,18,158,8,431892825,0,REALTIME,715889024,-152.9033724,-4632.418488,-4970.699531,6.70193107,2.09773417,-2.16101767,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,29,23817259,21294528,23164704,26422146,21199026,32754,-23979,7295,-32352,-12168,35.6,37.3,33.7,41.4,37.7,671136772,671136804,939572292,671136868,671136932,1815267157,5,5,8,16.42285681,17.33714251,0.012817578,5.108500204,3.24300013,3.26666683,1.82,1.2,16,16,198,YES,YES,NO,NO,YES,YES,0
7,UUT,GPS,1662573793,03:12.7,1662573793,03:12.7,3281,1.35823E+19,18,158,9,431892826,0,REALTIME,715889025,-146.2011527,-4630.318408,-4972.857591,6.70240947,2.10255669,-2.15478971,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,29,23811028,21299096,23163318,26428302,21201345,32735,-24023,7270,-32350,-12205,35.7,37,33.6,41.6,37.3,671136772,671136804,939572292,671136868,671136932,1816267156,5,5,8,16.42285681,17.33714251,0.012695506,5.112500205,3.24800013,3.233333495,1.82,1.2,16,16,198,YES,YES,NO,NO,YES,YES,0
8,UUT,GPS,1662573795,03:14.7,1662573795,03:14.7,3282,1.35823E+19,18,158,10,431892827,0,REALTIME,715889026,-139.498333,-4628.213669,-4975.009751,6.7029335,2.10739209,-2.1485061,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,29,23804800,21303671,23161937,26434458,21203671,32717,-24066,7246,-32347,-12240,36,37.4,33.7,41.8,37.6,671136772,671136804,939572292,671136868,671136932,1817267156,5,5,8,16.42285681,17.33714251,0.012817578,5.112500205,3.24650013,3.233333495,1.82,1.2,16,16,198,YES,YES,NO,NO,YES,YES,0
9,UUT,GPS,1662573795,03:14.8,1662573795,03:14.8,3283,1.35823E+19,18,158,11,431892828,0,REALTIME,715889027,-132.7951334,-4626.103829,-4977.155131,6.703428895,2.1122231,-2.14223721,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,6,22,24,26,29,23798576,21308255,23160560,26440614,21206003,32698,-24111,7222,-32345,-12276,35.8,37.1,34,41.8,37.7,671136772,671136804,939572292,671136868,671136932,1818267155,5,5,8,16.42285681,17.33714251,0.01232929,5.106500204,3.24550013,3.233333495,1.82,1.2,16,16,198,YES,YES,NO,NO,YES,YES,0
