,UUT COMMAND_TLM PACKET_TIMESECONDS,UUT COMMAND_TLM PACKET_TIMEFORMATTED,UUT COMMAND_TLM RECEIVED_TIMESECONDS,UUT COMMAND_TLM RECEIVED_TIMEFORMATTED,UUT COMMAND_TLM RECEIVED_COUNT,UUT COMMAND_TLM SYNC,UUT COMMAND_TLM MSG_ID,UUT COMMAND_TLM LEN,UUT COMMAND_TLM SEQ,UUT COMMAND_TLM CCSDS_TAI_SECS,UUT COMMAND_TLM CCSDS_TAI_SUBSECS,UUT COMMAND_TLM CCSDS_REALTIME,UUT COMMAND_TLM REALTIME_CMD_ACCEPT_COUNT,UUT COMMAND_TLM REALTIME_CMD_REJECT_COUNT,UUT COMMAND_TLM STORED_CMD_ACCEPT_COUNT,UUT COMMAND_TLM STORED_CMD_REJECT_COUNT,UUT COMMAND_TLM SEQUENCE_CMD_ACCEPT_COUNT,UUT COMMAND_TLM SEQUENCE_CMD_REJECT_COUNT,UUT TIME TAI_SECONDS,UUT TIME TIME_VALID,UUT CLOCK_SYNC HR_RUN_COUNT,UUT GENERAL VOLUME_PERCENT_USED,UUT GENERAL MEM_TOTAL,UUT GENERAL MEM_FREE,UUT GENERAL MEM_AVAILABLE,UUT ANALOGS DET_TEMP,UUT ANALOGS MOTOR1_TEMP,UUT ANALOGS MOTOR2_TEMP,UUT ANALOGS MOTOR3_TEMP,UUT ANALOGS BATTERY_VOLTAGE,UUT ANALOGS BATTERY1_TEMP,UUT ANALOGS BUS_TEMP,UUT ANALOGS PAYLOAD_TEMP,UUT ANALOGS 5V_MON,UUT ANALOGS 3V3_MON,UUT ANALOGS V3_9V_MON,UUT ANALOGS V4_9V_MON,UUT ANALOGS 5V_CURR_MON,UUT ANALOGS 3V3_CURR_MON,UUT ANALOGS V3_9V_CURR_MON,UUT ANALOGS V4_9V_CURR_MON,UUT ANALOGS 5V_AUX_MON,UUT ANALOGS VSOLAR_MON,UUT ANALOGS BB_TEMP_MON,UUT ANALOGS BUCK_TEMP_MON,UUT ANALOGS I_SOLAR_MON,UUT ANALOGS I_BAT1_MON,UUT ANALOGS I_CHG_MON,UUT POWER HEATER_STATUS1,UUT REFS TIME_NOW,UUT REFS POSITION_WRT_ECEF1,UUT REFS POSITION_WRT_ECEF2,UUT REFS POSITION_WRT_ECEF3,UUT REFS VELOCITY_WRT_ECEF1,UUT REFS VELOCITY_WRT_ECEF2,UUT REFS VELOCITY_WRT_ECEF3,UUT REFS POSITION_WRT_ECI1,UUT REFS POSITION_WRT_ECI2,UUT REFS POSITION_WRT_ECI3,UUT REFS VELOCITY_WRT_ECI1,UUT REFS VELOCITY_WRT_ECI2,UUT REFS VELOCITY_WRT_ECI3,UUT REFS REFS_VALID,UUT GPS GPS_TIME,UUT GPS GPS_POSITION_ECEF1,UUT GPS GPS_POSITION_ECEF2,UUT GPS GPS_POSITION_ECEF3,UUT GPS GPS_VELOCITY_ECEF1,UUT GPS GPS_VELOCITY_ECEF2,UUT GPS GPS_VELOCITY_ECEF3,UUT GPS MSG_GPS_TEMP1,UUT GPS MSG_GPS_TEMP2,UUT GPS MSG_USED_SATELLITES,UUT GPS GPS_POS_LOCK,UUT GPS GPS_TIME_LOCK,UUT GPS MSG_DATA_VALID,UUT GPS GPS_NEW_DATA_RECEIVED,UUT GPS GPS_ENABLE,UUT GPS GPS_VALID,UUT ATT_CMD RECOMMEND_SUN_POINT,UUT ATT_CTRL SUN_POINT_ANGLE_ERROR,UUT ATT_CTRL SUN_POINT_STATE,UUT ATT_CTRL MOMENTUM_TOO_HIGH,UUT ATT_CTRL ATT_CTRL_ACTIVE,UUT ATT_DET Q_BODY_WRT_ECI1,UUT ATT_DET Q_BODY_WRT_ECI2,UUT ATT_DET Q_BODY_WRT_ECI3,UUT ATT_DET Q_BODY_WRT_ECI4,UUT ATT_DET BODY_RATE1,UUT ATT_DET BODY_RATE2,UUT ATT_DET BODY_RATE3,UUT ATT_DET MEAS_RATE_VALID,UUT ATT_DET MEAS_ATT_VALID,UUT ATT_DET ATTITUDE_VALID,UUT ATT_DET REINIT_COUNT,UUT CSS CSS_INVALID_COUNT,UUT MOMENTUM TOTAL_MOMENTUM_MAG,UUT MOMENTUM DUTY_CYCLE1,UUT MOMENTUM DUTY_CYCLE2,UUT MOMENTUM DUTY_CYCLE3,UUT MOMENTUM TORQUE_ROD_MODE1,UUT MOMENTUM TORQUE_ROD_MODE2,UUT MOMENTUM TORQUE_ROD_MODE3,UUT TRACKER ATTITUDE_ST1,UUT TRACKER ATTITUDE_ST2,UUT TRACKER ATTITUDE_ST3,UUT TRACKER ATTITUDE_ST4,UUT TRACKER RATE_EST1,UUT TRACKER RATE_EST2,UUT TRACKER RATE_EST3,UUT TRACKER PEAK_BCKGND_ALL_TRK_BLKS,UUT TRACKER MEDIAN_BCKGND_ALL_TRK_BLKS,UUT TRACKER OPERATING_MODE,UUT TRACKER ATT_STATUS,UUT TRACKER NUM_ATTITUDE_STARS,UUT TRACKER NUM_TRACK_STARS,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT1,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT2,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT4,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT5,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT6,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT7,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT8,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT9,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT10,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT13,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT14,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT15,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT16,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT17,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT18,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT19,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT20,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT21,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT22,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT23,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT29,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT30,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT37,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT38,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT40,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT41,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT42
0,1663949079.0,04:38.8,1663949079.0,04:38.8,1.0,1.35823e+19,1.0,512.0,1.0,717264314.0,0.8,REALTIME,234.0,0.0,15.0,0.0,0.0,0.0,717264314.8,YES,6070140.0,24.0,85.0,8.0,19.0,12.00000015,8.724999826,10.0799998,9.399999812,12.30000062,8.439999831,9.053000362,5.50950022,4.9880002,3.320500133,3.896500156,3.960000158,0.201500008,0.635000025,0.024500001,0.024500001,5.024000201,16.32200065,13.66350055,11.68200047,2.028000081,0.415000017,1.159500046,OFF,717264315.0,-385.0403607,-4575.634091,-5005.67817,6.48470051,-2.785960775,2.05004651,-3927.922684,2396.06894,-4997.17665,-5.5685562,-4.83212294,2.062357745,YES,717264314.0,-391.5250204,-4572.845711,-5007.72505,6.484595895,-2.79079567,2.04365821,11.90571405,12.88285689,15.0,YES,YES,NO,NO,YES,YES,NO,6.761999549,NOT_ACTIVE,NO,YES,0.782203508,0.325639925,-0.201269585,0.491535172,-0.000505285,-0.00042086,2.12e-05,YES,YES,YES,73.0,0.0,0.0025,38.0,13.0,29.0,AUTO,AUTO,AUTO,-0.907245943,0.038940148,-0.297974356,0.294278349,-0.0004625,-0.0001025,-0.00038,216.0,188.0,TRACK,OK,46.0,46.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
1,1663949080.0,44827.50325,1663949080.0,44827.50325,2.0,1.35823e+19,1.0,512.0,2.0,717221127.0,0.0,STORED,234.0,0.0,15.0,0.0,0.0,0.0,717221127.0,YES,5854201.0,25.0,85.0,8.0,19.0,16.0000002,13.24499974,14.15999972,13.44499973,12.30000062,11.28999977,13.60350054,10.73100043,4.985500199,3.323000133,3.901500156,3.965000159,0.207500008,0.635000025,0.024500001,0.024500001,5.024000201,15.77550063,17.70100071,16.10150064,1.840500074,0.146500006,0.720000029,OFF,717221127.2,-6131.664753,2553.893972,1396.88037,-0.54967936,-4.51134985,5.801652515,-5062.781487,-4296.108445,1408.06877,4.09214461,-2.91289565,5.79280878,YES,717221126.0,-6130.999613,2559.304912,1389.917371,-0.55820191,-4.507529145,5.80380458,16.72857109,17.70571393,16.0,YES,YES,NO,NO,YES,YES,NO,10.4459993,NOT_ACTIVE,NO,YES,-0.14480803,-0.059038739,-0.379274896,0.911973451,-0.000766255,-0.000701305,-3.353e-05,YES,NO,YES,66.0,0.0,0.001,11.0,22.0,0.0,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,STARID,BAD,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
2,1663949081.0,44827.50325,1663949081.0,44827.50325,3.0,1.35823e+19,1.0,512.0,3.0,717221178.0,0.0,STORED,234.0,0.0,15.0,0.0,0.0,0.0,717221178.0,YES,5854456.0,25.0,85.0,8.0,19.0,16.80000021,13.52499973,14.35999971,13.64499973,12.32000062,11.43499977,13.84350055,10.91850044,4.9880002,3.320500133,3.901500156,3.965000159,0.195500008,0.628500025,0.024500001,0.024500001,5.024000201,15.81450063,17.85950071,16.29900065,1.728000069,0.171000007,0.779000031,OFF,717221178.2,-6150.412852,2319.803044,1690.277335,-0.18563803,-4.6666494,5.700872715,-4845.795218,-4437.452178,1700.996395,4.41475349,-2.628576585,5.6913157,YES,717221177.0,-6150.185092,2325.400724,1683.434976,-0.19410196,-4.66312904,5.703414725,16.97142823,17.88857107,18.0,YES,YES,NO,NO,YES,YES,NO,6.365999576,NOT_ACTIVE,NO,YES,-0.167408592,-0.068429817,-0.377569321,0.908148166,-0.00062598,-0.0005677,-0.000151045,YES,YES,YES,67.0,0.0,0.001,11.0,7.0,2.0,AUTO,AUTO,AUTO,0.608260064,0.260973097,0.147075751,0.735038407,-0.0008375,-0.000265,-0.000765,316.0,248.0,TRACK,OK,25.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
3,1663949081.0,44827.50325,1663949081.0,44827.50325,4.0,1.35823e+19,1.0,512.0,4.0,717221229.0,0.0,STORED,234.0,0.0,15.0,0.0,0.0,0.0,717221229.0,YES,5854711.0,25.0,85.0,7.0,19.0,16.80000021,13.58499973,14.39999971,13.80499972,12.30000062,11.57999977,13.80350055,10.81450043,4.985500199,3.320500133,3.901500156,3.965000159,0.201500008,0.628500025,0.024500001,0.024500001,5.022500201,15.79500063,18.01800072,16.47650066,1.925000077,0.085500003,0.75200003,OFF,717221229.2,-6150.598192,2078.109576,1978.046581,0.177789125,-4.809149655,5.581120935,-4612.719069,-4564.067032,1988.260701,4.72258341,-2.335603595,5.570882645,YES,717221228.0,-6150.807292,2083.880096,1971.348601,0.16932717,-4.80597692,5.584106115,16.97142823,17.88857107,16.0,YES,YES,NO,NO,YES,YES,NO,6.512999566,NOT_ACTIVE,NO,YES,-0.187733207,-0.076688062,-0.375996401,0.904158089,-0.000662355,-0.0005224,-3.3955e-05,YES,YES,YES,67.0,0.0,0.001,10.0,2.0,3.0,AUTO,AUTO,AUTO,0.591703508,0.264300625,0.140999887,0.748432476,-0.000695,-8.25e-05,-0.0008375,248.0,216.0,TRACK,OK,30.0,30.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
4,1663949081.0,44827.50325,1663949081.0,44827.50325,5.0,1.35823e+19,1.0,512.0,5.0,717221280.0,0.0,STORED,234.0,0.0,15.0,0.0,0.0,0.0,717221280.0,YES,5854966.0,25.0,85.0,8.0,19.0,16.80000021,13.68499973,14.45999971,13.98499972,12.30000062,11.72499977,14.14200057,11.02200044,4.985500199,3.323000133,3.901500156,3.965000159,0.195500008,0.635000025,0.024500001,0.024500001,5.024000201,15.81450063,18.15650073,16.63450067,2.00000008,0.305000012,0.671500027,OFF,717221280.2,-6132.287053,1829.487909,2259.234387,0.53978002,-4.93847538,5.442746205,-4364.344342,-4675.538246,2268.909687,5.014832385,-2.034744745,5.43186041,YES,717221279.0,-6132.926833,1835.410248,2252.702527,0.53121754,-4.935611235,5.44623032,17.21714251,18.13142821,18.0,YES,YES,NO,NO,YES,YES,NO,6.815999546,NOT_ACTIVE,NO,YES,-0.206281764,-0.084384137,-0.374286713,0.900131417,-0.00040571,-0.00056666,-5.8e-05,YES,YES,YES,67.0,0.0,0.001,9.0,0.0,3.0,AUTO,AUTO,AUTO,0.576183885,0.267187614,0.135558749,0.760425365,-0.0006625,-9.5e-05,-0.00019,216.0,196.0,TRACK,OK,38.0,38.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
5,1663949081.0,44827.50325,1663949081.0,44827.50325,6.0,1.35823e+19,1.0,512.0,6.0,717221331.0,0.0,STORED,234.0,0.0,15.0,0.0,0.0,0.0,717221331.0,YES,5855221.0,25.0,85.0,7.0,19.0,16.80000021,13.82499972,14.51999971,14.11999972,12.32000062,11.88499976,14.26150057,11.10500044,4.985500199,3.320500133,3.901500156,3.965000159,0.195500008,0.641000026,0.024500001,0.024500001,5.022500201,15.89250064,18.29550073,16.77250067,1.774500071,0.24400001,0.705500028,OFF,717221331.2,-6095.592395,1574.616801,2532.907113,0.89890225,-5.054158945,5.286349235,-4101.491595,-4771.501581,2542.011493,5.290359515,-1.72728775,5.27485224,YES,717221330.0,-6096.661795,1580.678381,2526.560634,0.89049354,-5.051569005,5.290214015,17.33714251,18.31428535,16.0,YES,YES,NO,NO,YES,YES,NO,6.968999535,NOT_ACTIVE,NO,YES,-0.223310559,-0.091410354,-0.372589514,0.896076758,-0.00045327,-0.000504285,-9.4805e-05,YES,YES,YES,67.0,0.0,0.001,5.0,5.0,5.0,AUTO,AUTO,AUTO,0.561698256,0.269734172,0.130501826,0.771173015,-0.0005125,-5.75e-05,-0.000155,224.0,184.0,TRACK,OK,38.0,38.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
6,1663949081.0,44827.50325,1663949081.0,44827.50325,7.0,1.35823e+19,1.0,512.0,7.0,717221382.0,0.0,STORED,234.0,0.0,15.0,0.0,0.0,0.0,717221382.0,YES,5855476.0,25.0,85.0,8.0,19.0,17.60000022,13.94499972,14.57999971,14.29999971,12.30000062,12.02999976,14.34100057,11.16700045,4.9880002,3.320500133,3.901500156,3.965000159,0.201500008,0.641000026,0.024500001,0.024500001,5.022500201,15.95100064,18.45450074,16.93050068,1.709000068,0.171000007,0.74200003,OFF,717221382.2,-6040.660898,1314.199014,2798.14754,1.25424998,-5.155799,5.11234437,-3825.021989,-4851.623517,2806.6508,5.548333465,-1.414095225,5.10027432,YES,717221381.0,-6042.161658,1320.384814,2792.0117,1.245845915,-5.15356631,5.116628405,17.45999965,18.43714249,16.0,YES,YES,NO,NO,YES,YES,NO,6.869999542,NOT_ACTIVE,NO,YES,-0.239045226,-0.097906549,-0.370913311,0.892017356,-0.00036031,-0.00057594,-0.0001057,YES,YES,YES,67.0,0.0,0.001,1.0,8.0,6.0,AUTO,AUTO,AUTO,0.548048231,0.272058309,0.125680594,0.780917282,-0.00056,-0.0001125,-0.0005225,208.0,172.0,TRACK,OK,40.0,40.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
7,1663949081.0,44827.50326,1663949081.0,44827.50326,8.0,1.35823e+19,1.0,512.0,8.0,717221433.0,0.0,STORED,234.0,0.0,15.0,0.0,0.0,0.0,717221433.0,YES,5855731.0,25.0,85.0,8.0,19.0,17.60000022,14.06499972,14.61999971,14.45999971,12.30000062,12.14999976,14.46000058,11.25000045,4.9880002,3.320500133,3.901500156,3.965000159,0.201500008,0.628500025,0.024500001,0.024500001,5.024000201,15.99000064,18.57350074,17.10800068,1.737000069,0.158500006,0.656500026,OFF,717221433.2,-5967.730262,1048.964568,3054.078107,1.60466774,-5.24305028,4.921362475,-3535.864563,-4915.652134,3061.952007,5.78788181,-1.096295515,4.908759455,YES,717221432.0,-5969.648582,1055.254787,3048.169048,1.59665048,-5.2411411,4.925970765,17.76571393,18.74285677,17.0,YES,YES,NO,NO,YES,YES,NO,6.557999563,NOT_ACTIVE,NO,YES,-0.253648128,-0.103907247,-0.369212046,0.888002442,-0.00055362,-0.00034138,-1.6495e-05,YES,YES,YES,67.0,0.0,0.001,3.0,11.0,9.0,AUTO,AUTO,AUTO,0.535165001,0.274166786,0.121187063,0.789775088,-0.000535,-2.5e-05,-0.000315,196.0,168.0,TRACK,OK,44.0,44.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
8,1663949082.0,44827.50326,1663949082.0,44827.50326,9.0,1.35823e+19,1.0,512.0,9.0,717221484.0,0.0,STORED,234.0,0.0,15.0,0.0,0.0,0.0,717221484.0,YES,5855986.0,25.0,85.0,8.0,19.0,17.60000022,14.17999972,14.65999971,14.59999971,12.30000062,12.31499975,14.59900058,11.25000045,4.9880002,3.320500133,3.901500156,3.965000159,0.201500008,0.641000026,0.024500001,0.024500001,5.022500201,16.06850064,18.69300075,17.22650069,1.718500069,0.232000009,0.801000032,OFF,717221484.2,-5877.069326,779.655781,3299.846355,1.949279495,-5.31553625,4.713963015,-3234.975318,-4963.370852,3307.064775,6.008241575,-0.77476577,4.70086881,YES,717221483.0,-5879.402766,786.0333007,3294.186495,1.94128972,-5.31397015,4.71905356,17.94857107,18.86571391,15.0,YES,YES,NO,NO,YES,YES,NO,6.467999569,NOT_ACTIVE,NO,YES,-0.267298028,-0.109587612,-0.367549986,0.883996203,-0.000357605,-0.00052278,-5.2015e-05,YES,YES,YES,67.0,0.0,0.001,10.0,11.0,11.0,AUTO,AUTO,AUTO,0.522946533,0.276005294,0.116962933,0.797914578,-0.00051,-6.25e-05,-0.0005975,428.0,164.0,TRACK,OK,43.0,43.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
9,1663949082.0,44827.50326,1663949082.0,44827.50326,10.0,1.35823e+19,1.0,512.0,10.0,717221535.0,0.0,STORED,234.0,0.0,15.0,0.0,0.0,0.0,717221535.0,YES,5856241.0,25.0,85.0,8.0,19.0,17.60000022,14.27999971,14.71999971,14.73999971,12.32000062,12.43499975,14.67850059,11.31200045,4.9880002,3.320500133,3.901500156,3.965000159,0.201500008,0.635000025,0.024500001,0.024500001,5.022500201,16.08800064,18.79250075,17.32550069,1.718500069,0.219500009,0.725000029,OFF,717221535.2,-5769.020052,507.0365146,3534.638743,2.28686613,-5.373028585,4.490913395,-2923.363254,-4994.63279,3541.177783,6.208652825,-0.450771335,4.477371475,YES,717221534.0,-5771.759451,513.4838943,3529.246744,2.27904615,-5.371769465,4.49637108,18.00857107,18.92571391,17.0,YES,YES,NO,NO,YES,YES,NO,6.494999567,NOT_ACTIVE,NO,YES,-0.280181831,-0.114886767,-0.365860646,0.880025636,-0.00060251,-0.000403155,1.084e-05,YES,YES,YES,67.0,0.0,0.001,15.0,13.0,14.0,AUTO,AUTO,AUTO,0.511245845,0.277756061,0.112917046,0.805437147,-0.000455,-7e-05,-0.0004325,220.0,160.0,TRACK,OK,48.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
