,UUT_COMMAND_TLM_PACKET_TIMESECONDS,UUT_COMMAND_TLM_PACKET_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_TIMESECONDS,UUT_COMMAND_TLM_RECEIVED_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_COUNT,UUT_COMMAND_TLM_SYNC,UUT_COMMAND_TLM_MSG_ID,UUT_COMMAND_TLM_LEN,UUT_COMMAND_TLM_SEQ,UUT_COMMAND_TLM_CCSDS_TAI_SECS,UUT_COMMAND_TLM_CCSDS_TAI_SUBSECS,UUT_COMMAND_TLM_CCSDS_REALTIME,UUT_COMMAND_TLM_REALTIME_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_REALTIME_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_STORED_CMD_REJECT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_TIMED_CMDS_ENABLED,UUT_COMMAND_TLM_MACROS_ENABLED,UUT_TIME_TAI_SECONDS,UUT_TIME_TIME_VALID,UUT_CLOCK_SYNC_HR_RUN_COUNT,UUT_GENERAL_VOLUME_PERCENT_USED,UUT_GENERAL_MEM_TOTAL,UUT_GENERAL_MEM_FREE,UUT_GENERAL_MEM_AVAILABLE,UUT_ANALOGS_DET_TEMP,UUT_ANALOGS_MOTOR1_TEMP,UUT_ANALOGS_MOTOR2_TEMP,UUT_ANALOGS_MOTOR3_TEMP,UUT_ANALOGS_BATTERY_VOLTAGE,UUT_ANALOGS_BATTERY1_TEMP,UUT_ANALOGS_BUS_TEMP,UUT_ANALOGS_PAYLOAD_TEMP,UUT_ANALOGS_5V_MON,UUT_ANALOGS_3V3_MON,UUT_ANALOGS_V3_9V_MON,UUT_ANALOGS_V4_9V_MON,UUT_ANALOGS_5V_CURR_MON,UUT_ANALOGS_3V3_CURR_MON,UUT_ANALOGS_V3_9V_CURR_MON,UUT_ANALOGS_V4_9V_CURR_MON,UUT_ANALOGS_5V_AUX_MON,UUT_ANALOGS_VSOLAR_MON,UUT_ANALOGS_BB_TEMP_MON,UUT_ANALOGS_BUCK_TEMP_MON,UUT_ANALOGS_I_SOLAR_MON,UUT_ANALOGS_I_BAT1_MON,UUT_ANALOGS_I_CHG_MON,UUT_POWER_HEATER_STATUS1,UUT_REFS_TIME_NOW,UUT_REFS_POSITION_WRT_ECEF1,UUT_REFS_POSITION_WRT_ECEF2,UUT_REFS_POSITION_WRT_ECEF3,UUT_REFS_VELOCITY_WRT_ECEF1,UUT_REFS_VELOCITY_WRT_ECEF2,UUT_REFS_VELOCITY_WRT_ECEF3,UUT_REFS_POSITION_WRT_ECI1,UUT_REFS_POSITION_WRT_ECI2,UUT_REFS_POSITION_WRT_ECI3,UUT_REFS_VELOCITY_WRT_ECI1,UUT_REFS_VELOCITY_WRT_ECI2,UUT_REFS_VELOCITY_WRT_ECI3,UUT_REFS_REFS_VALID,UUT_GPS_GPS_TIME,UUT_GPS_GPS_POSITION_ECEF1,UUT_GPS_GPS_POSITION_ECEF2,UUT_GPS_GPS_POSITION_ECEF3,UUT_GPS_GPS_VELOCITY_ECEF1,UUT_GPS_GPS_VELOCITY_ECEF2,UUT_GPS_GPS_VELOCITY_ECEF3,UUT_GPS_MSG_GPS_TEMP1,UUT_GPS_MSG_GPS_TEMP2,UUT_GPS_MSG_USED_SATELLITES,UUT_GPS_GPS_POS_LOCK,UUT_GPS_GPS_TIME_LOCK,UUT_GPS_MSG_DATA_VALID,UUT_GPS_GPS_NEW_DATA_RECEIVED,UUT_GPS_GPS_ENABLE,UUT_GPS_GPS_VALID,UUT_ATT_CMD_ADCS_MODE,UUT_ATT_CMD_RECOMMEND_SUN_POINT,UUT_ATT_CMD_SUN_POINT_REASON,UUT_ATT_CTRL_SUN_POINT_ANGLE_ERROR,UUT_ATT_CTRL_SUN_POINT_STATE,UUT_ATT_CTRL_MOMENTUM_TOO_HIGH,UUT_ATT_CTRL_ATT_CTRL_ACTIVE,UUT_ATT_DET_Q_BODY_WRT_ECI1,UUT_ATT_DET_Q_BODY_WRT_ECI2,UUT_ATT_DET_Q_BODY_WRT_ECI3,UUT_ATT_DET_Q_BODY_WRT_ECI4,UUT_ATT_DET_BODY_RATE1,UUT_ATT_DET_BODY_RATE2,UUT_ATT_DET_BODY_RATE3,UUT_ATT_DET_MEAS_RATE_VALID,UUT_ATT_DET_MEAS_ATT_VALID,UUT_ATT_DET_ATTITUDE_VALID,UUT_ATT_DET_REINIT_COUNT,UUT_CSS_CSS_INVALID_COUNT,UUT_MOMENTUM_TOTAL_MOMENTUM_MAG,UUT_MOMENTUM_DUTY_CYCLE1,UUT_MOMENTUM_DUTY_CYCLE2,UUT_MOMENTUM_DUTY_CYCLE3,UUT_MOMENTUM_TORQUE_ROD_MODE1,UUT_MOMENTUM_TORQUE_ROD_MODE2,UUT_MOMENTUM_TORQUE_ROD_MODE3,UUT_TRACKER_ATTITUDE_ST1,UUT_TRACKER_ATTITUDE_ST2,UUT_TRACKER_ATTITUDE_ST3,UUT_TRACKER_ATTITUDE_ST4,UUT_TRACKER_RATE_EST1,UUT_TRACKER_RATE_EST2,UUT_TRACKER_RATE_EST3,UUT_TRACKER_PEAK_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_MEDIAN_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_OPERATING_MODE,UUT_TRACKER_ATT_STATUS,UUT_TRACKER_NUM_ATTITUDE_STARS,UUT_TRACKER_NUM_TRACK_STARS,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT1,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT2,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT4,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT5,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT6,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT7,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT8,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT9,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT10,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT13,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT14,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT15,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT16,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT17,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT18,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT19,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT20,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT21,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT22,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT23,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT29,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT30,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT37,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT38,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT40,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT41,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT42,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT1,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT2,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT13,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT14,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT15,UUT_REFS_NADIR_VECTOR_BODY1,UUT_REFS_NADIR_VECTOR_BODY2,UUT_REFS_NADIR_VECTOR_BODY3,UUT_REFS_MODELED_SUN_VECTOR_BODY1,UUT_REFS_MODELED_SUN_VECTOR_BODY2,UUT_REFS_MODELED_SUN_VECTOR_BODY3,UUT_REFS_MOON_VECTOR_BODY1,UUT_REFS_MOON_VECTOR_BODY2,UUT_REFS_MOON_VECTOR_BODY3,UUT_REFS_Q_ECEF_WRT_ECI1,UUT_REFS_Q_ECEF_WRT_ECI2,UUT_REFS_Q_ECEF_WRT_ECI3,UUT_REFS_Q_ECEF_WRT_ECI4,UUT_RW_DRIVE_FILTERED_SPEED_RPM1,UUT_RW_DRIVE_FILTERED_SPEED_RPM2,UUT_RW_DRIVE_FILTERED_SPEED_RPM3,UUT_IMU_IMU_AVG_VECTOR_BODY1_DPS,UUT_IMU_IMU_AVG_VECTOR_BODY2_DPS,UUT_IMU_IMU_AVG_VECTOR_BODY3_DPS,UUT_REFS_SUN_MODEL_VECTOR_ECI1,UUT_REFS_SUN_MODEL_VECTOR_ECI2,UUT_REFS_SUN_MODEL_VECTOR_ECI3,UUT_REFS_MOON_MODEL_VECTOR_ECI1,UUT_REFS_MOON_MODEL_VECTOR_ECI2,UUT_REFS_MOON_MODEL_VECTOR_ECI3,UUT_ATT_CTRL_PAYLOAD_ERROR1,UUT_ATT_CTRL_PAYLOAD_ERROR2,UUT_ATT_CTRL_PAYLOAD_ERROR3,UUT_ATT_CTRL_CONTROL_TO_PAYLOAD,UUT_ATT_CTRL_PAYLOAD_CONTROL_USED,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT41,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT42,UUT_PAYLOAD_PAYLOAD_SEC_SINCE_LAST_TLM1,timestamp_
0,1679497962.75527,45007.4671615162,1679497962.75527,45007.4671615162,5,1.35822722913205e+19,1,512,5,732813198,0.2,REALTIME,174,0,180,0,0,0,EN,EN,732813198.199998,YES,2125046.0,26,85,18,20,13.60000017,11.3949997720999,11.2299997754,11.6799997664,12.2620006131,8.9649998207,11.9075004763,9.76150039046,4.98800019952,3.32050013282,3.89650015586,3.9650001586,0.20150000806,0.6350000254,0.02450000098,0.02450000098,5.0225002009,15.09200060368,16.31850065274,14.38050057522,2.72300010892,0.37850001514,1.93100007724,OFF,732813198.399998,5645.49237772536,-1260.97413695129,3241.98993790049,-1.499268235,5.555905795,4.74922984,4736.8957231552,3330.57481347125,3231.28905843553,-5.352534735,2.97151384,4.76111664,YES,732813197,5647.58693762063,-1268.75065656246,3235.33587823319,-1.48973599,5.55320073,4.755401875,14.4685711392,15.4457139767999,15,YES,YES,YES,YES,YES,YES,FINE_REF_POINT,NO,BOOT,5.0759996616,NOT_ACTIVE,NO,YES,-0.370306595093867,0.671829347563412,0.568212621135747,0.297746084045078,-0.001379,-0.002095435,-0.00122348,YES,NO,YES,83,0.0,0.00200000008,68,85,85,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.871759978206,0.292359992691,-0.393159990171,-0.559919986002,-0.828559979286,-0.000199999995,-0.615679984608,-0.765039980874,0.188839995279,0.0004373409868797,0.0010296859691094,0.404685096859446,0.914455390566337,-43.240002162,128.6100064305,-956.9480478474,-0.105424231141344,-0.013178028892668,-0.25783100007394,0.999679975008,0.022639999434,0.009799999755,0.973239975669,0.222639994434,0.056599998585,0,0,0,0,0,0,0,,2023-03-22 15:12:42.755269888
1,1679497963.7383,45007.4671728935,1679497963.7383,45007.4671728935,6,1.35822722913205e+19,1,512,6,732813199,0.2,REALTIME,174,0,180,0,0,0,EN,EN,732813199.199998,YES,,26,85,18,20,13.60000017,11.3949997720999,11.2299997754,11.6799997664,12.280000614,8.9649998207,11.9075004763,9.80400039216,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.21950000878,0.6350000254,0.02450000098,0.02450000098,5.02400020096,14.99450059978,16.31850065274,14.38050057522,2.54450010178,0.54300002172,1.91650007666,OFF,732813199.399998,5643.9896578005,-1255.41727722913,3246.73693766314,-1.50614207,5.55783776,4.744782745,4731.53994342299,3333.54405332278,3236.04795819759,-5.3590047,2.96696015,4.75668416,YES,732813198,5646.09391769529,-1263.19645684017,3240.08919799553,-1.49654461,5.55511195,4.75097625,14.4685711392,15.4457139767999,15,YES,YES,YES,YES,YES,YES,FINE_REF_POINT,NO,BOOT,5.1209996586,NOT_ACTIVE,NO,YES,-0.370294502094109,0.670930624581387,0.568872231122555,0.298527090029458,-0.00130044,-0.002106,-0.001061315,YES,NO,YES,83,0.0,0.00200000008,68,85,85,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.87079997823,0.29279999268,-0.394919990127,-0.558959986026,-0.82919997927,-0.000119999997,-0.61439998464,-0.76599998085,0.189119995272,0.0004373779868786,0.0010296699691099,0.404718437858446,0.91444063456678,-43.9480021974,133.2760066638,-958.4820479241,-0.0996946533619235,-0.0137509866706101,-0.249236633404808,0.999679975008,0.022639999434,0.009799999755,0.973279975668,0.222599994435,0.056599998585,0,0,0,0,0,0,0,415941.0,2023-03-22 15:12:43.738300160
2,1679497963.8413,45007.4671740857,1679497963.8413,45007.4671740857,7,1.35822722913205e+19,1,512,7,732813200,0.2,REALTIME,174,0,180,0,0,0,EN,EN,732813200.199999,YES,2125051.0,26,85,18,20,13.60000017,11.3949997720999,11.2299997754,11.6799997664,12.280000614,8.9649998207,11.88700047548,9.7825003913,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.2075000083,0.62850002514,0.02450000098,0.02450000098,5.02400020096,14.99450059978,16.33850065354,14.40050057602,2.60100010404,0.50650002026,1.95050007802,OFF,732813200.399999,5642.48007787598,-1249.85845750707,3251.47949742601,-1.51301359,5.559763165,4.74032913,4726.1777036911,3336.50873317455,3240.80243795986,-5.36546736,2.96240239,4.75224515,YES,732813199,5644.60001776998,-1257.64087711795,3244.84009775798,-1.503440635,5.557105815,4.746546455,14.4685711392,15.4457139767999,14,YES,YES,YES,YES,YES,YES,FINE_REF_POINT,NO,BOOT,5.1389996574,NOT_ACTIVE,NO,YES,-0.370274694094506,0.670006922599861,0.569557034108859,0.299319428013611,-0.001384665,-0.002158365,-0.00116437,YES,NO,YES,83,0.0,0.00200000008,67,85,85,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.869839978254,0.293239992669,-0.396719990082,-0.55799998605,-0.829839979254,-7.9999998e-05,-0.613119984672,-0.766959980826,0.189359995266,0.0004374159868775,0.0010296539691103,0.404751778857446,0.914425877567222,-51.3660025683,133.0260066513,-956.1420478071,,,,0.999679975008,0.022639999434,0.009799999755,0.973279975668,0.222599994435,0.056599998585,0,0,0,0,0,0,0,415942.0,2023-03-22 15:12:43.841299968
3,1679497965.78953,45007.4671966319,1679497965.78953,45007.4671966319,8,1.35822722913205e+19,1,512,8,732813201,0.2,REALTIME,174,0,180,0,0,0,EN,EN,732813201.199999,YES,2125056.0,26,85,18,20,13.60000017,11.3949997720999,11.249999775,11.7049997658999,12.300000615,8.9649998207,11.92800047712,9.82550039302,4.98550019942,3.32050013282,3.89650015586,3.9650001586,0.22600000904,0.61050002442,0.02450000098,0.02450000098,5.0225002009,14.95550059822,16.35800065432,14.40050057602,2.63850010554,0.54300002172,1.91900007676,OFF,732813201.399999,5640.9636379518,-1244.29773778511,3256.21759718911,-1.51988276,5.561682,4.73586903,4720.80900395953,3339.46887302654,3245.55245772236,-5.37192267,2.957840595,4.747799635,YES,732813200,5643.09325784532,-1252.08285739585,3249.58445752076,-1.51023664,5.559031635,4.742071785,14.4685711392,15.4457139767999,14,YES,YES,YES,YES,YES,YES,FINE_REF_POINT,NO,BOOT,5.1179996588,NOT_ACTIVE,NO,YES,-0.370293136094137,0.669046601619067,0.570251109094977,0.300122091997558,-0.001387465,-0.002196475,-0.001231005,YES,NO,YES,83,,0.00200000008,66,85,85,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.868839978279,0.293759992656,-0.398519990037,-0.556999986075,-0.830519979237,-7.9999998e-05,-0.611759984706,-0.7679999808,0.189559995261,0.0004374529868764,0.0010296379691108,0.404785118856446,0.914411119567665,-53.20000266,129.0120064506,-949.6180474809,-0.105424231141344,-0.0166157755603205,-0.254393253406287,0.999679975008,0.022639999434,0.009799999755,0.973279975668,0.222599994435,0.056559998586,0,0,0,0,0,0,0,415943.0,2023-03-22 15:12:45.789530112
4,1679497969.78458,45007.4672428704,1679497969.78458,45007.4672428704,12,1.35822722913205e+19,1,512,12,732813205,0.2,REALTIME,174,0,180,0,0,0,EN,EN,732813205.199999,YES,2125076.0,26,85,18,20,13.60000017,11.4149997717,11.2699997745999,11.7249997655,12.320000616,8.9899998202,11.9075004763,9.80400039216,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.21950000878,0.6350000254,0.02450000098,0.02450000098,5.0225002009,14.99450059978,16.41700065668,14.40050057602,2.7325001093,0.67150002686,1.93850007754,OFF,732813205.399999,5634.8376982581,-1222.03641889817,3275.12673624365,-1.54737489,5.569260075,4.71790492,4699.27600503618,3351.26953243651,3264.50939677452,-5.397673845,2.939503415,4.7298937,YES,732813204,5636.99739815011,-1229.83153850842,3268.51733657412,-1.537791765,5.566615835,4.724234285,14.4685711392,15.4457139767999,14,YES,YES,YES,YES,YES,YES,FINE_REF_POINT,NO,BOOT,5.2439996504,NOT_ACTIVE,NO,YES,-0.370120898597581,0.665094427698111,0.573233353535332,0.303419520431609,-0.00164171,-0.00248262,-0.00120422,YES,NO,YES,83,0.0,0.00200000008,66,85,85,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.864639978384,0.295839992604,-0.406079989848,-0.553119986172,-0.833119979172,7.9999998e-05,-0.606359984841,-0.7719999807,0.190559995236,0.0004376029868719,0.0010295739691127,0.404918473852445,0.914352075569436,,,,-0.110580851142823,-0.0292208466750465,-0.251528464516577,0.999679975008,0.022639999434,0.009799999755,0.973279975668,0.222559994436,0.056519998587,0,0,0,0,0,0,0,415947.0,2023-03-22 15:12:49.784580096
5,1679497979.73192,45007.4673579977,1679497979.73192,45007.4673579977,22,1.35822722913205e+19,1,512,22,732813215,0.2,REALTIME,175,0,180,0,0,0,EN,EN,732813215.199999,YES,2125131.0,26,85,18,20,13.60000017,11.4549997708999,11.3099997738,11.7849997642999,12.320000616,9.02999981939999,11.98900047956,9.7825003913,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.21950000878,0.59800002392,0.02450000098,0.02450000098,5.02400020096,14.975000599,16.55550066222,14.4600005784,2.46950009878,0.5800000232,1.90900007636,OFF,732813215.399999,5619.02143904891,-1166.25046168747,3322.08023389597,-1.61583942,5.58782294,4.67269022,4644.97938775101,3380.43489097824,3311.58351442081,-5.46152527,2.893504395,4.68482328,YES,732813214,5621.27457893625,-1174.07138129642,3315.53359422331,-1.60625865,5.585302125,4.679069195,14.7742854188,15.8114282552,15,YES,YES,YES,YES,YES,YES,FINE_REF_POINT,NO,BOOT,5.534999631,NOT_ACTIVE,NO,YES,-0.369354408112911,0.654302197913955,0.581453362370932,0.312054326258913,-0.00170059,-0.002566345,-0.001075775,YES,NO,YES,83,0.0,0.00200000008,63,85,85,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.85279997868,0.301919992452,-0.426119989347,-0.543159986421,-0.839639979009,0.0,-0.592239985194,-0.782359980441,0.192679995183,0.0004379789868606,0.0010294139691175,0.405251824842444,0.914204379573867,-119.0920059546,126.3880063194,-940.8940470447,-0.122612964479607,-0.0401070444559462,-0.250955506738635,0.999679975008,0.022639999434,0.009799999755,0.973319975667,0.222479994438,0.05639999859,0,0,0,0,0,0,0,,2023-03-22 15:12:59.731920128
6,1679497980.69797,45007.4673691782,1679497980.69797,45007.4673691782,23,1.35822722913205e+19,1,512,23,732813216,0.2,REALTIME,175,0,181,0,0,0,EN,EN,732813216.199999,YES,,26,85,18,20,13.60000017,11.4749997704999,11.3349997733,11.7849997642999,12.300000615,9.02999981939999,11.96850047874,9.7400003896,4.98800019952,3.32300013292,3.90150015606,3.9650001586,0.2075000083,0.62850002514,0.02450000098,0.02450000098,5.02400020096,15.01400060056,16.575000663,14.44050057762,2.66700010668,0.5125000205,1.91650007666,OFF,732813216.399999,5617.40217912987,-1160.66172196691,3326.75065366245,-1.622672445,5.58964292,4.66813342,4639.51468802425,3383.32609083368,3316.26607418668,-5.4678695,2.88888264,4.680280815,YES,732813215,5619.66471901675,-1168.48516157573,3320.21035398947,-1.61316198,5.58719199,4.674521735,14.7742854188,15.8114282552,15,YES,YES,YES,YES,YES,YES,FINE_REF_POINT,NO,BOOT,5.5439996304,NOT_ACTIVE,NO,YES,-0.369207680615846,0.653129159937416,0.582379822852403,0.312956372240872,-0.001792345,-0.002794515,-0.0010906,YES,NO,YES,83,0.0,0.00200000008,63,85,85,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.851479978713,0.302559992436,-0.428279989293,-0.542199986445,-0.840239978994,0.0,-0.59079998523,-0.783399980415,0.192879995178,0.0004380159868595,0.001029397969118,0.405285156841444,0.914189602574311,-124.6460062323,125.2880062644,-942.0080471004,-0.127769584481085,-0.0532850733486143,-0.251528464516577,0.999679975008,0.022639999434,0.009799999755,0.973319975667,0.222479994438,0.05639999859,0,0,0,0,0,0,0,415958.0,2023-03-22 15:13:00.697969920
7,1679497981.7895,45007.4673818171,1679497981.7895,45007.4673818171,24,1.35822722913205e+19,1,512,24,732813217,0.2,REALTIME,175,0,181,0,0,0,EN,EN,732813217.199999,YES,2125136.0,26,85,18,20,13.60000017,11.4749997704999,11.3349997733,11.7849997642999,12.300000615,9.02999981939999,11.9075004763,9.80400039216,4.98800019952,3.32300013292,3.89650015586,3.9600001584,0.21350000854,0.6350000254,0.02450000098,0.02450000098,5.02400020096,14.975000599,16.5950006638,14.4600005784,2.79800011192,0.59200002368,1.99700007988,OFF,732813217.399999,5615.77607921118,-1155.07116224643,3331.41651342916,-1.629502985,5.59145628,4.66357023,4634.0436482978,3386.21267068935,3320.94409395278,-5.47420625,2.884256945,4.675731945,YES,732813216,5618.04829909757,-1162.89708185514,3324.88269375585,-1.619950255,5.588997125,4.669963075,14.7742854188,15.8114282552,15,YES,YES,YES,YES,YES,YES,FINE_REF_POINT,NO,BOOT,5.6339996244,NOT_ACTIVE,NO,YES,-0.369109163617816,0.651942385461152,0.583264062334718,0.313898940222021,-0.001834415,-0.00268801,-0.00126372,YES,NO,YES,83,0.0,0.00200000008,62,85,85,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.850119978747,0.303359992416,-0.430439989239,-0.541119986472,-0.840959978976,0.0,-0.589239985269,-0.784519980387,0.193119995172,0.0004380539868583,0.0010293819691185,0.405318488840444,0.914174825574754,-125.3080062654,130.4580065229,-943.7060471853,,,,0.999679975008,0.022639999434,0.009799999755,0.973319975667,0.222479994438,0.05639999859,0,0,0,0,0,0,0,415959.0,2023-03-22 15:13:01.789499904
8,1679497982.76845,45007.4673931481,1679497982.76845,45007.4673931481,25,1.35822722913205e+19,1,512,25,732813218,0.2,REALTIME,176,0,181,0,0,0,EN,EN,732813218.199999,YES,2125141.0,26,85,18,20,13.60000017,11.4749997704999,11.3349997733,11.8049997639,12.300000615,9.02999981939999,11.92800047712,9.80400039216,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.2075000083,0.62850002514,0.02450000098,0.02450000098,5.02400020096,14.99450059978,16.5950006638,14.4600005784,2.71350010854,0.65900002636,2.01900008076,OFF,732813218.399999,5614.14315929282,-1149.47880252605,3336.0777931961,-1.63633104,5.59326302,4.65900065,4628.56628857167,3389.09461054526,3325.61753371911,-5.480535515,2.87962731,4.67117667,YES,732813217,5616.42505917873,-1157.30718213463,3329.55051352246,-1.62672089,5.590785165,4.665439385,14.7742854188,15.8114282552,15,YES,YES,YES,YES,YES,YES,FINE_REF_POINT,NO,BOOT,5.6429996238,NOT_ACTIVE,NO,YES,-0.36896648212067,0.65075896698482,0.58416444631671,0.314846567703068,-0.001724125,-0.00288117,-0.001106235,YES,NO,YES,83,,0.00200000008,62,85,85,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.848719978782,0.304079992398,-0.432679989183,-0.540079986498,-0.84159997896,0.0,-0.587719985307,-0.78559998036,0.193359995166,0.0004380909868572,0.001029365969119,0.405351819839445,0.914160046575197,-131.9340065967,126.9660063483,-941.320047066,-0.129488457814912,-0.0475554955691934,-0.26069578896365,0.999679975008,0.022639999434,0.009799999755,0.973319975667,0.222479994438,0.056359998591,0,0,0,0,0,0,0,415960.0,2023-03-22 15:13:02.768450048
9,1679497987.84625,45007.4674519213,1679497987.84625,45007.4674519213,29,1.35822722913205e+19,1,512,29,732813222,0.2,REALTIME,177,0,181,0,0,0,EN,EN,732813222.199999,YES,2125161.0,26,85,18,20,13.60000017,11.4949997701,11.3549997729,11.8049997639,12.300000615,9.05499981889999,12.00950048038,9.82550039302,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.2075000083,0.62850002514,0.02450000098,0.02450000098,5.0225002009,14.99450059978,16.63450066538,14.4800005792,2.47900009916,0.57350002294,1.94800007792,OFF,732813222.399999,5607.54325962282,-1127.09140364542,3354.67715226613,-1.663618275,5.60042378,4.640658525,4606.5936096703,3400.57600997119,3344.2657127867,-5.50577759,2.861069475,4.65289159,YES,732813221,5609.86707950663,-1134.92920325353,3348.1777725911,-1.65406467,5.5979811,4.647100705,14.7742854188,15.8114282552,14,YES,YES,YES,YES,YES,YES,FINE_REF_POINT,NO,BOOT,5.7569996162,NOT_ACTIVE,NO,YES,-0.368348523633029,0.645895524582089,0.587897849242042,0.318613269127734,-0.00195682,-0.00304137,-0.001331415,YES,NO,YES,83,0.0,0.00200000008,63,85,85,AUTO,AUTO,AUTO,0,0,0,1,0,0,0,0,0,STARID,BAD,0,2,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.843079978923,0.306999992325,-0.441559988961,-0.5359999866,-0.844199978895,-3.9999999e-05,-0.581679985458,-0.789879980253,0.194239995144,0.0004382419868527,0.0010293019691209,0.405485138835445,0.914100919576971,,,,-0.130061415592854,-0.0607335244618614,-0.26069578896365,0.999679975008,0.022639999434,0.009799999755,0.973319975667,0.222439994439,0.056319998592,0,0,0,0,0,0,0,415964.0,2023-03-22 15:13:07.846249984
