,TIME,APID_VALID,CRC_VALID,FPGA_COUNTER,0,1,2,3,4,32,33,34,35,36,37,38,47,48,53,54,57,60,61,62,63,96,97,200,201,202,203,204,205,300,301,302,303,602,603,604,605,606,607,608,609,610,611,DAC_1_A,DAC_1_B,DAC_1_C,DAC_1_D,DAC_2_A,DAC_2_B,DAC_2_C,DAC_2_D,timestamp_
0,2021-11-02 15:35:40 -0600,1,1,23,0,0,0,0,0,0,85,85,0,0,0,0,0,2,125,9,0,2,0,0,97,0,1,37.75854110717773,38.58912658691406,38.40133666992188,37.65156936645508,38.45497512817383,35.99925994873047,0.1394802033901214,0.0661534667015075,0.5937871336936951,0.4710445404052734,0,1,1,36.5,-100.0,-100.0,116,304,621,39.0,0,0,0,0,0,0,0,0,2021-11-02 15:35:40-06:00
1,2021-11-02 15:35:45 -0600,1,1,24,0,0,0,0,0,85,85,85,85,0,0,0,0,2,117,9,0,2,0,0,97,0,1,37.57136917114258,38.37451934814453,38.45497512817383,37.78529357910156,38.50862503051758,35.707237243652344,0.1498415768146515,0.0709356442093849,0.5810346603393555,0.3052623867988586,0,1,1,36.5,-100.0,-100.0,116,304,621,39.0,0,0,0,0,0,0,0,0,
2,2021-11-02 15:35:50 -0600,1,1,25,0,0,0,0,0,85,85,85,85,0,0,0,0,2,122,9,0,2,0,0,97,0,1,37.65156936645508,38.64280319213867,38.294090270996094,37.73179244995117,38.45497512817383,35.97269821166992,0.1315099000930786,0.0900643542408943,0.5619059205055237,0.2956980168819427,0,1,1,36.5,-100.0,-100.0,116,304,622,39.0,0,0,0,0,0,0,0,0,
3,2021-11-02 15:35:55 -0600,1,1,26,0,0,0,0,0,85,85,85,85,0,0,0,0,2,105,9,0,2,0,0,97,0,1,37.70504760742188,38.75019836425781,38.58912658691406,37.517913818359375,38.4818000793457,36.10553359985352,0.1291188150644302,0.0868762359023094,0.602554440498352,0.2335297018289566,0,1,1,36.59999847412109,-100.0,-100.0,116,304,622,40.0,0,0,0,0,0,0,0,0,
4,2021-11-02 15:36:00 -0600,1,1,27,0,0,0,0,0,85,85,85,85,0,0,0,0,2,189,9,0,2,0,0,97,0,1,37.70504760742188,38.64280319213867,38.45497512817383,37.73179244995117,38.45497512817383,36.07896041870117,0.1594059467315673,0.0725297033786773,0.5634999871253967,0.2454851418733596,0,1,1,36.59999847412109,-100.0,-100.0,116,304,622,40.0,0,0,0,0,0,0,0,0,
5,2021-11-02 15:36:05 -0600,1,1,28,0,0,0,0,0,85,85,85,85,0,0,0,0,2,87,9,0,2,0,0,97,0,1,37.75854110717773,38.58912658691406,38.40133666992188,37.59809875488281,38.4818000793457,35.99925994873047,0.1458564400672912,0.0669504925608635,0.5650940537452698,0.2638168334960937,0,1,1,36.59999847412109,-100.0,-100.0,116,304,622,40.0,0,0,0,0,0,0,0,0,
6,2021-11-02 15:36:10 -0600,1,1,29,0,0,0,0,0,85,85,85,85,0,0,0,0,2,164,9,0,2,0,0,97,0,1,37.83880233764648,38.66965103149414,38.58912658691406,37.8923225402832,38.42815399169922,36.158687591552734,0.1346980184316635,0.1044108942151069,0.5435742735862732,0.2263564318418502,0,1,1,36.59999847412109,-100.0,-100.0,115,304,622,40.0,0,0,0,0,0,0,0,0,
7,2021-11-02 15:36:15 -0600,1,1,30,0,0,0,0,0,85,85,85,85,0,0,0,0,2,55,9,0,2,0,0,97,0,1,37.75854110717773,38.69649505615234,38.56229019165039,37.67830657958984,38.32089614868164,36.07896041870117,0.152232676744461,0.0589801967144012,0.5937871336936951,0.3164207935333252,0,1,1,36.59999847412109,-100.0,-100.0,115,304,622,40.0,0,0,0,0,0,0,0,0,
8,2021-11-02 15:36:19 -0600,1,1,31,0,0,0,0,0,15,85,85,85,0,0,0,0,2,216,9,0,2,0,0,97,0,1,37.91908645629883,38.75019836425781,38.13330459594727,37.75854110717773,38.56229019165039,35.97269821166992,0.1609999984502792,0.0749207884073257,0.5882079005241394,0.3251881301403045,0,1,1,36.70000076293945,-100.0,-100.0,115,304,622,40.0,0,0,0,0,0,0,0,0,
9,2021-11-02 15:36:24 -0600,1,1,32,0,0,0,0,0,85,85,85,85,0,0,0,0,2,103,9,0,2,0,0,97,0,1,37.78529357910156,38.80391311645508,38.72334671020508,37.8923225402832,38.32089614868164,36.052391052246094,0.1331039667129516,0.0940495058894157,0.5937871336936951,0.3379406034946441,0,1,1,36.70000076293945,-100.0,-100.0,115,304,622,40.0,0,0,0,0,0,0,0,0,
10,2021-11-02 15:36:30 -0600,1,1,33,0,0,0,0,0,15,85,85,85,0,0,0,0,2,71,9,0,2,0,0,97,0,1,37.65156936645508,38.69649505615234,38.45497512817383,37.73179244995117,38.40133666992188,36.07896041870117,0.1737524718046188,0.0812970325350761,0.5866138339042664,0.2956980168819427,0,1,1,36.70000076293945,-100.0,-100.0,115,304,622,40.0,0,0,0,0,0,0,0,0,
11,2021-11-02 15:36:35 -0600,1,1,34,0,0,0,0,0,85,85,85,85,0,0,0,0,2,64,9,0,2,0,0,97,0,1,37.70504760742188,38.4818000793457,38.4818000793457,37.81204605102539,38.40133666992188,36.10553359985352,0.1641881167888641,0.0749207884073257,0.5898019671440125,0.1920841634273529,0,1,1,36.70000076293945,-100.0,-100.0,115,304,622,40.0,0,0,0,0,0,0,0,0,
12,2021-11-02 15:36:40 -0600,1,1,35,0,0,0,0,0,15,85,85,85,0,0,0,0,2,49,9,0,2,0,0,97,0,1,37.81204605102539,38.77705383300781,38.45497512817383,37.91908645629883,38.64280319213867,36.025821685791016,0.1514356434345245,0.0725297033786773,0.5706732869148254,0.3339554369449615,0,1,1,36.70000076293945,-100.0,-100.0,115,304,622,40.0,0,0,0,0,0,0,0,0,
13,2021-11-02 15:36:45 -0600,1,1,36,0,0,0,0,0,85,85,85,85,0,0,0,0,2,108,9,0,2,0,0,97,0,1,37.65156936645508,38.72334671020508,38.61596298217773,37.81204605102539,38.58912658691406,36.21185302734375,0.1498415768146515,0.0773118808865547,0.5571237802505493,0.3682277202606201,0,1,1,36.70000076293945,-100.0,-100.0,115,304,622,40.0,0,0,0,0,0,0,0,0,
14,2021-11-02 15:36:49 -0600,1,1,37,0,0,0,0,0,15,85,85,85,0,0,0,0,2,122,9,0,2,0,0,97,0,1,37.75854110717773,38.75019836425781,38.75019836425781,37.67830657958984,38.32089614868164,35.91958236694336,0.1554207950830459,0.0828910917043685,0.5395891070365906,0.3283762335777282,0,1,1,36.79999923706055,-100.0,-100.0,115,304,622,40.0,0,0,0,0,0,0,0,0,
15,2021-11-02 15:36:55 -0600,1,1,38,0,0,0,0,0,15,85,85,85,0,0,0,0,2,54,9,0,2,0,0,97,0,1,37.73179244995117,38.83077621459961,38.61596298217773,37.94585418701172,38.40133666992188,36.13210678100586,0.1514356434345245,0.0629653483629226,0.5985693335533142,0.3522871434688568,0,1,1,36.79999923706055,-100.0,-100.0,115,304,622,40.0,0,0,0,0,0,0,0,0,
16,2021-11-02 15:36:59 -0600,1,1,39,0,0,0,0,0,15,85,85,85,0,0,0,0,2,186,9,0,2,0,0,97,0,1,37.73179244995117,38.69649505615234,38.85763931274414,37.91908645629883,38.61596298217773,36.025821685791016,0.133900985121727,0.0789059400558471,0.5722673535346985,0.4064851403236389,0,1,1,36.79999923706055,-100.0,-100.0,115,304,622,40.0,0,0,0,0,0,0,0,0,
17,2021-11-02 15:37:04 -0600,1,1,40,0,0,0,0,0,15,85,85,85,0,0,0,0,2,125,9,0,2,0,0,97,0,1,37.73179244995117,38.80391311645508,38.77705383300781,37.8923225402832,38.42815399169922,36.10553359985352,0.1434653401374817,0.0797029733657836,0.5674851536750793,0.2550494968891144,0,1,1,36.79999923706055,-100.0,-100.0,115,304,622,40.0,0,0,0,0,0,0,0,0,
18,2021-11-02 15:37:10 -0600,1,1,41,0,0,0,0,0,15,85,85,85,0,0,0,0,2,239,9,0,2,0,0,97,0,1,37.83880233764648,38.83077621459961,38.56229019165039,37.86555862426758,38.58912658691406,36.052391052246094,0.1530297100543975,0.0629653483629226,0.5666881203651428,0.3833712935447693,0,1,1,36.79999923706055,-100.0,-100.0,115,304,622,40.0,0,0,0,0,0,0,0,0,
19,2021-11-02 15:37:15 -0600,1,1,42,0,0,0,0,0,85,85,85,85,0,0,0,0,2,97,9,0,2,0,0,97,0,1,37.78529357910156,38.83077621459961,38.50862503051758,37.81204605102539,38.50862503051758,35.99925994873047,0.1594059467315673,0.0661534667015075,0.5985693335533142,0.3164207935333252,0,1,1,36.79999923706055,-100.0,-100.0,116,304,622,40.0,0,0,0,0,0,0,0,0,
20,2021-11-02 15:37:19 -0600,1,1,43,0,0,0,0,0,85,85,85,85,0,0,0,0,2,231,9,0,2,0,0,97,0,1,37.83880233764648,38.77705383300781,38.61596298217773,37.97262573242188,38.37451934814453,35.97269821166992,0.1785346567630767,0.0557920783758163,0.5483564138412476,0.2478762418031692,0,1,1,36.79999923706055,-100.0,-100.0,116,304,622,40.0,0,0,0,0,0,0,0,0,
21,2021-11-02 15:37:24 -0600,1,1,44,0,0,0,0,0,15,85,85,85,0,0,0,0,2,243,9,0,2,0,0,97,0,1,37.57136917114258,38.83077621459961,38.64280319213867,37.97262573242188,38.34770584106445,36.052391052246094,0.1705643534660339,0.0621683150529861,0.5459653735160828,0.2901188135147095,0,1,1,36.79999923706055,-100.0,-100.0,116,304,622,41.0,0,0,0,0,0,0,0,0,
22,2021-11-02 15:37:30 -0600,1,1,45,0,0,0,0,0,85,85,85,85,0,0,0,0,2,110,9,0,2,0,0,97,0,1,37.86555862426758,38.77705383300781,38.75019836425781,37.94585418701172,38.50862503051758,36.10553359985352,0.1594059467315673,0.0709356442093849,0.5826287269592285,0.3267821669578552,0,1,1,36.900001525878906,-100.0,-100.0,116,304,622,41.0,0,0,0,0,0,0,0,0,
23,2021-11-02 15:37:34 -0600,1,1,46,0,0,0,0,0,85,85,85,85,0,0,0,0,2,143,9,0,2,0,0,97,0,1,37.78529357910156,38.66965103149414,38.72334671020508,37.8923225402832,38.535457611083984,36.18526840209961,0.1442623734474182,0.0852821767330169,0.6065396070480347,0.2502673268318176,0,1,1,36.900001525878906,-100.0,-100.0,116,304,622,41.0,0,0,0,0,0,0,0,0,
24,2021-11-02 15:37:39 -0600,1,1,47,0,0,0,0,0,15,85,85,85,0,0,0,0,2,101,9,0,2,0,0,97,0,1,37.70504760742188,38.88450622558594,38.911376953125,37.94585418701172,38.535457611083984,36.13210678100586,0.1609999984502792,0.0828910917043685,0.571470320224762,0.3714158535003662,0,1,1,36.900001525878906,-100.0,-100.0,116,304,622,41.0,0,0,0,0,0,0,0,0,
25,2021-11-02 15:37:45 -0600,1,1,48,0,0,0,0,0,85,85,85,85,0,0,0,0,2,214,9,0,2,0,0,97,0,1,37.91908645629883,38.96512222290039,38.75019836425781,37.78529357910156,38.535457611083984,36.291622161865234,0.1617970317602157,0.0972376242280006,0.5929901003837585,0.3498960435390472,0,1,1,36.900001525878906,-100.0,-100.0,116,304,622,41.0,0,0,0,0,0,0,0,0,
26,2021-11-02 15:37:49 -0600,1,1,49,0,0,0,0,0,85,85,85,85,0,0,0,0,2,7,9,0,2,0,0,97,0,1,37.86555862426758,38.85763931274414,38.72334671020508,37.99939727783203,38.535457611083984,36.158687591552734,0.1713613867759704,0.0892673283815383,0.5690792202949524,0.3801831603050232,0,1,1,36.900001525878906,-100.0,-100.0,116,304,622,41.0,0,0,0,0,0,0,0,0,
27,2021-11-02 15:37:55 -0600,1,1,50,0,0,0,0,0,15,85,85,85,0,0,0,0,2,119,9,0,2,0,0,97,0,1,37.75854110717773,38.85763931274414,38.80391311645508,37.91908645629883,38.50862503051758,36.025821685791016,0.1809257417917251,0.0613712854683399,0.599366307258606,0.1944752484560012,0,1,1,36.900001525878906,-100.0,-100.0,116,304,622,41.0,0,0,0,0,0,0,0,0,
28,2021-11-02 15:37:59 -0600,1,1,51,0,0,0,0,0,15,85,85,85,0,0,0,0,2,107,9,0,2,0,0,97,0,1,37.73179244995117,38.85763931274414,38.72334671020508,37.91908645629883,38.50862503051758,36.158687591552734,0.1657821834087371,0.0613712854683399,0.5738613605499268,0.3036683201789856,0,1,1,36.900001525878906,-100.0,-100.0,116,304,622,41.0,0,0,0,0,0,0,0,0,
29,2021-11-02 15:38:05 -0600,1,1,52,0,0,0,0,0,85,85,85,85,0,0,0,0,2,67,9,0,2,0,0,97,0,1,37.67830657958984,39.01888275146485,38.64280319213867,37.86555862426758,38.66965103149414,36.13210678100586,0.1729554384946823,0.0717326700687408,0.5898019671440125,0.4399603903293609,0,1,1,36.900001525878906,-100.0,-100.0,116,304,622,41.0,0,0,0,0,0,0,0,0,
