,BUS CCSDS_TAI_SEC,PL UNIX TIME,PL UTC TIME,APID_VALID,CRC_VALID,FPGA_COUNTER,0,1,2,3,4,32,33,34,35,36,37,38,47,48,53,54,57,60,61,62,63,96,97,200,201,202,203,204,205,300,301,302,303,602,603,604,605,606,607,608,609,610,611,DAC_1_A,DAC_1_B,DAC_1_C,DAC_1_D,DAC_2_A,DAC_2_B,DAC_2_C,DAC_2_D
0,717004879,717004837,2022-09-20 16:00:39 UTC,1,1,0,0,0,0,0,0,0,85,0,0,0,0,0,0,2,157,9,0,2,0,0,65,0,2,13.443225860595703,13.855582237243652,13.928423881530762,13.370530128479004,13.322078704833984,13.831306457519531,0.0071732671931385,0.0294900983572006,0.0023910892195999,0.1155693084001541,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
1,717004881,717004842,2022-09-20 16:00:44 UTC,1,1,1,0,0,0,0,0,0,85,0,0,0,0,0,0,2,61,9,0,2,0,0,65,0,2,13.564433097839355,13.758493423461914,13.952710151672363,13.418991088867188,13.540186882019045,13.831306457519531,0.0071732671931385,0.0422425754368305,0.0031881188042461,0.0701386108994484,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
2,717004886,717004847,2022-09-20 16:00:49 UTC,1,1,2,0,0,0,0,0,0,85,0,0,0,0,0,0,2,67,9,0,2,0,0,65,0,2,13.515942573547363,13.807032585144045,13.831306457519531,13.418991088867188,13.443225860595703,13.807032585144045,0.0390544570982456,0.0143465343862771,0.0039851483888924,0.1968663334846496,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
3,717004891,717004852,2022-09-20 16:00:54 UTC,1,1,3,0,0,0,0,0,0,85,0,0,0,0,0,0,2,56,9,0,2,0,0,65,0,2,13.588682174682615,14.074174880981444,14.001288414001465,13.540186882019045,13.418991088867188,13.855582237243652,0.031084157526493,0.0071732671931385,0.008767326362431,0.1044108942151069,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
4,717004896,717004857,2022-09-20 16:00:59 UTC,1,1,4,0,0,0,0,0,0,85,0,0,0,0,0,0,2,110,9,0,2,0,0,65,0,2,13.540186882019045,13.782761573791504,14.049877166748049,13.418991088867188,13.467462539672852,13.588682174682615,0.0350693054497242,0.0167376231402158,0.0023910892195999,0.1370891034603119,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
5,717004902,717004862,2022-09-20 16:01:04 UTC,1,1,5,0,0,0,0,0,0,85,0,0,0,0,0,0,2,45,9,0,2,0,0,65,0,2,13.491701126098633,13.855582237243652,14.001288414001465,13.39475917816162,13.443225860595703,13.952710151672363,0.0247079208493232,0.023910891264677,0.0023910892195999,0.2606287002563476,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
6,717004907,717004867,2022-09-20 16:01:09 UTC,1,1,6,0,0,0,0,0,0,85,0,0,0,0,0,0,2,207,9,0,2,0,0,65,0,2,13.588682174682615,13.879859924316406,14.244328498840332,13.564433097839355,13.515942573547363,13.976998329162598,0.0286930687725543,0.0366633646190166,0.0023910892195999,0.0613712854683399,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
7,717004912,717004872,2022-09-20 16:01:14 UTC,1,1,7,0,0,0,0,0,0,85,0,0,0,0,0,0,2,104,9,0,2,0,0,65,0,2,13.612934112548828,13.928423881530762,14.244328498840332,13.467462539672852,13.491701126098633,13.904141426086426,0.0175346527248621,0.0231138616800308,0.001594059402123,0.1299158483743667,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
8,717004917,717004877,2022-09-20 16:01:19 UTC,1,1,8,0,0,0,0,0,0,85,0,0,0,0,0,0,2,23,9,0,2,0,0,65,0,2,13.612934112548828,13.831306457519531,14.098475456237791,13.467462539672852,13.491701126098633,13.976998329162598,0.0454306937754154,0.0215198025107383,0.001594059402123,0.1657821834087371,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
9,717004922,717004882,2022-09-20 16:01:24 UTC,1,1,9,0,0,0,0,0,0,85,0,0,0,0,0,0,2,180,9,0,2,0,0,65,0,2,13.637187957763672,13.904141426086426,14.195700645446776,13.418991088867188,13.540186882019045,13.928423881530762,0.031084157526493,0.0023910892195999,0.0023910892195999,0.1753465384244918,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
10,717004927,717004887,2022-09-20 16:01:29 UTC,1,1,10,0,0,0,0,0,0,85,0,0,0,0,0,0,2,119,9,0,2,0,0,65,0,2,13.70996379852295,14.001288414001465,14.268646240234377,13.661443710327148,13.443225860595703,13.976998329162598,0.0247079208493232,0.0199257433414459,0.001594059402123,0.0964405909180641,2,0,2,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0
