,UUT GPS PACKET_TIMESECONDS,UUT GPS PACKET_TIMEFORMATTED,UUT GPS RECEIVED_TIMESECONDS,UUT GPS RECEIVED_TIMEFORMATTED,UUT GPS RECEIVED_COUNT,UUT GPS SYNC,UUT GPS MSG_ID,UUT GPS LEN,UUT GPS SEQ,UUT GPS CCSDS_TAI_SECS,UUT GPS CCSDS_TAI_SUBSECS,UUT GPS CCSDS_REALTIME,UUT GPS GPS_TIME,UUT GPS GPS_POSITION_ECEF1,UUT GPS GPS_POSITION_ECEF2,UUT GPS GPS_POSITION_ECEF3,UUT GPS GPS_VELOCITY_ECEF1,UUT GPS GPS_VELOCITY_ECEF2,UUT GPS GPS_VELOCITY_ECEF3,UUT GPS MSG_RX_STATUS,UUT GPS AUX1_EVENT,UUT GPS AUX2_EVENT,UUT GPS AUX3_EVENT,UUT GPS DIG_FILT_EN,UUT GPS TRACKING_MODE,UUT GPS VERSION_BIT1,UUT GPS VERSION_BIT0,UUT GPS SOFTWARE_RESOURCE,UUT GPS EXT_OSC_LOCKED,UUT GPS CLOCK_MODEL,UUT GPS CLOCK_STEERING,UUT GPS POS_FIX,UUT GPS POS_SOL,UUT GPS ALMANAC_KNOWN,UUT GPS IMU_COMM,UUT GPS INS_RESET,UUT GPS JAMMER_DETECTED,UUT GPS ANT_GAIN_STATE,UUT GPS TRANSMIT_OVERRUN,UUT GPS INPUT_OVERRUN,UUT GPS LINK_OVERRUN,UUT GPS COM_BUF_OVERRUN,UUT GPS CPU_OVERLOAD,UUT GPS ANT_SHORT_CIRCUIT,UUT GPS ANT_OPEN_CIRCUIT,UUT GPS LNA_FAILURE,UUT GPS ANT_POWER_STATUS,UUT GPS VOLT_STATUS,UUT GPS TEMP_STATUS,UUT GPS ERROR_FLAG,UUT GPS MSG_SAT_PRN1,UUT GPS MSG_SAT_PRN2,UUT GPS MSG_SAT_PRN3,UUT GPS MSG_SAT_PRN4,UUT GPS MSG_SAT_PRN5,UUT GPS MSG_SAT_PSR1,UUT GPS MSG_SAT_PSR2,UUT GPS MSG_SAT_PSR3,UUT GPS MSG_SAT_PSR4,UUT GPS MSG_SAT_PSR5,UUT GPS MSG_SAT_DOPP1,UUT GPS MSG_SAT_DOPP2,UUT GPS MSG_SAT_DOPP3,UUT GPS MSG_SAT_DOPP4,UUT GPS MSG_SAT_DOPP5,UUT GPS MSG_SAT_CNO1,UUT GPS MSG_SAT_CNO2,UUT GPS MSG_SAT_CNO3,UUT GPS MSG_SAT_CNO4,UUT GPS MSG_SAT_CNO5,UUT GPS MSG_SAT_TRACK_STAT1,UUT GPS MSG_SAT_TRACK_STAT2,UUT GPS MSG_SAT_TRACK_STAT3,UUT GPS MSG_SAT_TRACK_STAT4,UUT GPS MSG_SAT_TRACK_STAT5,UUT GPS GPS_SOLUTION_TIME_TAG,UUT GPS GPS_CYCLES_SINCE_CRC_DATA,UUT GPS GPS_CYCLES_SINCE_LATEST_DATA,UUT GPS GPS_LOCK_COUNT,UUT GPS MSG_GPS_TEMP1,UUT GPS MSG_GPS_TEMP2,UUT GPS MSG_ANT_CURRENT,UUT GPS MSG_ANT_VOLTAGE,UUT GPS MSG_GPS_VOLTAGE_SUPPLY,UUT GPS MSG_GPS_VOLTAGE3P3,UUT GPS MSG_GPS_VOLTAGE1P8,UUT GPS MSG_GPS_VOLTAGE1P2,UUT GPS MSG_TRACKED_SATELLITES,UUT GPS MSG_USED_SATELLITES,UUT GPS GPS_HEALTH1_PACK,UUT GPS GPS_POS_LOCK,UUT GPS GPS_TIME_LOCK,UUT GPS MSG_DATA_VALID,UUT GPS GPS_NEW_DATA_RECEIVED,UUT GPS GPS_ENABLE,UUT GPS GPS_VALID,UUT GPS HEALTH1_PACK_SPARE1,Unnamed: 97
0,1662734965.723524,2022/09/09 10:49:25.723,1662734965.723524,2022/09/09 10:49:25.723,139,13582272291320560583,18,158,1,432053999,0.2,REALTIME,716050199,1373.369851331504,-5213.072599346357,-4138.18839309057,4.6731087350000005,4.232307465,-3.782257525,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,32,17,5,21,6,26665771,21882271,25965273,26602556,25700671,7693,31148,-32768,25712,15495,51.8,44.5,35.7,48.1,33.300000000000004,671136772,939572260,939572292,671136868,671136900,4076403297,1,1,23,15.0171425568,15.9942853944,0.012573434128,5.11050020442,3.2440001297600003,3.233333495,1.82,1.2,15,15,246,YES,YES,YES,YES,YES,YES,0,
1,1662734966.68127,2022/09/09 10:49:26.681,1662734966.68127,2022/09/09 10:49:26.681,140,13582272291320560583,18,158,2,432054000,0.2,REALTIME,716050200,1378.0423910978768,-5208.837299558122,-4141.967952901592,4.6719811600000005,4.23820896,-3.776998055,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,32,17,5,21,6,26664308,21876345,25971859,26597664,25697722,7686,31126,-32768,25707,15496,51.900000000000006,44.7,36.2,48.1,33.7,671136772,939572260,939572292,671136868,671136900,4077403297,1,1,23,15.0171425568,15.9942853944,0.012695506304,5.10850020434,3.2525001301,3.26666683,1.82,1.2,15,15,246,YES,YES,YES,YES,YES,YES,0,
2,1662734968.7512908,2022/09/09 10:49:28.751,1662734968.7512908,2022/09/09 10:49:28.751,141,13582272291320560583,18,158,3,432054001,0.2,REALTIME,716050201,1382.713790864307,-5204.596099770181,-4145.742232712878,4.67087239,4.244130085,-3.771682095,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,32,17,5,21,6,26662846,21870425,25978444,26592772,25694773,7678,31104,-32768,25702,15498,51.900000000000006,44.8,36.3,48.2,33.6,671136772,939572260,939572292,671136868,671136900,4078403297,1,1,23,15.0171425568,15.9942853944,0.012573434128,5.1065002042600005,3.25150013006,3.26666683,1.82,1.2,15,15,246,YES,YES,YES,YES,YES,YES,0,
3,1662734968.854292,2022/09/09 10:49:28.854,1662734968.854292,2022/09/09 10:49:28.854,142,13582272291320560583,18,158,4,432054002,0.2,REALTIME,716050202,1387.384090630792,-5200.348999982537,-4149.511232524428,4.669719765,4.24998804,-3.766383695,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,32,17,5,21,6,26661385,21864508,25985028,26587881,25691824,7671,31082,-32768,25697,15499,51.900000000000006,44.7,36.1,48.1,33.4,671136772,939572260,939572292,671136868,671136900,4079403296,1,1,23,15.2028568388,16.177142533599998,0.012695506304,5.112500204500001,3.25150013006,3.233333495,1.82,1.2,15,15,246,YES,YES,YES,YES,YES,YES,0,
4,1662734969.7393012,2022/09/09 10:49:29.739,1662734969.7393012,2022/09/09 10:49:29.739,143,13582272291320560583,18,158,5,432054003,0.2,REALTIME,716050203,1392.053230397335,-5196.096020195186,-4153.27499233624,4.66860652,4.25589116,-3.76115213,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,32,17,5,21,6,26659926,21858595,25991611,26582991,25688874,7663,31059,-32768,25692,15500,51.8,44.6,36.1,48.1,33.0,671136772,939572260,939572292,671136868,671136900,4080403296,1,1,23,15.2028568388,16.177142533599998,0.0122072176,5.11050020442,3.2480001299200003,3.233333495,1.82,1.2,15,15,246,YES,YES,YES,YES,YES,YES,0,
5,1662734970.713311,2022/09/09 10:49:30.713,1662734970.713311,2022/09/09 10:49:30.713,144,13582272291320560583,18,158,6,432054004,0.2,REALTIME,716050204,1396.721250163934,-5191.8371604081285,-4157.033472148316,4.66745992,4.261760945,-3.75584811,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,32,17,5,21,6,26658469,21852687,25998193,26578103,25685924,7656,31037,-32768,25687,15501,51.8,44.7,36.3,48.1,32.9,671136772,939572260,939572292,671136868,671136900,4081403296,1,1,23,15.2028568388,16.177142533599998,0.012573434128,5.112500204500001,3.23800012952,3.233333495,1.82,1.2,15,15,246,YES,YES,YES,YES,YES,YES,0,
6,1662734971.705858,2022/09/09 10:49:31.705,1662734971.705858,2022/09/09 10:49:31.705,145,13582272291320560583,18,158,7,432054005,0.2,REALTIME,716050205,1401.38812993059,-5187.572420621365,-4160.786651960657,4.666321835,4.267629475,-3.750552475,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,32,17,5,21,6,26657013,21846783,26004774,26573215,25682974,7648,31015,-32768,25682,15502,51.8,44.6,36.4,48.2,32.800000000000004,671136772,939572260,939572292,671136868,671136900,4082403296,1,1,23,15.2028568388,16.177142533599998,0.012329289776,5.10850020434,3.24650012986,3.233333495,1.82,1.2,15,15,246,YES,YES,YES,YES,YES,YES,0,
7,1662734972.589867,2022/09/09 10:49:32.589,1662734972.589867,2022/09/09 10:49:32.589,146,13582272291320560583,18,158,8,432054006,0.2,REALTIME,716050206,1406.053849697304,-5183.301820834896,-4164.534531773263,4.66516014,4.27352098,-3.745228675,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,32,17,5,21,6,26655558,21840883,26011355,26568328,25680024,7641,30993,-32768,25676,15503,51.8,44.8,36.7,48.1,32.800000000000004,671136772,939572260,939572292,671136868,671136900,4083403295,1,1,23,15.2028568388,16.177142533599998,0.012451361952,5.11850020474,3.2480001299200003,3.233333495,1.82,1.2,15,15,246,YES,YES,YES,YES,YES,YES,0,
8,1662734973.573877,2022/09/09 10:49:33.573,1662734973.573877,2022/09/09 10:49:33.573,147,13582272291320560583,18,158,9,432054007,0.2,REALTIME,716050207,1410.718409464076,-5179.025361048719,-4168.277131586133,4.66399526,4.2793412900000005,-3.739975125,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,32,17,5,21,6,26654104,21834988,26017934,26563442,25677074,7633,30970,-32768,25671,15505,51.8,44.7,36.7,48.1,32.5,671136772,939572260,939572292,671136868,671136900,4084403295,1,1,23,15.2028568388,16.177142533599998,0.012451361952,5.11050020442,3.2480001299200003,3.233333495,1.8,1.2,15,15,246,YES,YES,YES,YES,YES,YES,0,
9,1662734974.552889,2022/09/09 10:49:34.552,1662734974.552889,2022/09/09 10:49:34.552,148,13582272291320560583,18,158,10,432054008,0.2,REALTIME,716050208,1415.381849230904,-5174.743041262835,-4172.014451399266,4.662866695,4.2852236900000005,-3.73464049,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,32,17,5,21,6,26652653,21829096,26024512,26558557,25674124,7626,30948,-32768,25666,15505,51.8,44.7,36.6,48.2,32.6,671136772,939572260,939572292,671136868,671136900,4085403295,1,1,23,15.2028568388,16.177142533599998,0.012573434128,5.1065002042600005,3.2480001299200003,3.233333495,1.8,1.2,15,15,246,YES,YES,YES,YES,YES,YES,0,
