,UUT_COMMAND_TLM_PACKET_TIMESECONDS,UUT_COMMAND_TLM_PACKET_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_TIMESECONDS,UUT_COMMAND_TLM_RECEIVED_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_COUNT,UUT_COMMAND_TLM_SYNC,UUT_COMMAND_TLM_MSG_ID,UUT_COMMAND_TLM_LEN,UUT_COMMAND_TLM_SEQ,UUT_COMMAND_TLM_CCSDS_TAI_SECS,UUT_COMMAND_TLM_CCSDS_TAI_SUBSECS,UUT_COMMAND_TLM_CCSDS_REALTIME,UUT_COMMAND_TLM_REALTIME_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_REALTIME_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_STORED_CMD_REJECT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_TIMED_CMDS_ENABLED,UUT_COMMAND_TLM_MACROS_ENABLED,UUT_TIME_TAI_SECONDS,UUT_TIME_TIME_VALID,UUT_CLOCK_SYNC_HR_RUN_COUNT,UUT_GENERAL_VOLUME_PERCENT_USED,UUT_GENERAL_MEM_TOTAL,UUT_GENERAL_MEM_FREE,UUT_GENERAL_MEM_AVAILABLE,UUT_ANALOGS_DET_TEMP,UUT_ANALOGS_MOTOR1_TEMP,UUT_ANALOGS_MOTOR2_TEMP,UUT_ANALOGS_MOTOR3_TEMP,UUT_ANALOGS_BATTERY_VOLTAGE,UUT_ANALOGS_BATTERY1_TEMP,UUT_ANALOGS_BUS_TEMP,UUT_ANALOGS_PAYLOAD_TEMP,UUT_ANALOGS_5V_MON,UUT_ANALOGS_3V3_MON,UUT_ANALOGS_V3_9V_MON,UUT_ANALOGS_V4_9V_MON,UUT_ANALOGS_5V_CURR_MON,UUT_ANALOGS_3V3_CURR_MON,UUT_ANALOGS_V3_9V_CURR_MON,UUT_ANALOGS_V4_9V_CURR_MON,UUT_ANALOGS_5V_AUX_MON,UUT_ANALOGS_VSOLAR_MON,UUT_ANALOGS_BB_TEMP_MON,UUT_ANALOGS_BUCK_TEMP_MON,UUT_ANALOGS_I_SOLAR_MON,UUT_ANALOGS_I_BAT1_MON,UUT_ANALOGS_I_CHG_MON,UUT_POWER_HEATER_STATUS1,UUT_REFS_TIME_NOW,UUT_REFS_POSITION_WRT_ECEF1,UUT_REFS_POSITION_WRT_ECEF2,UUT_REFS_POSITION_WRT_ECEF3,UUT_REFS_VELOCITY_WRT_ECEF1,UUT_REFS_VELOCITY_WRT_ECEF2,UUT_REFS_VELOCITY_WRT_ECEF3,UUT_REFS_POSITION_WRT_ECI1,UUT_REFS_POSITION_WRT_ECI2,UUT_REFS_POSITION_WRT_ECI3,UUT_REFS_VELOCITY_WRT_ECI1,UUT_REFS_VELOCITY_WRT_ECI2,UUT_REFS_VELOCITY_WRT_ECI3,UUT_REFS_REFS_VALID,UUT_GPS_GPS_TIME,UUT_GPS_GPS_POSITION_ECEF1,UUT_GPS_GPS_POSITION_ECEF2,UUT_GPS_GPS_POSITION_ECEF3,UUT_GPS_GPS_VELOCITY_ECEF1,UUT_GPS_GPS_VELOCITY_ECEF2,UUT_GPS_GPS_VELOCITY_ECEF3,UUT_GPS_MSG_GPS_TEMP1,UUT_GPS_MSG_GPS_TEMP2,UUT_GPS_MSG_USED_SATELLITES,UUT_GPS_GPS_POS_LOCK,UUT_GPS_GPS_TIME_LOCK,UUT_GPS_MSG_DATA_VALID,UUT_GPS_GPS_NEW_DATA_RECEIVED,UUT_GPS_GPS_ENABLE,UUT_GPS_GPS_VALID,UUT_ATT_CMD_ADCS_MODE,UUT_ATT_CMD_RECOMMEND_SUN_POINT,UUT_ATT_CMD_SUN_POINT_REASON,UUT_ATT_CTRL_SUN_POINT_ANGLE_ERROR,UUT_ATT_CTRL_SUN_POINT_STATE,UUT_ATT_CTRL_MOMENTUM_TOO_HIGH,UUT_ATT_CTRL_ATT_CTRL_ACTIVE,UUT_ATT_DET_Q_BODY_WRT_ECI1,UUT_ATT_DET_Q_BODY_WRT_ECI2,UUT_ATT_DET_Q_BODY_WRT_ECI3,UUT_ATT_DET_Q_BODY_WRT_ECI4,UUT_ATT_DET_BODY_RATE1,UUT_ATT_DET_BODY_RATE2,UUT_ATT_DET_BODY_RATE3,UUT_ATT_DET_MEAS_RATE_VALID,UUT_ATT_DET_MEAS_ATT_VALID,UUT_ATT_DET_ATTITUDE_VALID,UUT_ATT_DET_REINIT_COUNT,UUT_CSS_CSS_INVALID_COUNT,UUT_MOMENTUM_TOTAL_MOMENTUM_MAG,UUT_MOMENTUM_DUTY_CYCLE1,UUT_MOMENTUM_DUTY_CYCLE2,UUT_MOMENTUM_DUTY_CYCLE3,UUT_MOMENTUM_TORQUE_ROD_MODE1,UUT_MOMENTUM_TORQUE_ROD_MODE2,UUT_MOMENTUM_TORQUE_ROD_MODE3,UUT_TRACKER_ATTITUDE_ST1,UUT_TRACKER_ATTITUDE_ST2,UUT_TRACKER_ATTITUDE_ST3,UUT_TRACKER_ATTITUDE_ST4,UUT_TRACKER_RATE_EST1,UUT_TRACKER_RATE_EST2,UUT_TRACKER_RATE_EST3,UUT_TRACKER_PEAK_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_MEDIAN_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_OPERATING_MODE,UUT_TRACKER_ATT_STATUS,UUT_TRACKER_NUM_ATTITUDE_STARS,UUT_TRACKER_NUM_TRACK_STARS,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT1,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT2,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT4,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT5,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT6,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT7,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT8,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT9,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT10,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT13,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT14,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT15,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT16,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT17,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT18,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT19,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT20,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT21,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT22,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT23,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT29,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT30,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT37,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT38,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT40,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT41,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT42,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT1,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT2,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT13,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT14,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT15,UUT_REFS_NADIR_VECTOR_BODY1,UUT_REFS_NADIR_VECTOR_BODY2,UUT_REFS_NADIR_VECTOR_BODY3,UUT_REFS_MODELED_SUN_VECTOR_BODY1,UUT_REFS_MODELED_SUN_VECTOR_BODY2,UUT_REFS_MODELED_SUN_VECTOR_BODY3,UUT_REFS_MOON_VECTOR_BODY1,UUT_REFS_MOON_VECTOR_BODY2,UUT_REFS_MOON_VECTOR_BODY3,UUT_REFS_Q_ECEF_WRT_ECI1,UUT_REFS_Q_ECEF_WRT_ECI2,UUT_REFS_Q_ECEF_WRT_ECI3,UUT_REFS_Q_ECEF_WRT_ECI4,timestamp_
0,1667336990.90828,44866.7151725463,1667336990.90828,44866.7151725463,20194,1.35822722913205e+19,1,512,1,720652226,0.4,REALTIME,122,0,228,0,0,0,EN,EN,720652226.399998,YES,1080650,27,85,14,19,19.20000024,16.399999672,16.7549996648999,16.2799996744,12.300000615,13.7449997251,16.29900065196,12.88100051524,4.98800019952,3.32050013282,3.90600015624,3.9650001586,0.2075000083,0.62850002514,0.02450000098,0.02450000098,5.0225002009,15.85350063414,20.33650081346,18.8325007533,1.84050007362,0.00600000024,0.77150003086,OFF,720652226.599998,595.410050229495,-4183.26825083657,-5303.88103480593,7.17771293,1.54221418,-0.407452125,459.41497702925,-4199.23463003825,-5304.78715476062,7.525593415,1.36295067,-0.42400263,YES,720652226,591.104550444771,-4184.19277079035,-5303.63641481816,7.178054645,1.53966057,-0.411532895,19.5371424664,20.5114281611999,16,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,6.9209995386,NOT_ACTIVE,NO,YES,0.401174147476516,0.196500201069995,-0.0095565083088698,0.89462595960748,-8.1415e-05,-0.0001272,0.00012077,YES,YES,YES,22,0,0.00150000006,53,28,14,AUTO,AUTO,AUTO,0.808482029785156,0.365883923828124,0.447092592285156,0.112222884277343,-0.0002049999918,6.24999975e-05,-0.0002449999902,532,180,TRACK,OK,27,27,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.256479993588,0.966559975836,-3.9999999e-05,-0.707079982323,-0.707119982322,3.9999999e-05,0.721759981956,-0.511319987217,0.466479988338,-2.992699910219e-05,0.0010967509670974,-0.0148338685549839,0.999889340003318,2022-11-01 21:09:50.908279808
1,1667336992.11034,44866.7151864583,1667336992.11034,44866.7151864583,20195,1.35822722913205e+19,1,512,2,720645076,0.8,STORED,111,0,227,0,0,0,EN,EN,720645076.799995,YES,1044902,26,85,15,19,12.80000016,10.1649997967,10.4799997903999,9.9749998005,12.280000614,9.1399998172,10.0375004015,6.38350025534,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.19550000782,0.59200002368,0.02450000098,0.02450000098,5.02400020096,16.16600064664,14.4600005784,12.4975004999,2.15950008638,0.22600000904,1.09850004394,OFF,720645076.999995,-5493.66872531655,-3613.31985933399,1631.27539843622,1.23559751,-4.48333827,-5.725274555,-6568.73933156301,-202.186089890695,1645.69749771512,-1.292401365,-4.9460795,-5.72231766,YES,720645076,-5494.9037052548,-3608.8377995581,1636.99953815001,1.22917531,-4.48784882,-5.72312757,12.7599997448,13.7371425823999,19,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,5.8229996118,NOT_ACTIVE,NO,YES,-0.682729090345418,-0.644139664117206,-0.142632119647357,0.314039999719199,-0.000311615,-0.00014128,-7.315e-06,YES,YES,YES,20,0,0.00200000008,54,10,36,AUTO,AUTO,AUTO,-0.347726067382812,0.0358242016601562,0.101445993652343,0.931403198730468,-0.0002799999887999,-4.9999998e-06,-0.0001374999945,232,200,TRACK,OK,30,30,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.003519999912,0.999999975,-3.9999999e-05,-0.707159982321,-0.707039982324,-7.9999998e-05,-0.588279985293,0.77239998069,-0.239399994015,-0.0003115759906527,0.0010519749684407,-0.272040408838787,0.962285172131443,2022-11-01 21:09:52.110340096
2,1667336992.21334,44866.7151876505,1667336992.21334,44866.7151876505,20196,1.35822722913205e+19,1,512,3,720645136,0.8,STORED,111,0,227,0,0,0,EN,EN,720645136.799995,YES,1045202,26,85,14,19,12.80000016,10.3949997920999,10.7099997858,10.2049997959,12.280000614,9.22499981549999,10.2275004091,6.66200026648,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.2075000083,0.60400002416,0.02450000098,0.02450000098,5.02400020096,16.1075006443,14.63850058554,12.71950050878,1.99050007962,0.27450001098,1.05450004218,OFF,720645136.999995,-5408.11916959402,-3874.17100629144,1284.24847578757,1.61553033,-4.208723885,-5.8378632,-6631.06838844656,-498.257815087108,1298.81459505926,-0.784187395,-4.919098705,-5.8360224,YES,720645136,-5409.73190951339,-3869.96058650196,1290.08573549571,1.609283045,-4.213415845,-5.836220835,13.0028568828,13.9799997203999,19,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,5.6339996244,NOT_ACTIVE,NO,YES,-0.686162815776743,-0.645437689091246,-0.142295926154081,0.303879267422414,-0.000236245,-0.0002935,1.7655e-05,YES,YES,YES,20,0,0.00200000008,53,10,35,AUTO,AUTO,AUTO,-0.356081455566406,0.031793474609375,0.0964359150390625,0.928921571777343,-0.0003974999841,-0.0001274999949,-0.0013199999472,716,244,TRACK,OK,28,28,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.069799998255,0.997559975061,-7.9999998e-05,-0.707119982322,-0.707079982323,0.0,-0.590879985228,0.776439980589,-0.218999994525,-0.0003092739907217,0.0010526539684203,-0.26993463190196,0.962877994113659,2022-11-01 21:09:52.213340160
3,1667336992.43697,44866.7151902315,1667336992.43697,44866.7151902315,20197,1.35822722913205e+19,1,512,4,720645196,0.8,STORED,111,0,227,0,0,0,EN,EN,720645196.799995,YES,1045502,27,85,8,19,12.80000016,10.6449997871,10.9399997812,10.4399997912,12.280000614,9.3099998138,10.54300042172,7.0525002821,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.22600000904,0.59200002368,0.02450000098,0.02450000098,5.02400020096,16.02950064118,14.85650059426,12.96150051846,2.01900008076,0.25650001026,0.9450000378,OFF,720645196.999995,-5299.91879500404,-4118.06275409685,931.272033436396,1.990011035,-3.918600475,-5.92353652,-6662.79072686044,-792.030620398466,945.914892704252,-0.27305711,-4.86961236,-5.922818755,YES,720645196,-5301.90465490475,-4114.14037429297,937.195493140223,1.98357835,-3.92377219,-5.922371445,13.1857140219999,14.2257140012,19,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,5.5259996316,NOT_ACTIVE,NO,YES,-0.690081246198374,-0.646828879563422,-0.14192598516148,0.291988440660231,-0.000307685,-0.00029652,-0.00015964,YES,NO,YES,20,0,0.00200000008,52,10,34,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,4,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.135479996613,0.99079997523,-7.9999998e-05,-0.707119982322,-0.707079982323,0.0,-0.593719985157,0.780679980483,-0.194999995125,-0.0003069709907908,0.0010533279684001,-0.267827562965172,0.963466207096012,2022-11-01 21:09:52.436969984
4,1667336992.64969,44866.7151926968,1667336992.64969,44866.7151926968,20198,1.35822722913205e+19,1,512,5,720645256,0.8,STORED,111,0,227,0,0,0,EN,EN,720645256.799995,YES,1045802,27,85,8,19,13.60000017,10.9199997816,11.1649997766999,10.6899997862,12.300000615,9.41999981159999,10.7100004284,7.39350029574,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.20150000806,0.59200002368,0.02450000098,0.02450000098,5.02400020096,15.97050063882,15.0350006014,13.16300052652,2.04700008188,0.4275000171,1.00350004014,OFF,720645256.999995,-5169.58322152082,-4344.02068279895,574.059251297036,2.358133205,-3.612295495,-5.98108921,-6663.88068680594,-1082.01812589909,588.71157056442,0.240211315,-4.796535715,-5.98149976,YES,720645256,-5171.79012141048,-4340.41874297905,579.992751000361,2.352714555,-3.617838065,-5.9807309,13.4914283016,14.4685711392,10,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,5.5469996302,NOT_ACTIVE,NO,YES,-0.694610094607797,-0.648344704533105,-0.141449012171019,0.27777346444453,-0.000300795,-0.000352915,5.055e-06,YES,NO,YES,20,0,0.00200000008,51,11,30,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.200199994995,0.979759975506,-7.9999998e-05,-0.707159982321,-0.707079982323,0.0,-0.596719985082,0.785079980373,-0.166199995845,-0.00030466599086,0.00105399696838,-0.265719211028423,0.964049811078504,2022-11-01 21:09:52.649689856
5,1667336992.76142,44866.7151939931,1667336992.76142,44866.7151939931,20199,1.35822722913205e+19,1,512,6,720645316,0.8,STORED,111,0,227,0,0,0,EN,EN,720645316.799996,YES,1046102,27,85,8,19,13.60000017,11.1649997766999,11.3949997720999,10.9399997812,12.300000615,9.52499980949999,11.06350044254,7.66400030656,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.20150000806,0.6350000254,0.02450000098,0.02450000098,5.02400020096,15.95100063804,15.2525006101,13.40350053614,1.8875000755,0.18900000756,1.02300004092,OFF,720645316.999996,-5017.01516914922,-4551.32415243378,214.043589297819,2.719149845,-3.293895125,-6.01191332,-6633.93720830312,-1367.26349163682,228.637128568143,0.75257113,-4.70294474,-6.01345068,YES,720645316,-5019.73200901338,-4548.02897259853,220.05338899733,2.71323286,-3.299316955,-6.011610655,13.7971425812,14.7742854188,19,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,5.4329996378,NOT_ACTIVE,NO,YES,-0.699924266001514,-0.649973923500521,-0.140844227683115,0.260389677792206,-0.000523095,-0.000349855,5.9625e-05,YES,NO,YES,20,0,0.00200000008,52,13,27,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.263639993409,0.964599975885,-3.9999999e-05,-0.70719998232,-0.707039982324,-3.9999999e-05,-0.599719985007,0.789439980264,-0.130879996728,-0.0003023599909291,0.0010546609683601,-0.263609588091712,0.964628800061135,2022-11-01 21:09:52.761420032
6,1667336992.87543,44866.7151953125,1667336992.87543,44866.7151953125,20200,1.35822722913205e+19,1,512,7,720645376,0.8,STORED,111,0,227,0,0,0,EN,EN,720645376.799995,YES,1046402,27,85,8,19,13.60000017,11.4349997713,11.6199997676,11.1649997766999,12.300000615,9.6549998069,11.31200045248,8.02150032086,4.98800019952,3.32300013292,3.89650015586,3.9600001584,0.20150000806,0.64100002564,0.02450000098,0.02450000098,5.02400020096,15.87300063492,15.48950061958,13.66350054654,1.90600007624,0.38450001538,0.95200003808,OFF,720645376.999995,-4843.3017578349,-4739.09820304507,-146.891112655444,3.06962939,-2.963200255,-6.01445933,-6573.51607132417,-1646.07141769642,-132.423413378829,1.26082875,-4.586980445,-6.01711504,YES,720645376,-4846.37003768148,-4736.13414319328,-140.880092955995,3.06378054,-2.968935425,-6.014701925,14.0428568619999,15.0171425568,19,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,5.39999964,NOT_ACTIVE,NO,YES,-0.706225766875484,-0.651775411964491,-0.14000897719982,0.238393425732131,-0.00071116,-0.00060391,-3.581e-05,YES,NO,YES,20,0,0.00200000008,50,15,20,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.325119991872,0.945679976358,-3.9999999e-05,-0.707119982322,-0.707079982323,-3.9999999e-05,-0.602639984934,0.793359980166,-0.086119997847,-0.0003000519909984,0.0010553199683404,-0.261498704155038,0.965203172043903,2022-11-01 21:09:52.875430144
7,1667336993.08716,44866.7151977662,1667336993.08716,44866.7151977662,20201,1.35822722913205e+19,1,512,8,720645436,0.8,STORED,111,0,227,0,0,0,EN,EN,720645436.799995,YES,1046702,27,85,7,19,13.60000017,11.6799997664,11.8649997626999,11.4149997717,12.300000615,9.7849998043,11.51800046072,8.24350032974,4.98800019952,3.32050013282,3.90150015606,3.9600001584,0.19550000782,0.64100002564,0.02450000098,0.02450000098,5.02400020096,15.85350063414,15.70700062828,13.88300055532,1.87800007512,0.26850001074,0.9300000372,OFF,720645436.999995,-4648.89006755548,-4906.71021466447,-507.152794642358,3.40873097,-2.622113,-5.989297655,-6482.76737586161,-1917.28630413568,-492.877655356115,1.762981415,-4.44992262,-5.993058835,YES,720645436,-4652.29538738521,-4904.08487479574,-501.163534941822,3.40311986,-2.627927985,-5.989925025,14.3457139987999,15.3228568364,20,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,5.3639996424,NOT_ACTIVE,NO,YES,-0.713911702221765,-0.653549102929017,-0.138787639724247,0.209622524807549,-0.00075444,-0.00091984,5.3905e-05,YES,NO,YES,20,0,0.00200000008,49,15,13,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.384359990391,0.923159976921,-7.9999998e-05,-0.707159982321,-0.707039982324,-3.9999999e-05,-0.604359984891,0.796239980094,-0.027559999311,-0.0002977429910677,0.0010559739683207,-0.259386568218402,0.965772926026811,2022-11-01 21:09:53.087160064
8,1667336993.20083,44866.7151990741,1667336993.20083,44866.7151990741,20202,1.35822722913205e+19,1,512,9,720645496,0.8,STORED,111,0,227,0,0,0,EN,EN,720645496.799995,YES,1047002,27,85,8,19,14.40000018,11.9299997614,12.0899997582,11.6199997676,12.300000615,9.9299998014,11.74350046974,8.1550003262,4.98800019952,3.32050013282,3.90150015606,3.9600001584,0.2075000083,0.6775000271,0.02450000098,0.02450000098,5.02400020096,15.85350063414,15.88450063538,14.0825005633,2.00000008,0.23800000952,0.9425000377,OFF,720645496.999995,-4434.50675827465,-5053.58578732069,-865.065116746742,3.73496574,-2.27238945,-5.936361265,-6362.12934189351,-2179.66605101669,-851.048377447578,2.256553765,-4.29265456,-5.94120957,YES,720645496,-4438.23289808834,-5051.29978743499,-859.12835704358,3.72990899,-2.27777644,-5.93750394,14.5914282795999,15.5057139755999,18,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,5.474999635,NOT_ACTIVE,NO,YES,-0.723298915034021,-0.655062564398748,-0.136920158261596,0.17024848559503,-0.0011938,-0.001071475,-4.191e-05,YES,NO,YES,20,0,0.00200000008,49,15,5,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.440439988989,0.897759977556,-0.000119999997,-0.707159982321,-0.707079982323,0.0,-0.603119984922,0.795919980102,0.052279998693,-0.000295431991137,0.0010566229683013,-0.257273190281804,0.966338058009857,2022-11-01 21:09:53.200829952
9,1667336993.41454,44866.7152015509,1667336993.41454,44866.7152015509,20203,1.35822722913205e+19,1,512,10,720645556,0.8,STORED,111,0,227,0,0,0,EN,EN,720645556.799995,YES,1047302,27,85,8,19,14.40000018,12.1699997566,12.3349997533,11.8449997630999,12.300000615,10.0599997988,11.8050004722,8.5075003403,4.98800019952,3.32050013282,3.90150015606,3.9650001586,0.20150000806,0.64700002588,0.02450000098,0.02450000098,5.02400020096,15.87300063492,16.08200064328,14.34100057364,2.075000083,0.25050001002,0.90350003614,OFF,720645556.999995,-4200.94088995294,-5179.19044104046,-1218.97491905125,4.04752593,-1.914207655,-5.8560266,-6212.13260939335,-2431.97933840102,-1205.28125973593,2.740455605,-4.1150695,-5.8619413,YES,720645556,-4204.98502975073,-5177.27308113633,-1213.11857934406,4.042428115,-1.92017693,-5.85759725,14.7742854188,15.7514282563999,17,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,5.5529996298,NOT_ACTIVE,NO,YES,-0.734671525306569,-0.65530645489387,-0.133877563322448,0.113613194727736,-0.00163133,-0.00161163,5.215e-05,YES,NO,YES,20,0,0.00200000008,46,15,4,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,0,3,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.492439987689,0.870359978241,-0.000199999995,-0.70719998232,-0.706999982325,3.9999999e-05,-0.593679985158,0.787479980313,0.16559999586,-0.0002931199912064,0.0010572669682819,-0.255158582345242,0.966898564993042,2022-11-01 21:09:53.414540032
