,UUT COMMAND_TLM PACKET_TIMESECONDS,UUT COMMAND_TLM PACKET_TIMEFORMATTED,UUT COMMAND_TLM RECEIVED_TIMESECONDS,UUT COMMAND_TLM RECEIVED_TIMEFORMATTED,UUT COMMAND_TLM RECEIVED_COUNT,UUT COMMAND_TLM SYNC,UUT COMMAND_TLM MSG_ID,UUT COMMAND_TLM LEN,UUT COMMAND_TLM SEQ,UUT COMMAND_TLM CCSDS_TAI_SECS,UUT COMMAND_TLM CCSDS_TAI_SUBSECS,UUT COMMAND_TLM CCSDS_REALTIME,UUT COMMAND_TLM REALTIME_CMD_ACCEPT_COUNT,UUT COMMAND_TLM REALTIME_CMD_REJECT_COUNT,UUT COMMAND_TLM STORED_CMD_ACCEPT_COUNT,UUT COMMAND_TLM STORED_CMD_REJECT_COUNT,UUT COMMAND_TLM SEQUENCE_CMD_ACCEPT_COUNT,UUT COMMAND_TLM SEQUENCE_CMD_REJECT_COUNT,UUT COMMAND_TLM STORED_TIMED_CMDS_ENABLED,UUT COMMAND_TLM MACROS_ENABLED,UUT TIME TAI_SECONDS,UUT TIME TIME_VALID,UUT CLOCK_SYNC HR_RUN_COUNT,UUT GENERAL VOLUME_PERCENT_USED,UUT GENERAL MEM_TOTAL,UUT GENERAL MEM_FREE,UUT GENERAL MEM_AVAILABLE,UUT ANALOGS DET_TEMP,UUT ANALOGS MOTOR1_TEMP,UUT ANALOGS MOTOR2_TEMP,UUT ANALOGS MOTOR3_TEMP,UUT ANALOGS BATTERY_VOLTAGE,UUT ANALOGS BATTERY1_TEMP,UUT ANALOGS BUS_TEMP,UUT ANALOGS PAYLOAD_TEMP,UUT ANALOGS 5V_MON,UUT ANALOGS 3V3_MON,UUT ANALOGS V3_9V_MON,UUT ANALOGS V4_9V_MON,UUT ANALOGS 5V_CURR_MON,UUT ANALOGS 3V3_CURR_MON,UUT ANALOGS V3_9V_CURR_MON,UUT ANALOGS V4_9V_CURR_MON,UUT ANALOGS 5V_AUX_MON,UUT ANALOGS VSOLAR_MON,UUT ANALOGS BB_TEMP_MON,UUT ANALOGS BUCK_TEMP_MON,UUT ANALOGS I_SOLAR_MON,UUT ANALOGS I_BAT1_MON,UUT ANALOGS I_CHG_MON,UUT POWER HEATER_STATUS1,UUT REFS TIME_NOW,UUT REFS POSITION_WRT_ECEF1,UUT REFS POSITION_WRT_ECEF2,UUT REFS POSITION_WRT_ECEF3,UUT REFS VELOCITY_WRT_ECEF1,UUT REFS VELOCITY_WRT_ECEF2,UUT REFS VELOCITY_WRT_ECEF3,UUT REFS POSITION_WRT_ECI1,UUT REFS POSITION_WRT_ECI2,UUT REFS POSITION_WRT_ECI3,UUT REFS VELOCITY_WRT_ECI1,UUT REFS VELOCITY_WRT_ECI2,UUT REFS VELOCITY_WRT_ECI3,UUT REFS REFS_VALID,UUT GPS GPS_TIME,UUT GPS GPS_POSITION_ECEF1,UUT GPS GPS_POSITION_ECEF2,UUT GPS GPS_POSITION_ECEF3,UUT GPS GPS_VELOCITY_ECEF1,UUT GPS GPS_VELOCITY_ECEF2,UUT GPS GPS_VELOCITY_ECEF3,UUT GPS MSG_GPS_TEMP1,UUT GPS MSG_GPS_TEMP2,UUT GPS MSG_USED_SATELLITES,UUT GPS GPS_POS_LOCK,UUT GPS GPS_TIME_LOCK,UUT GPS MSG_DATA_VALID,UUT GPS GPS_NEW_DATA_RECEIVED,UUT GPS GPS_ENABLE,UUT GPS GPS_VALID,UUT ATT_CMD ADCS_MODE,UUT ATT_CMD RECOMMEND_SUN_POINT,UUT ATT_CMD SUN_POINT_REASON,UUT ATT_CTRL SUN_POINT_ANGLE_ERROR,UUT ATT_CTRL SUN_POINT_STATE,UUT ATT_CTRL MOMENTUM_TOO_HIGH,UUT ATT_CTRL ATT_CTRL_ACTIVE,UUT ATT_DET Q_BODY_WRT_ECI1,UUT ATT_DET Q_BODY_WRT_ECI2,UUT ATT_DET Q_BODY_WRT_ECI3,UUT ATT_DET Q_BODY_WRT_ECI4,UUT ATT_DET BODY_RATE1,UUT ATT_DET BODY_RATE2,UUT ATT_DET BODY_RATE3,UUT ATT_DET MEAS_RATE_VALID,UUT ATT_DET MEAS_ATT_VALID,UUT ATT_DET ATTITUDE_VALID,UUT ATT_DET REINIT_COUNT,UUT CSS CSS_INVALID_COUNT,UUT MOMENTUM TOTAL_MOMENTUM_MAG,UUT MOMENTUM DUTY_CYCLE1,UUT MOMENTUM DUTY_CYCLE2,UUT MOMENTUM DUTY_CYCLE3,UUT MOMENTUM TORQUE_ROD_MODE1,UUT MOMENTUM TORQUE_ROD_MODE2,UUT MOMENTUM TORQUE_ROD_MODE3,UUT TRACKER ATTITUDE_ST1,UUT TRACKER ATTITUDE_ST2,UUT TRACKER ATTITUDE_ST3,UUT TRACKER ATTITUDE_ST4,UUT TRACKER RATE_EST1,UUT TRACKER RATE_EST2,UUT TRACKER RATE_EST3,UUT TRACKER PEAK_BCKGND_ALL_TRK_BLKS,UUT TRACKER MEDIAN_BCKGND_ALL_TRK_BLKS,UUT TRACKER OPERATING_MODE,UUT TRACKER ATT_STATUS,UUT TRACKER NUM_ATTITUDE_STARS,UUT TRACKER NUM_TRACK_STARS,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT1,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT2,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT4,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT5,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT6,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT7,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT8,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT9,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT10,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT13,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT14,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT15,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT16,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT17,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT18,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT19,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT20,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT21,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT22,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT23,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT29,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT30,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT37,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT38,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT40,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT41,UUT EVENT_CHECK CHECK_ENABLED_PACK_BIT42,UUT EVENT_CHECK LATCHED_RESP_FIRE_PACK_BIT1,UUT EVENT_CHECK LATCHED_RESP_FIRE_PACK_BIT2,UUT EVENT_CHECK LATCHED_RESP_FIRE_PACK_BIT13,UUT EVENT_CHECK LATCHED_RESP_FIRE_PACK_BIT14,UUT EVENT_CHECK LATCHED_RESP_FIRE_PACK_BIT15
0,1665083364.0,09:24.5,1665083364.0,09:24.5,14839.0,1.35823e+19,1.0,512.0,6.0,718398598.0,0.6,REALTIME,56.0,0.0,26.0,0.0,0.0,0.0,EN,EN,718398598.6,YES,11741555.0,24.0,85.0,9.0,19.0,16.0000002,12.41499975,13.38499973,13.14499974,12.12400061,13.72499973,13.54350054,7.325500293,4.985500199,3.323000133,3.901500156,3.965000159,0.207500008,0.641000026,0.024500001,0.024500001,5.022500201,18.23550073,20.29600081,17.10800068,2.272500091,1.135500045,2.600000104,OFF,718398598.8,-3458.532707,2964.222392,-5032.382948,-6.031228405,-3.724051395,1.95307281,632.6167284,4509.156795,-5033.909228,-6.70464553,3.135430125,1.96765592,YES,718398598.0,-3453.706447,2967.202092,-5033.944148,-6.034272285,-3.721739795,1.94795854,16.84857109,17.76571393,18.0,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,6.053999596,NOT_ACTIVE,NO,YES,0.80325435,0.415437451,-0.080748426,0.419134614,0.000679,0.000539175,2.0145e-05,YES,YES,YES,232.0,0.0,0.002,24.0,24.0,30.0,AUTO,AUTO,AUTO,-0.852895699,-0.031651512,-0.285060587,0.436242559,0.0006375,1.75e-05,0.00079,212.0,144.0,TRACK,OK,37.0,37.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1665083365.0,44840.63153,1665083365.0,44840.63153,14840.0,1.35823e+19,1.0,512.0,7.0,718398598.0,0.8,REALTIME,56.0,0.0,26.0,0.0,0.0,0.0,EN,EN,718398598.8,YES,11741556.0,24.0,85.0,9.0,19.0,16.0000002,12.41499975,13.38499973,13.14499974,12.12400061,13.72499973,13.54350054,7.325500293,4.9880002,3.320500133,3.901500156,3.965000159,0.207500008,0.641000026,0.024500001,0.024500001,5.024000201,18.29400073,20.29600081,17.08850068,1.962500079,1.202500048,2.556000102,OFF,718398599.0,-3459.738867,2963.477512,-5031.992208,-6.03046116,-3.72462597,1.954356045,631.2757884,4509.783775,-5033.515568,-6.70480622,3.134283495,1.96893954,YES,718398598.0,-3453.706447,2967.202092,-5033.944148,-6.034272285,-3.721739795,1.94795854,16.84857109,17.76571393,18.0,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,6.089999594,NOT_ACTIVE,NO,YES,0.803285292,0.415449015,-0.080732607,0.419066894,0.000598595,0.00048185,4.7275e-05,YES,YES,YES,232.0,0.0,0.002,23.0,23.0,29.0,AUTO,AUTO,AUTO,-0.852869775,-0.03166593,-0.285067261,0.436287832,0.0005375,8.25e-05,-3e-05,212.0,148.0,TRACK,OK,36.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1665083365.0,44840.63154,1665083365.0,44840.63154,14841.0,1.35823e+19,1.0,512.0,8.0,718398599.0,0.0,REALTIME,56.0,0.0,26.0,0.0,0.0,0.0,EN,EN,718398599.0,YES,11741557.0,24.0,85.0,9.0,19.0,16.0000002,12.41499975,13.38499973,13.14499974,12.12400061,13.72499973,13.54350054,7.325500293,4.9880002,3.323000133,3.901500156,3.965000159,0.201500008,0.635000025,0.024500001,0.024500001,5.022500201,18.11850072,20.31650081,17.10800068,2.169000087,1.24500005,2.5050001,OFF,718398599.2,-3460.944887,2962.732552,-5031.601208,-6.02969363,-3.725200375,1.95563918,629.9348085,4510.410514,-5033.121648,-6.70496657,3.1331367,1.970223065,YES,718398598.0,-3453.706447,2967.202092,-5033.944148,-6.034272285,-3.721739795,1.94795854,16.84857109,17.76571393,18.0,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,6.089999594,NOT_ACTIVE,NO,YES,0.803308421,0.415469074,-0.080710473,0.419006931,0.00047046,0.00052966,-2.0695e-05,YES,YES,YES,232.0,0.0,0.002,24.0,24.0,29.0,AUTO,AUTO,AUTO,-0.852842974,-0.031634924,-0.285046195,0.43635623,0.0006175,5.25e-05,0.0005425,212.0,144.0,TRACK,OK,33.0,33.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1665083372.0,44840.63162,1665083372.0,44840.63162,14842.0,1.35823e+19,1.0,512.0,9.0,718398605.0,0.6,REALTIME,56.0,0.0,26.0,0.0,0.0,0.0,EN,EN,718398605.6,YES,11741590.0,24.0,85.0,9.0,19.0,16.0000002,12.43499975,13.40499973,13.16499974,12.0860006,13.74499973,13.56350054,7.371000295,4.985500199,3.323000133,3.901500156,3.965000159,0.207500008,0.696000028,0.024500001,0.024500001,5.022500201,17.88400072,20.31650081,17.14750069,2.479000099,1.111000044,2.610000104,OFF,718398605.8,-3500.656925,2938.083873,-5018.554369,-6.004202885,-3.74406283,1.997927115,585.6649907,4530.964133,-5019.978529,-6.71006688,3.095202875,2.012523355,YES,718398605.0,-3495.852385,2941.080533,-5020.152029,-6.00728632,-3.741698315,1.992769175,16.84857109,17.76571393,19.0,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,5.978999601,NOT_ACTIVE,NO,YES,0.804187532,0.416042562,-0.080014652,0.416879617,0.00048049,0.00055839,0.00012486,YES,YES,YES,232.0,0.0,0.002,24.0,24.0,30.0,AUTO,AUTO,AUTO,-0.851920407,-0.030939146,-0.284621652,0.438480222,0.000625,0.0001325,-0.0005075,212.0,144.0,TRACK,OK,34.0,34.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1665083372.0,44840.63162,1665083372.0,44840.63162,14843.0,1.35823e+19,1.0,512.0,10.0,718398605.0,0.8,REALTIME,56.0,0.0,26.0,0.0,0.0,0.0,EN,EN,718398605.8,YES,11741591.0,24.0,85.0,9.0,19.0,16.0000002,12.43499975,13.40499973,13.16499974,12.12400061,13.74499973,13.56350054,7.371000295,4.9880002,3.320500133,3.901500156,3.965000159,0.201500008,0.647000026,0.024500001,0.024500001,5.022500201,18.04050072,20.29600081,17.12800069,2.404000096,1.184000047,2.5025001,OFF,718398606.0,-3501.857685,2937.334993,-5018.154669,-6.00342554,-3.74463159,1.999206855,584.3229708,4531.583053,-5019.575889,-6.71021564,3.09405067,2.01380346,YES,718398605.0,-3495.852385,2941.080533,-5020.152029,-6.00728632,-3.741698315,1.992769175,16.84857109,17.76571393,19.0,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,5.939999604,NOT_ACTIVE,NO,YES,0.804207513,0.416067231,-0.079987903,0.416821581,0.000419,0.0005754,-5.02e-05,YES,YES,YES,232.0,0.0,0.002,25.0,25.0,28.0,AUTO,AUTO,AUTO,-0.851892313,-0.030917507,-0.284605392,0.43854688,0.000635,5.75e-05,0.0004375,212.0,144.0,TRACK,OK,34.0,34.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1665083373.0,44840.63163,1665083373.0,44840.63163,14844.0,1.35823e+19,1.0,512.0,11.0,718398607.0,0.0,REALTIME,56.0,0.0,26.0,0.0,0.0,0.0,EN,EN,718398607.0,YES,11741597.0,24.0,85.0,9.0,19.0,16.0000002,12.45499975,13.40499973,13.18499974,12.12400061,13.72499973,13.54350054,7.371000295,4.9880002,3.320500133,3.901500156,3.965000159,0.207500008,0.647000026,0.024500001,0.024500001,5.022500201,18.11850072,20.29600081,17.12800069,2.178500087,1.25750005,2.517000101,OFF,718398607.2,-3509.058985,2932.839393,-5015.751009,-5.99875539,-3.74804068,2.006883215,576.2701712,4535.291753,-5017.154729,-6.711101015,3.087134095,2.02148197,YES,718398606.0,-3501.857805,2937.337513,-5018.156129,-6.003409055,-3.744571455,1.99921616,16.84857109,17.76571393,19.0,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,6.011999599,NOT_ACTIVE,NO,YES,0.804352078,0.416198187,-0.079838194,0.416441245,-0.90121807,0.000560315,-5.203e-05,YES,YES,YES,232.0,0.0,0.002,25.0,24.0,30.0,AUTO,AUTO,AUTO,-0.851719112,-0.030802457,-0.284512647,0.438951383,0.000675,8e-05,0.0001475,212.0,144.0,TRACK,OK,33.0,33.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1665083373.0,44840.63164,1665083373.0,44840.63164,14845.0,1.35823e+19,1.0,512.0,12.0,718398607.0,0.2,REALTIME,56.0,0.0,26.0,0.0,0.0,0.0,EN,EN,718398607.2,YES,2188358695.0,24.0,85.0,9.0,19.0,58.40000073,84.54999831,-63.53499873,-77.90499844,89.00400445,130.9199974,-820119.8568,359445.9139,-860730.7259,390521.8776,-655760.3042,1052556.62,179285.8117,710659.4404,1048946.084,438587.068,453650.6031,-559213.8249,-77600.5746,-396913.5594,678073.0461,-338505.3075,-824701.2195,OFF,718398607.4,-3510.258684,2932.089713,-5015.349509,-5.997976005,-3.74860829,2.00816228,574.9279113,4535.909073,-5016.750289,-6.71124739,3.085980755,2.022761395,YES,-735728761.0,21219.95524,13808.54693,22479.67012,3.695533345,-9.80518929,8.291298755,16.84857109,17.76571393,19.0,YES,YES,YES,YES,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,102.1589932,231,YES,NO,0.804381839,0.416211579,-0.079834994,0.416370162,0.00066506,0.000397685,-2.6625e-05,YES,YES,YES,232.0,46469.0,14.81600059,-49.0,34.0,-91.0,193,22,70,-0.851696926,-0.030765143,-0.294182307,-0.704995824,0.066292497,-0.0685,0.024877499,268.0,884.0,TRACK,104,132.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1665083377.0,44840.63167,1665083377.0,44840.63167,14846.0,1.35823e+19,1.0,512.0,13.0,718398610.0,0.6,REALTIME,56.0,0.0,26.0,0.0,0.0,0.0,EN,EN,718398610.6,YES,11741615.0,24.0,85.0,9.0,19.0,16.0000002,12.45499975,13.42499973,13.18499974,12.12400061,13.74499973,13.60350054,7.393500296,4.985500199,3.323000133,3.901500156,3.965000159,0.207500008,0.659000026,0.024500001,0.024500001,5.022500201,18.11850072,20.33650081,17.16750069,2.328500093,1.24500005,2.517000101,OFF,718398610.8,-3530.629223,2919.328094,-5008.48481,-5.984682765,-3.75823197,2.029890365,552.1055124,4546.368053,-5009.83595,-6.71368345,3.06635029,2.04449543,YES,718398610.0,-3525.839924,2922.335954,-5010.107729,-5.987782265,-3.755928625,2.024745795,16.84857109,17.76571393,19.0,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,6.080999595,NOT_ACTIVE,NO,YES,0.804830495,0.416507602,-0.079503445,0.415269135,0.00067511,0.00050816,4.844e-05,YES,YES,YES,232.0,0.0,0.002,24.0,23.0,30.0,AUTO,AUTO,AUTO,-0.851229177,-0.030403761,-0.284253552,0.440095919,0.0005925,9.25e-05,-0.0001775,212.0,144.0,TRACK,OK,35.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1665083377.0,44840.63168,1665083377.0,44840.63168,14847.0,1.35823e+19,1.0,512.0,14.0,718398610.0,0.8,REALTIME,56.0,0.0,26.0,0.0,0.0,0.0,EN,EN,718398610.8,YES,11741616.0,24.0,85.0,9.0,19.0,16.0000002,12.45499975,13.42499973,13.18499974,12.12400061,13.72499973,13.60350054,7.393500296,4.985500199,3.323000133,3.901500156,3.965000159,0.232000009,0.659000026,0.024500001,0.024500001,5.022500201,18.11850072,20.31650081,17.14750069,2.282000091,1.172000047,2.522000101,OFF,718398611.0,-3531.825743,2918.578634,-5008.07979,-5.983862435,-3.75875328,2.031132805,550.7648325,4546.982133,-5009.42803,-6.713768085,3.06518739,2.04573809,YES,718398610.0,-3525.839924,2922.335954,-5010.107729,-5.987782265,-3.755928625,2.024745795,16.84857109,17.76571393,19.0,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,6.041999597,NOT_ACTIVE,NO,YES,0.804853529,0.416532103,-0.07947865,0.415204657,0.00049184,0.000588175,-4.955e-05,YES,YES,YES,232.0,0.0,0.002,25.0,24.0,29.0,AUTO,AUTO,AUTO,-0.851205114,-0.030356609,-0.284219704,0.440167571,0.0005925,1e-05,0.0007475,212.0,144.0,TRACK,OK,36.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1665083377.0,44840.63168,1665083377.0,44840.63168,14848.0,1.35823e+19,1.0,512.0,15.0,718398611.0,0.0,REALTIME,56.0,0.0,26.0,0.0,0.0,0.0,EN,EN,718398611.0,YES,11741617.0,24.0,85.0,9.0,19.0,16.0000002,12.45499975,13.42499973,13.18499974,12.10400061,13.74499973,13.60350054,7.393500296,4.9880002,3.320500133,3.901500156,3.965000159,0.207500008,0.641000026,0.024500001,0.024500001,5.022500201,17.94250072,20.31650081,17.14750069,2.263000091,1.24500005,2.514500101,OFF,718398611.2,-3533.022423,2917.826834,-5007.67345,-5.98307761,-3.75931771,2.0324099,549.4220725,4547.595053,-5009.01875,-6.71390797,3.06403109,2.047015525,YES,718398610.0,-3525.839924,2922.335954,-5010.107729,-5.987782265,-3.755928625,2.024745795,16.84857109,17.76571393,19.0,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,ATTITUDE_INVALID,6.008999599,NOT_ACTIVE,NO,YES,0.804880495,0.416551228,-0.079453709,0.415137967,0.000529635,0.000579365,8.945e-06,YES,YES,YES,232.0,0.0,0.002,25.0,24.0,30.0,AUTO,AUTO,AUTO,-0.851175651,-0.030324717,-0.284204561,0.440236516,0.00063,0.000115,0.000525,212.0,144.0,TRACK,OK,36.0,36.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
