,UUT_COMMAND_TLM_PACKET_TIMESECONDS,UUT_COMMAND_TLM_PACKET_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_TIMESECONDS,UUT_COMMAND_TLM_RECEIVED_TIMEFORMATTED,UUT_COMMAND_TLM_RECEIVED_COUNT,UUT_COMMAND_TLM_SYNC,UUT_COMMAND_TLM_MSG_ID,UUT_COMMAND_TLM_LEN,UUT_COMMAND_TLM_SEQ,UUT_COMMAND_TLM_CCSDS_TAI_SECS,UUT_COMMAND_TLM_CCSDS_TAI_SUBSECS,UUT_COMMAND_TLM_CCSDS_REALTIME,UUT_COMMAND_TLM_REALTIME_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_REALTIME_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_STORED_CMD_REJECT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_ACCEPT_COUNT,UUT_COMMAND_TLM_SEQUENCE_CMD_REJECT_COUNT,UUT_COMMAND_TLM_STORED_TIMED_CMDS_ENABLED,UUT_COMMAND_TLM_MACROS_ENABLED,UUT_TIME_TAI_SECONDS,UUT_TIME_TIME_VALID,UUT_CLOCK_SYNC_HR_RUN_COUNT,UUT_GENERAL_VOLUME_PERCENT_USED,UUT_GENERAL_MEM_TOTAL,UUT_GENERAL_MEM_FREE,UUT_GENERAL_MEM_AVAILABLE,UUT_ANALOGS_DET_TEMP,UUT_ANALOGS_MOTOR1_TEMP,UUT_ANALOGS_MOTOR2_TEMP,UUT_ANALOGS_MOTOR3_TEMP,UUT_ANALOGS_BATTERY_VOLTAGE,UUT_ANALOGS_BATTERY1_TEMP,UUT_ANALOGS_BUS_TEMP,UUT_ANALOGS_PAYLOAD_TEMP,UUT_ANALOGS_5V_MON,UUT_ANALOGS_3V3_MON,UUT_ANALOGS_V3_9V_MON,UUT_ANALOGS_V4_9V_MON,UUT_ANALOGS_5V_CURR_MON,UUT_ANALOGS_3V3_CURR_MON,UUT_ANALOGS_V3_9V_CURR_MON,UUT_ANALOGS_V4_9V_CURR_MON,UUT_ANALOGS_5V_AUX_MON,UUT_ANALOGS_VSOLAR_MON,UUT_ANALOGS_BB_TEMP_MON,UUT_ANALOGS_BUCK_TEMP_MON,UUT_ANALOGS_I_SOLAR_MON,UUT_ANALOGS_I_BAT1_MON,UUT_ANALOGS_I_CHG_MON,UUT_POWER_HEATER_STATUS1,UUT_REFS_TIME_NOW,UUT_REFS_POSITION_WRT_ECEF1,UUT_REFS_POSITION_WRT_ECEF2,UUT_REFS_POSITION_WRT_ECEF3,UUT_REFS_VELOCITY_WRT_ECEF1,UUT_REFS_VELOCITY_WRT_ECEF2,UUT_REFS_VELOCITY_WRT_ECEF3,UUT_REFS_POSITION_WRT_ECI1,UUT_REFS_POSITION_WRT_ECI2,UUT_REFS_POSITION_WRT_ECI3,UUT_REFS_VELOCITY_WRT_ECI1,UUT_REFS_VELOCITY_WRT_ECI2,UUT_REFS_VELOCITY_WRT_ECI3,UUT_REFS_REFS_VALID,UUT_GPS_GPS_TIME,UUT_GPS_GPS_POSITION_ECEF1,UUT_GPS_GPS_POSITION_ECEF2,UUT_GPS_GPS_POSITION_ECEF3,UUT_GPS_GPS_VELOCITY_ECEF1,UUT_GPS_GPS_VELOCITY_ECEF2,UUT_GPS_GPS_VELOCITY_ECEF3,UUT_GPS_MSG_GPS_TEMP1,UUT_GPS_MSG_GPS_TEMP2,UUT_GPS_MSG_USED_SATELLITES,UUT_GPS_GPS_POS_LOCK,UUT_GPS_GPS_TIME_LOCK,UUT_GPS_MSG_DATA_VALID,UUT_GPS_GPS_NEW_DATA_RECEIVED,UUT_GPS_GPS_ENABLE,UUT_GPS_GPS_VALID,UUT_ATT_CMD_ADCS_MODE,UUT_ATT_CMD_RECOMMEND_SUN_POINT,UUT_ATT_CMD_SUN_POINT_REASON,UUT_ATT_CTRL_SUN_POINT_ANGLE_ERROR,UUT_ATT_CTRL_SUN_POINT_STATE,UUT_ATT_CTRL_MOMENTUM_TOO_HIGH,UUT_ATT_CTRL_ATT_CTRL_ACTIVE,UUT_ATT_DET_Q_BODY_WRT_ECI1,UUT_ATT_DET_Q_BODY_WRT_ECI2,UUT_ATT_DET_Q_BODY_WRT_ECI3,UUT_ATT_DET_Q_BODY_WRT_ECI4,UUT_ATT_DET_BODY_RATE1,UUT_ATT_DET_BODY_RATE2,UUT_ATT_DET_BODY_RATE3,UUT_ATT_DET_MEAS_RATE_VALID,UUT_ATT_DET_MEAS_ATT_VALID,UUT_ATT_DET_ATTITUDE_VALID,UUT_ATT_DET_REINIT_COUNT,UUT_CSS_CSS_INVALID_COUNT,UUT_MOMENTUM_TOTAL_MOMENTUM_MAG,UUT_MOMENTUM_DUTY_CYCLE1,UUT_MOMENTUM_DUTY_CYCLE2,UUT_MOMENTUM_DUTY_CYCLE3,UUT_MOMENTUM_TORQUE_ROD_MODE1,UUT_MOMENTUM_TORQUE_ROD_MODE2,UUT_MOMENTUM_TORQUE_ROD_MODE3,UUT_TRACKER_ATTITUDE_ST1,UUT_TRACKER_ATTITUDE_ST2,UUT_TRACKER_ATTITUDE_ST3,UUT_TRACKER_ATTITUDE_ST4,UUT_TRACKER_RATE_EST1,UUT_TRACKER_RATE_EST2,UUT_TRACKER_RATE_EST3,UUT_TRACKER_PEAK_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_MEDIAN_BCKGND_ALL_TRK_BLKS,UUT_TRACKER_OPERATING_MODE,UUT_TRACKER_ATT_STATUS,UUT_TRACKER_NUM_ATTITUDE_STARS,UUT_TRACKER_NUM_TRACK_STARS,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT1,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT2,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT4,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT5,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT6,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT7,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT8,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT9,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT10,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT13,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT14,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT15,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT16,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT17,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT18,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT19,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT20,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT21,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT22,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT23,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT29,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT30,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT37,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT38,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT40,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT41,UUT_EVENT_CHECK_CHECK_ENABLED_PACK_BIT42,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT1,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT2,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT13,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT14,UUT_EVENT_CHECK_LATCHED_RESP_FIRE_PACK_BIT15,UUT_REFS_NADIR_VECTOR_BODY1,UUT_REFS_NADIR_VECTOR_BODY2,UUT_REFS_NADIR_VECTOR_BODY3,UUT_REFS_MODELED_SUN_VECTOR_BODY1,UUT_REFS_MODELED_SUN_VECTOR_BODY2,UUT_REFS_MODELED_SUN_VECTOR_BODY3,UUT_REFS_MOON_VECTOR_BODY1,UUT_REFS_MOON_VECTOR_BODY2,UUT_REFS_MOON_VECTOR_BODY3,UUT_REFS_Q_ECEF_WRT_ECI1,UUT_REFS_Q_ECEF_WRT_ECI2,UUT_REFS_Q_ECEF_WRT_ECI3,UUT_REFS_Q_ECEF_WRT_ECI4,UUT_RW_DRIVE_FILTERED_SPEED_RPM1,UUT_RW_DRIVE_FILTERED_SPEED_RPM2,UUT_RW_DRIVE_FILTERED_SPEED_RPM3,UUT_IMU_IMU_AVG_VECTOR_BODY1_DPS,UUT_IMU_IMU_AVG_VECTOR_BODY2_DPS,UUT_IMU_IMU_AVG_VECTOR_BODY3_DPS,timestamp_
0,1673628559.76848,44939.4925899074,1673628559.76848,44939.4925899074,1,1.35822722913205e+19,1,512,1,726853900,0.0,STORED,0,0,187,0,0,0,EN,EN,726853899.999994,YES,13715103,25,85,17,19,14.40000018,10.5449997890999,11.7849997642999,11.1249997775,12.0460006023,12.9799997403999,10.54300042172,6.54600026184,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.19550000782,0.6225000249,0.02450000098,0.02450000098,5.02400020096,4.11950016478,13.86350055454,13.16300052652,0.76050003042,-0.7875000315,0.0,OFF,726853900.199994,-5684.55429577227,818.262219086887,3511.20154443991,-3.474790705,-4.732670855,-4.501941025,-5427.69448861526,1854.56678727165,3523.20330383982,-4.434597805,-4.40565969,-4.491992695,YES,726853899,-5680.379675981,823.941018802946,3516.60052416996,-3.4828624,-4.731971795,-4.4964147,14.71428542,15.628571116,20,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.140764429684711,-0.951888505462229,-0.0389666657206666,0.269397861612042,-0.00081914,-0.000856225,-3.0055e-05,YES,YES,YES,344,0,0.00200000008,26,7,24,AUTO,AUTO,AUTO,-0.285267961914062,-0.300696306152343,0.581535576171875,0.700014496582031,-0.0009499999619999,-7.49999969999999e-05,-0.0005224999790999,220,148,TRACK,OK,38,38,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.999559975011,-0.029879999253,-0.000199999995,-0.707159982321,-0.707079982323,-0.000119999997,0.874359978141,-0.223759994406,0.430559989236,-0.0001164439965066,0.001103397966898,-0.0927818172165454,0.995685815129424,-186.7480093374,-886.8340443417,492.8860246443,-0.0704738066868769,0.064171271129514,-0.191367897832657,2023-01-13 16:49:19.768480000
1,1673628559.85808,44939.4925909491,1673628559.85808,44939.4925909491,2,1.35822722913205e+19,1,512,2,726853960,0.0,STORED,0,0,187,0,0,0,EN,EN,726853959.999995,YES,13715403,25,85,17,19,13.60000017,10.2699997945999,11.5399997692,10.8549997828999,12.0260006013,12.7399997451999,10.26950041078,6.19650024786,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.20150000806,0.6225000249,0.02450000098,0.02450000098,5.02400020096,4.100000164,13.60350054414,12.88100051524,0.75100003004,-0.71400002856,0.0,OFF,726853960.199995,-5880.81948595901,533.486093325694,3233.02139834892,-3.064887475,-4.756754235,-4.767078285,-5680.80693595963,1586.07744069612,3245.59139772042,-3.999199625,-4.540467775,-4.75809305,YES,726853959,-5877.13594614318,539.193693040314,3238.73871806305,-3.0731652,-4.756453945,-4.762032425,14.4685711392,15.3228568364,19,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.147945564041088,-0.956789852364202,-0.058047645339047,0.243507124629857,-0.00096256,-0.00078314,-5.2475e-05,YES,YES,YES,344,0,0.00200000008,27,3,23,AUTO,AUTO,AUTO,-0.296617290527343,-0.324101062988281,0.560770912597656,0.701792467773437,-0.0008899999643999,-7.74999969e-05,-0.0008674999653,220,148,TRACK,OK,40,40,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.999799975005,0.020239999494,-0.000159999996,-0.707159982321,-0.707039982324,-0.000119999997,0.893839977654,-0.242199993945,0.377359990566,-0.0001140299965791,0.0011036499668905,-0.0906033992818979,0.995886406123406,-138.3820069191,-896.5060448253,441.2620220631,-0.0756304266883557,0.0664631022412823,-0.191367897832657,2023-01-13 16:49:19.858080000
2,1673628559.97156,44939.4925922569,1673628559.97156,44939.4925922569,3,1.35822722913205e+19,1,512,3,726854020,0.0,STORED,0,0,187,0,0,0,EN,EN,726854019.999995,YES,13715703,25,85,17,19,13.60000017,9.9749998005,11.2699997745999,10.5449997890999,12.0260006013,12.4949997501,10.01650040066,5.91400023656,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.20150000806,0.6225000249,0.02450000098,0.02450000098,5.02400020096,4.100000164,13.34350053374,12.57800050312,0.76050003042,-0.56150002246,0.0,OFF,726854020.199995,-6052.05473739724,247.819607609019,2939.60115301993,-2.64071088,-4.76231031,-5.00975543,-5907.2216246389,1310.13279449335,2952.68031236597,-3.544965475,-4.65403378,-5.0017756,YES,726854019,-6048.88019755597,253.534307323284,2945.61015271948,-2.649333645,-4.762367195,-5.005143695,14.1628568596,15.0171425568,19,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.154315595413688,-0.960317002293659,-0.0752567024948659,0.219805233103895,-0.000658095,-0.000612685,5.985e-05,YES,YES,YES,344,0,0.00200000008,29,1,23,AUTO,AUTO,AUTO,-0.306661097167968,-0.34497815625,0.5414433125,0.702700635253906,-0.0007349999706,-6.74999973e-05,-0.0005599999775999,220,148,TRACK,OK,31,31,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.997399975065,0.072319998192,-0.000159999996,-0.70719998232,-0.707039982324,-3.9999999e-05,0.909279977268,-0.256599993585,0.327639991809,-0.0001116149966515,0.001103896966883,-0.0884245493472634,0.996082229117532,-90.6920045346,-910.120045506,393.140019657,-0.0658901444633402,0.0744845111324716,-0.184492404497352,2023-01-13 16:49:19.971559936
3,1673628560.19316,44939.4925948264,1673628560.19316,44939.4925948264,4,1.35822722913205e+19,1,512,4,726854080,0.0,STORED,0,0,187,0,0,0,EN,EN,726854079.999995,YES,13716003,25,85,17,19,13.60000017,9.67499980649999,11.0199997795999,10.2699997945999,12.0260006013,12.2349997552999,9.6975003879,5.65300022612,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.19550000782,0.61650002466,0.02450000098,0.02450000098,5.02400020096,4.100000164,13.0825005233,12.29450049178,0.7700000308,-0.7200000288,0.0,OFF,726854080.199995,-6197.4495701275,-37.622238118888,2632.32258838386,-2.204136315,-4.749278055,-5.228821335,-6105.86259470685,1028.02806859859,2645.84938770752,-3.07405438,-4.745664395,-5.22188446,YES,726854079,-6194.79939026001,-31.923298403835,2638.59516807023,-2.21295409,-4.74971393,-5.224696865,13.85714258,14.7742854188,19,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.159997282800054,-0.962767780744644,-0.090934697181306,0.198014926539701,-0.000759745,-0.000567795,-2.718e-05,YES,YES,YES,344,0,0.00200000008,31,1,22,AUTO,AUTO,AUTO,-0.315518866699218,-0.363795752929687,0.523315732910156,0.703022857910156,-0.0007499999699999,-8.99999964e-05,-0.0011524999539,220,148,TRACK,OK,37,37,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.992039975199,0.125799996855,-0.000119999997,-0.70719998232,-0.707039982324,-7.9999998e-05,0.921559976961,-0.267759993306,0.281159992971,-0.0001091999967239,0.0011041379668758,-0.0862452754126416,0.9962732861118,-52.0100026005,-923.500046175,344.0860172043,-0.0653171866853981,0.0784952155780662,-0.186211277831179,2023-01-13 16:49:20.193159936
4,1673628560.30591,44939.4925961227,1673628560.30591,44939.4925961227,5,1.35822722913205e+19,1,512,5,726854140,0.0,STORED,0,0,187,0,0,0,EN,EN,726854139.999994,YES,13716303,25,85,17,19,12.80000016,9.41999981159999,10.749999785,9.99499980009999,12.0080006004,11.9899997602,9.4625003785,5.41350021654,4.98800019952,3.32050013282,3.89650015586,3.9600001584,0.20150000806,0.64100002564,0.02450000098,0.02450000098,5.02400020096,4.08050016322,12.84100051364,12.050000482,0.77950003118,-0.76300003052,0.0,OFF,726854140.199994,-6316.33390418328,-321.7299639135,2312.63702436814,-1.75706532,-4.71789963,-5.42321493,-6275.81292620933,741.094502945273,2326.54792367259,-2.588713395,-4.815006515,-5.41735357,YES,726854139,-6314.22082428894,-316.068644196567,2319.14294404284,-1.766112555,-4.71871615,-5.419584865,13.5542854432,14.4685711392,19,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.165161429696771,-0.964359595212807,-0.105432797391344,0.177809330443813,-0.00048397,-0.000609895,-4.1145e-05,YES,YES,YES,344,0,0.00200000008,35,3,20,AUTO,AUTO,AUTO,-0.323451382812499,-0.380896104980468,0.506237809570312,0.702866018554687,-0.0006324999747,-0.0001174999952999,-0.0006224999751,220,148,TRACK,OK,28,28,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.983639975409,0.180239995494,-3.9999999e-05,-0.70719998232,-0.706999982325,-0.000279999993,0.93119997672,-0.276439993089,0.237519994062,-0.0001067849967964,0.0011043739668687,-0.0840655884780322,0.996459576106211,1.240000062,-945.6960472848,305.2220152611,-0.051566200014788,0.0721926800207032,-0.183346488941468,2023-01-13 16:49:20.305910016
5,1673628560.51865,44939.492598588,1673628560.51865,44939.492598588,6,1.35822722913205e+19,1,512,6,726854200,0.0,STORED,0,0,187,0,0,0,EN,EN,726854199.999995,YES,13716603,25,85,16,19,12.80000016,9.22499981549999,10.5199997896,9.7399998052,12.0080006004,11.7449997651,9.22550036902,5.22100020884,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.25000001,0.56150002246,0.02450000098,0.02450000098,5.02400020096,4.100000164,12.55800050232,11.76400047056,0.77950003118,-0.61650002466,0.0,OFF,726854200.199995,-6408.13109959342,-603.410369829479,1982.04996089749,-1.30147145,-4.66842329,-5.592042185,-6416.27051918645,450.6779574661,1996.27960018601,-2.091266195,-4.86174521,-5.58728375,YES,726854199,-6406.56389967178,-597.807490109623,1988.75850056207,-1.31065508,-4.669583145,-5.58894929,13.1857140219999,14.1028568608,19,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.16975595160488,-0.965314900193701,-0.118511110129777,0.159075883318482,-0.00055502,-0.0005629,2.8115e-05,YES,YES,YES,344,0,0.00200000008,37,4,17,AUTO,AUTO,AUTO,-0.330664401367187,-0.396364334960937,0.490365421875,0.702209456542968,-0.0005424999782999,-9.49999961999999e-05,-0.0006274999748999,220,152,TRACK,OK,21,21,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.971959975701,0.235159994121,-7.9999998e-05,-0.70719998232,-0.707039982324,-7.9999998e-05,0.93879997653,-0.282759992931,0.19679999508,-0.0001043689968689,0.0011046049668618,-0.0818854995434349,0.996641096100766,33.340001667,-951.5280475764,265.680013284,-0.0590146511280352,0.0762033844662978,-0.182773531163526,2023-01-13 16:49:20.518650112
6,1673628560.63227,44939.4925999074,1673628560.63227,44939.4925999074,7,1.35822722913205e+19,1,512,7,726854260,0.0,STORED,0,0,187,0,0,0,EN,EN,726854259.999995,YES,13716903,25,85,16,19,12.80000016,8.9249998215,10.2899997942,9.5049998099,11.9880005994,11.4949997701,8.90100035604,4.90550019622,4.98550019942,3.32300013292,3.89650015586,3.9600001584,0.20150000806,0.57350002294,0.02450000098,0.02450000098,5.02400020096,4.100000164,12.35550049422,11.55900046236,0.77950003118,-0.68950002758,0.0,OFF,726854260.199995,-6472.3776363811,-881.583575920818,1642.12047789397,-0.83927968,-4.6010872,-5.73450206,-6526.56743367161,158.142472092875,1656.60195716989,-1.583991255,-4.885609945,-5.730868915,YES,726854259,-6471.36637643166,-876.061456196925,1649.00049754997,-0.8489602,-4.602614465,-5.73187106,12.942856884,13.9199997216,19,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.173987067020258,-0.965718244685634,-0.130743566885128,0.141502128669957,-0.00041889,-0.000518805,4.054e-05,YES,YES,YES,344,0,0.00200000008,41,4,15,AUTO,AUTO,AUTO,-0.33721587109375,-0.41065159375,0.475247044921875,0.701278098144531,-0.0005874999765,-0.0001449999941999,-0.0003149999874,220,160,TRACK,OK,25,25,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.956959976076,0.290239992744,-0.000119999997,-0.707159982321,-0.707039982324,-3.9999999e-05,0.944639976384,-0.287479992813,0.158279996043,-0.0001019519969414,0.001104830966855,-0.0797050186088493,0.996817846095463,72.3900036195,-971.720048586,223.3660111683,-0.0532850733486143,0.0790681733560083,-0.177616911162047,2023-01-13 16:49:20.632270080
7,1673628560.85599,44939.4926024884,1673628560.85599,44939.4926024884,8,1.35822722913205e+19,1,512,8,726854320,0.0,STORED,0,0,187,0,0,0,EN,EN,726854319.999994,YES,13717203,25,85,16,19,12.00000015,8.68499982629999,10.0799997984,9.22499981549999,12.0080006004,11.2699997745999,8.7050003482,4.63600018544,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.2075000083,0.64700002588,0.02450000098,0.02450000098,5.02400020096,4.11950016478,12.11150048446,11.29100045164,0.7700000308,-0.80550003222,0.0,OFF,726854320.199994,-6508.75673456214,-1155.19136224042,1294.45209527739,-0.372580385,-4.51628371,-5.84991396,-6606.20448968975,-135.135353243232,1309.11739454412,-1.069357925,-4.886505205,-5.847422985,YES,726854319,-6508.30455458475,-1149.77084251145,1301.47079492645,-0.38227196,-4.51817688,-5.847862635,12.6971426032,13.6742854407999,17,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.177898694442026,-0.965670380186592,-0.142246075155078,0.124895099002097,-0.00048365,-0.000467775,-3.079e-05,YES,YES,YES,344,0,0.00200000008,43,5,11,AUTO,AUTO,AUTO,-0.343200155761718,-0.423928954101562,0.460762182128906,0.700140062499999,-0.0005599999775999,-8.24999967e-05,1.24999995e-05,224,156,TRACK,OK,22,22,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.938599976535,0.345039991374,-0.000119999997,-0.707159982321,-0.707039982324,-3.9999999e-05,0.949039976274,-0.290719992732,0.121719996957,-9.953499701395e-05,0.0011050519668484,-0.0775241576742751,0.996989826090304,106.1480053074,-983.4020491701,180.7120090356,-0.0567228200162668,0.0779222578001241,-0.185638320053236,2023-01-13 16:49:20.855990016
8,1673628560.96799,44939.4926037847,1673628560.96799,44939.4926037847,9,1.35822722913205e+19,1,512,9,726854380,0.0,STORED,0,0,187,0,0,0,EN,EN,726854379.999994,YES,13717503,25,85,16,19,12.00000015,8.4649998307,9.84499980309999,8.9649998207,12.0080006004,11.0199997795999,8.5075003403,4.46300017852,4.98550019942,3.32050013282,3.89650015586,3.9600001584,0.21350000854,0.6350000254,0.02450000098,0.02450000098,5.02400020096,4.43200017728,11.9075004763,11.02200044088,0.77950003118,-0.55550002222,0.0,OFF,726854380.199994,-6517.04325414782,-1423.19794884009,940.683492965822,0.096559775,-4.414473975,-5.93773284,-6654.79714726012,-427.778898611054,955.463672226814,-0.54982261,-4.86445473,-5.93639547,YES,726854379,-6517.15007414248,-1417.89918910503,947.807112609642,0.08719345,-4.416666125,-5.936270025,12.4542854652,13.3085711624,16,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,180.9989879334,NOT_ACTIVE,NO,YES,-0.181533737369325,-0.965253560194928,-0.153042184939156,0.109128899317421,-0.000475375,-0.00048359,3.3775e-05,YES,YES,YES,344,0,0.00200000008,45,5,6,AUTO,AUTO,AUTO,-0.348744314941406,-0.436334536621093,0.446884625488281,0.698773000976562,-0.0004699999811999,-4.49999982e-05,-0.0008099999676,220,152,TRACK,OK,26,26,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-0.916839977079,0.399239990019,-0.000119999997,-0.707159982321,-0.707039982324,0.0,0.952199976195,-0.29279999268,0.086919997827,-9.71169970864899e-05,0.0011052669668419,-0.0753429237397122,0.997157035085288,141.7480070874,-998.0420499021,146.5420073271,-0.0527121155706722,0.0790681733560083,-0.1810546578297,2023-01-13 16:49:20.967990016
9,1673628561.19176,44939.4926063773,1673628561.19176,44939.4926063773,10,1.35822722913205e+19,1,512,10,726943795,0.0,REALTIME,2,0,189,0,0,0,EN,EN,726943794.999995,YES,14164578,24,85,17,20,15.2000001899999,12.4549997508999,13.4449997311,12.7999997439999,12.1840006092,10.9399997812,12.88100051524,10.01650040066,4.98800019952,3.32300013292,3.90150015606,3.9600001584,0.2075000083,0.64100002564,0.02450000098,0.02450000098,5.0225002009,15.50200062008,16.93050067722,15.15350060614,1.91550007662,-0.18900000756,1.0450000418,OFF,726943795.199995,-403.401279829935,-4176.05543119721,-5275.12197624388,7.365031345,-0.265917875,-0.34957623,-53.9502173024889,-4195.42527022872,-5274.90091625494,7.665698195,0.366284,-0.366597455,YES,726943794,-412.239799388009,-4175.73303121333,-5274.70079626494,7.364399245,-0.2710905,-0.357732065,15.5685711172,16.4828568131999,17,YES,YES,NO,NO,YES,YES,FINE_REF_POINT,NO,BOOT,4.9979996668,NOT_ACTIVE,NO,YES,0.243200071135998,0.808199579836008,0.423329431533411,0.329331621913367,-0.00102102,-0.00100628,-7.5455e-05,YES,NO,YES,357,0,0.00300000012,11,2,34,AUTO,AUTO,AUTO,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,STARID,BAD,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.157479996063,0.987519975312,-0.000239999994,-0.707119982322,-0.707119982322,3.9999999e-05,0.57799998555,-0.166159995846,-0.798959980026,3.420899897373e-05,0.0011090669667279,0.0431019047069428,0.999070035027897,-274.3040137152,-1512.4220756211,-531.5300265765,-0.0853707089133713,0.0550039466824405,-0.194232686722368,2023-01-13 16:49:21.191760128
