,C:\BCT\71sw0078_f_cosmos_click\outputs\logs\xb1_click\2022_09_06_13_15_40_tlm.bin,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TARGET,PACKET,PACKET_TIMESECONDS,PACKET_TIMEFORMATTED,RECEIVED_TIMESECONDS,RECEIVED_TIMEFORMATTED,RECEIVED_COUNT,SYNC,MSG_ID,LEN,SEQ,CCSDS_TAI_SECS,CCSDS_TAI_SUBSECS,CCSDS_REALTIME,GPS_TIME,GPS_POSITION_ECEF1,GPS_POSITION_ECEF2,GPS_POSITION_ECEF3,GPS_VELOCITY_ECEF1,GPS_VELOCITY_ECEF2,GPS_VELOCITY_ECEF3,MSG_RX_STATUS,AUX1_EVENT,AUX2_EVENT,AUX3_EVENT,DIG_FILT_EN,TRACKING_MODE,VERSION_BIT1,VERSION_BIT0,SOFTWARE_RESOURCE,EXT_OSC_LOCKED,CLOCK_MODEL,CLOCK_STEERING,POS_FIX,POS_SOL,ALMANAC_KNOWN,IMU_COMM,INS_RESET,JAMMER_DETECTED,ANT_GAIN_STATE,TRANSMIT_OVERRUN,INPUT_OVERRUN,LINK_OVERRUN,COM_BUF_OVERRUN,CPU_OVERLOAD,ANT_SHORT_CIRCUIT,ANT_OPEN_CIRCUIT,LNA_FAILURE,ANT_POWER_STATUS,VOLT_STATUS,TEMP_STATUS,ERROR_FLAG,MSG_SAT_PRN1,MSG_SAT_PRN2,MSG_SAT_PRN3,MSG_SAT_PRN4,MSG_SAT_PRN5,MSG_SAT_PSR1,MSG_SAT_PSR2,MSG_SAT_PSR3,MSG_SAT_PSR4,MSG_SAT_PSR5,MSG_SAT_DOPP1,MSG_SAT_DOPP2,MSG_SAT_DOPP3,MSG_SAT_DOPP4,MSG_SAT_DOPP5,MSG_SAT_CNO1,MSG_SAT_CNO2,MSG_SAT_CNO3,MSG_SAT_CNO4,MSG_SAT_CNO5,MSG_SAT_TRACK_STAT1,MSG_SAT_TRACK_STAT2,MSG_SAT_TRACK_STAT3,MSG_SAT_TRACK_STAT4,MSG_SAT_TRACK_STAT5,GPS_SOLUTION_TIME_TAG,GPS_CYCLES_SINCE_CRC_DATA,GPS_CYCLES_SINCE_LATEST_DATA,GPS_LOCK_COUNT,MSG_GPS_TEMP1,MSG_GPS_TEMP2,MSG_ANT_CURRENT,MSG_ANT_VOLTAGE,MSG_GPS_VOLTAGE_SUPPLY,MSG_GPS_VOLTAGE3P3,MSG_GPS_VOLTAGE1P8,MSG_GPS_VOLTAGE1P2,MSG_TRACKED_SATELLITES,MSG_USED_SATELLITES,GPS_HEALTH1_PACK,GPS_POS_LOCK,GPS_TIME_LOCK,MSG_DATA_VALID,GPS_NEW_DATA_RECEIVED,GPS_ENABLE,GPS_VALID,HEALTH1_PACK_SPARE1
2,UUT,GPS,1662484540,15:40.4,1662484540,15:40.4,538,1.35823E+19,18,158,1,431803573,0.8,REALTIME,715799773,256.9311072,-5066.803027,-4522.608934,5.844378625,3.129128325,-3.174206285,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,12,23,22,29,15,20503999,27001897,22543590,22763054,25606897,13503,-32768,-5322,-22921,-20725,35.4,41.9,37.2,35.9,32.5,671136772,671136804,939572292,939572324,939572356,2758625478,4,4,1,15.9342854,16.84857109,0.012695506,5.114500205,3.24300013,3.233333495,1.82,1.2,15,15,198,YES,YES,NO,NO,YES,YES,0
3,UUT,GPS,1662484541,15:41.4,1662484541,15:41.4,539,1.35823E+19,18,158,2,431803574,0.8,REALTIME,715799774,262.7755869,-5063.671187,-4525.780234,5.844484615,3.134630875,-3.1684288,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,12,23,22,29,15,20501433,27009421,22544607,22767418,25610841,13460,-32768,-5362,-22942,-20726,35.2,41.9,37,36,32.5,671136772,671136804,939572292,939572324,939572356,2759625478,4,4,1,15.9342854,16.84857109,0.012573434,5.108500204,3.24650013,3.233333495,1.82,1.2,15,15,198,YES,YES,NO,NO,YES,YES,0
4,UUT,GPS,1662484542,15:42.4,1662484542,15:42.4,540,1.35823E+19,18,158,3,431803575,0.8,REALTIME,715799775,268.6201866,-5060.533827,-4528.945814,5.844648815,3.140111715,-3.16265636,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,12,23,22,29,15,20498876,27016944,22545631,22771786,25614785,13419,-32768,-5402,-22963,-20727,35.2,41.9,37.3,36,32.2,671136772,671136804,939572292,939572324,939572356,2760625477,4,4,1,15.9342854,16.84857109,0.01232929,5.116500205,3.25050013,3.233333495,1.8,1.2,15,15,198,YES,YES,NO,NO,YES,YES,0
5,UUT,GPS,1662484543,15:43.4,1662484543,15:43.4,541,1.35823E+19,18,158,4,431803576,0.8,REALTIME,715799776,274.4648663,-5057.390907,-4532.105633,5.844763955,3.14567191,-3.15693208,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,12,23,22,29,15,20496326,27024464,22546663,22776157,25618730,13376,-32768,-5441,-22985,-20728,35.2,42.1,37.2,35.9,32.1,671136772,671136804,939572292,939572324,939572356,2761625477,4,4,1,15.9342854,16.84857109,0.012573434,5.114500205,3.23950013,3.233333495,1.82,1.2,15,15,198,YES,YES,NO,NO,YES,YES,0
6,UUT,GPS,1662484544,15:44.3,1662484544,15:44.3,542,1.35823E+19,18,158,5,431803577,0.8,REALTIME,715799777,280.309666,-5054.242487,-4535.259673,5.84486572,3.15117878,-3.15118249,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,12,23,22,29,15,20493785,27031982,22547702,22780533,25622674,13335,-32768,-5481,-23007,-20728,35.2,41.8,37.4,36.3,32.5,671136772,671136804,939572292,939572324,939572356,2762625476,4,4,1,15.9342854,16.84857109,0.012573434,5.106500204,3.25050013,3.233333495,1.8,1.2,15,15,198,YES,YES,NO,NO,YES,YES,0
7,UUT,GPS,1662484545,15:45.3,1662484545,15:45.3,543,1.35823E+19,18,158,6,431803578,0.8,REALTIME,715799778,286.1546257,-5051.088507,-4538.407933,5.84499041,3.156716155,-3.145436415,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,12,23,22,29,15,20491251,27039498,22548749,22784913,25626619,13293,-32768,-5520,-23028,-20729,35.7,41.8,37.1,36.3,32.1,671136772,671136804,939572292,939572324,939572356,2763625476,4,4,1,15.9342854,16.84857109,0.012573434,5.116500205,3.23950013,3.233333495,1.82,1.2,15,15,198,YES,YES,NO,NO,YES,YES,0
8,UUT,GPS,1662484546,15:46.3,1662484546,15:46.3,544,1.35823E+19,18,158,7,431803579,0.8,REALTIME,715799779,291.9996854,-5047.928948,-4541.550413,5.845074065,3.162305325,-3.1395494,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,12,23,22,29,15,20488726,27047013,22549803,22789297,25630564,13250,-32768,-5560,-23050,-20730,35.3,41.8,37.3,35.8,32,671136772,671136804,939572292,939572324,939572356,2764625475,4,4,1,15.9342854,16.84857109,0.012939651,5.106500204,3.24800013,3.233333495,1.82,1.2,15,15,198,YES,YES,NO,NO,YES,YES,0
9,UUT,GPS,1662484547,15:47.3,1662484547,15:47.3,545,1.35823E+19,18,158,8,431803580,0.8,REALTIME,715799780,297.8447851,-5044.763888,-4544.687133,5.845115895,3.167784955,-3.133834375,302022656,NO_EVENT,NO_EVENT,NO_EVENT,ENABLED,NORMAL,0,1,OK,UNLOCKED,OK,ENABLED,NOT_FIXED,OK,OK,OK,OK,DETECTED,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,12,23,22,29,15,20486208,27054525,22550864,22793685,25634508,13209,-32768,-5599,-23070,-20730,34.9,41.9,37.7,36,32.2,671136772,671136804,939572292,939572324,939572356,2765625475,4,4,1,15.9342854,16.84857109,0.012695506,5.110500204,3.25050013,3.233333495,1.8,1.2,15,15,198,YES,YES,NO,NO,YES,YES,0
